Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Златоустовская городская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124					
1	"Число избирателей, внесенных в список"	138424	1680	2714	1282	1998	1956	2004	2018	1138	1450	1812	1547	1232	963	1856	1998	1363	1780	2436	1706	2046	1404	1723	1305	2142	2143	2473	2273	1836	1661	1525	1967	2171	2387	2472	2090	2256	1375	2434	2550	2071	2098	1511	2022	2249	1764	1743	1304	1845	2084	2346	2727	2675	1120	488	836	904	1999	1233	2042	1936	2141	1785	1987	1737	1773	2184	1376	1361	1796	1314	1266	1315	1861	1365	1387	1217	624	846	221	705					
2	Число полученных избирательных бюллетеней	130540	1500	2500	1200	2000	1800	2000	2000	1200	1400	1700	1500	1200	900	1800	1900	1300	1700	2100	1600	1900	1300	1600	1200	2000	2000	2300	2100	1700	1600	1500	1800	2000	2200	2300	1900	2100	1300	2300	2400	1900	1900	1400	1900	2100	1700	1800	1200	1800	1900	2200	2500	2500	1200	450	800	900	1900	1100	1900	1800	2000	1700	1800	1600	1700	2000	1300	1300	1700	1300	1200	1200	1800	1300	1400	1300	550	800	190	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71454	788	1375	664	1130	1105	1077	1094	605	648	702	770	470	348	842	978	598	932	1157	1011	1116	776	849	685	1210	1223	1387	1219	971	1021	826	1108	1120	1440	1371	1250	1290	683	1392	1469	1182	851	688	1208	1231	977	1026	722	1030	1035	1157	1553	1499	504	247	382	331	831	465	930	1013	1072	917	1112	943	874	1235	701	561	871	504	595	587	846	549	480	485	239	459	157	705					
5	"Число избирательных бюллетеней, выданных вне помещения"	4319	72	53	32	20	47	59	76	44	77	112	74	74	19	41	32	36	83	140	29	61	34	61	65	61	71	46	103	44	52	53	41	52	47	27	35	23	25	28	27	21	59	18	50	56	42	62	51	92	97	42	38	70	43	29	35	62	56	143	61	53	66	26	44	50	48	45	91	41	40	69	42	33	108	93	35	73	106	37	16	0					
6	Число погашенных избирательных бюллетеней	54767	640	1072	504	850	648	864	830	551	675	886	656	656	533	917	890	666	685	803	560	723	490	690	450	729	706	867	778	685	527	621	651	828	713	902	615	787	592	880	904	697	990	694	642	813	681	712	427	678	768	1001	909	931	653	174	383	507	1013	492	909	734	862	757	644	607	778	720	508	698	789	727	563	580	846	658	885	742	205	304	17	45					
7	Число избирательных бюллетеней в переносных ящиках	4319	72	53	32	20	47	59	76	44	77	112	74	74	19	41	32	36	83	140	29	61	34	61	65	61	71	46	103	44	52	53	41	52	47	27	35	23	25	28	27	21	59	18	50	56	42	62	51	92	97	42	38	70	43	29	35	62	56	143	61	53	66	26	44	50	48	45	91	41	40	69	42	33	108	93	35	73	106	37	16	0					
8	Число бюллетеней в стационарных ящиках для голосования	71329	788	1351	663	1130	1103	1077	1094	561	648	702	770	470	348	842	978	598	932	1157	982	1116	776	849	685	1210	1222	1387	1219	971	1021	826	1108	1120	1438	1371	1249	1289	682	1392	1469	1182	851	688	1208	1231	977	1026	721	1028	1033	1157	1550	1499	502	247	382	331	831	465	930	1009	1071	917	1110	943	874	1235	699	561	871	504	595	587	846	549	480	485	239	459	157	705					
9	Число недействительных избирательных бюллетеней	686	0	20	9	8	13	1	15	4	3	13	10	6	4	6	6	3	2	18	4	6	6	16	15	10	16	20	11	11	5	2	11	6	11	8	9	15	8	15	8	8	8	6	14	9	5	12	4	5	4	17	9	7	1	3	3	1	14	6	10	9	16	17	7	11	9	13	4	9	14	13	11	7	11	8	3	1	7	0	3	13					
10	Число действительных избирательных бюллетеней	74962	860	1384	686	1142	1137	1135	1155	601	722	801	834	538	363	877	1004	631	1013	1279	1007	1171	804	894	735	1261	1277	1413	1311	1004	1068	877	1138	1166	1474	1390	1275	1297	699	1405	1488	1195	902	700	1244	1278	1014	1076	768	1115	1126	1182	1579	1562	544	273	414	392	873	602	981	1053	1121	926	1147	982	913	1267	786	593	897	560	626	613	943	634	512	557	338	496	170	692					
