Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Заполярная																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20490	274	48	86	1122	306	73	573	81	604	122	114	66	39	554	134	327	499	78	92	207	49	188	113	371	457	191	89	1236	674	146	394	490	547	534	481	1464	2112	1628	1867	2060									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17950	200	45	80	1160	220	65	590	60	560	90	90	60	30	360	100	240	480	60	80	160	40	150	100	350	460	150	80	1200	680	130	350	450	450	450	340	1230	1650	1660	1750	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3953	0	0	0	105	0	0	27	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	12	0	0	106	28	0	35	30	16	0	0	682	824	692	420	963									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5778	135	30	46	302	92	44	198	41	246	55	38	17	16	188	56	123	158	26	44	59	29	70	53	125	197	58	31	366	395	65	124	160	159	186	223	226	382	303	400	312									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	129	1	0	0	13	0	3	11	0	6	0	0	0	0	2	0	6	7	0	0	1	0	3	5	0	1	0	0	22	7	0	2	10	0	3	6	1	2	3	13	1									
6	Число погашенных избирательных бюллетеней	8090	64	15	34	740	128	18	354	19	308	35	52	43	14	157	44	111	315	34	36	100	11	77	42	225	250	92	49	706	250	65	189	250	275	261	111	321	442	662	917	274									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4080	1	0	0	118	0	3	38	0	6	0	0	0	0	15	0	6	7	0	0	1	0	3	5	0	13	0	0	128	35	0	37	40	16	3	6	682	826	695	432	964									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5773	135	30	46	302	92	44	198	41	244	55	38	17	16	188	56	123	158	26	44	59	29	70	53	125	197	58	31	366	395	65	124	160	159	186	223	226	381	303	400	310									
9	Число недействительных избирательных бюллетеней	193	0	0	2	19	2	0	4	0	2	0	0	0	0	0	1	0	3	0	1	1	1	1	0	0	3	0	0	6	12	2	5	2	3	1	1	20	28	23	15	35									
10	Число действительных избирательных бюллетеней	9660	136	30	44	401	90	47	232	41	248	55	38	17	16	203	55	129	162	26	43	59	28	72	58	125	207	58	31	488	418	63	156	198	172	188	228	888	1179	975	817	1239									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	237	3	2	2	7	4	2	6	2	6	3	3	2	2	6	3	5	5	2	2	4	2	4	2	6	6	2	2	10	7	3	4	5	5	5	5	15	23	17	23	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	29	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	1	0	2	0	0	1	0	1	5	1	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	164	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	70	44	1	35	0									
14	Число погашенных неиспользованных открепительных удостоверений	208	3	2	2	7	4	2	2	2	4	3	3	2	2	6	3	5	1	2	2	4	2	4	2	5	4	2	2	10	6	3	2	5	5	4	5	14	18	16	18	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	204	1	2	0	12	2	2	4	0	1	0	1	0	0	6	2	2	6	4	0	1	3	2	2	1	5	0	0	8	11	6	0	1	0	3	2	17	21	34	15	27									
		2.07%	0.74%	6.67%	0.00%	2.86%	2.17%	4.26%	1.69%	0.00%	0.40%	0.00%	2.63%	0.00%	0.00%	2.96%	3.57%	1.55%	3.64%	15.38%	0.00%	1.67%	10.34%	2.74%	3.45%	0.80%	2.38%	0.00%	0.00%	1.62%	2.56%	9.23%	0.00%	0.50%	0.00%	1.59%	0.87%	1.87%	1.74%	3.41%	1.80%	2.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	276	1	0	2	15	4	0	13	1	7	3	1	0	4	8	3	2	5	2	1	2	0	2	3	4	3	1	0	15	16	2	2	1	2	4	15	19	35	27	32	19									
		2.80%	0.74%	0.00%	4.35%	3.57%	4.35%	0.00%	5.51%	2.44%	2.80%	5.45%	2.63%	0.00%	25.00%	3.94%	5.36%	1.55%	3.03%	7.69%	2.27%	3.33%	0.00%	2.74%	5.17%	3.20%	1.43%	1.72%	0.00%	3.04%	3.72%	3.08%	1.24%	0.50%	1.14%	2.12%	6.55%	2.09%	2.90%	2.71%	3.85%	1.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	206	5	0	0	12	0	0	2	0	8	1	1	0	3	7	1	3	1	0	1	0	2	5	1	8	5	3	2	12	7	0	3	5	2	5	9	21	27	18	15	11									
