Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Елецкая городская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85017	1541	1196	1821	1606	1457	2375	1652	2221	1838	1864	1100	1901	2301	375	1884	1431	1447	1830	1799	1536	2450	1613	1661	1825	1642	1236	992	2122	1327	2142	2233	1626	2037	1586	2117	1390	1254	1495	2122	1177	1864	1882	1388	1647	1964	2295	2283	1407	1872	951	91	94	29	28									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80345	1500	1100	1700	1500	1400	2300	1500	2100	1700	1700	1000	1800	2200	375	1800	1300	1400	1700	1700	1500	2400	1500	1600	1700	1500	1200	1000	2000	1200	2000	2100	1500	2000	1500	2000	1300	1200	1400	2000	1100	1800	1800	1300	1500	1900	2100	2200	1300	1800	900	100	100	35	35									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35065	584	420	720	543	567	1018	658	1036	813	851	428	788	998	249	824	568	571	921	730	581	949	603	708	866	724	532	398	998	597	922	849	574	757	720	798	636	499	632	885	483	775	828	558	608	865	799	941	600	615	314	42	94	10	18									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1803	9	52	82	72	25	27	14	13	21	28	15	21	19	122	17	66	24	32	9	31	17	57	9	18	26	12	23	41	21	25	24	18	33	21	37	19	10	18	35	37	19	8	44	47	32	84	30	52	139	72	47	0	19	10									
6	Число погашенных избирательных бюллетеней	43477	907	628	898	885	808	1255	828	1051	866	821	557	991	1183	4	959	666	805	747	961	888	1434	840	883	816	750	656	579	961	582	1053	1227	908	1210	759	1165	645	691	750	1080	580	1006	964	698	845	1003	1217	1229	648	1046	514	11	6	6	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1803	9	52	82	72	25	27	14	13	21	28	15	21	19	122	17	66	24	32	9	31	17	57	9	18	26	12	23	41	21	25	24	18	33	21	37	19	10	18	35	37	19	8	44	47	32	84	30	52	139	72	47	0	19	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35065	584	420	720	543	567	1018	658	1036	813	851	428	788	998	249	824	568	571	921	730	581	949	603	708	866	724	532	398	998	597	922	849	574	757	720	798	636	499	632	885	483	775	828	558	608	865	799	941	600	615	314	42	94	10	18									
9	Число недействительных избирательных бюллетеней	1116	19	12	20	18	20	34	14	22	27	21	12	32	36	44	36	19	11	40	11	15	40	17	32	37	41	19	13	19	21	32	30	19	19	17	20	19	15	14	21	16	15	16	20	22	26	23	20	18	15	8	6	2	0	1									
10	Число действительных избирательных бюллетеней	35752	574	460	782	597	572	1011	658	1027	807	858	431	777	981	327	805	615	584	913	728	597	926	643	685	847	709	525	408	1020	597	915	843	573	771	724	815	636	494	636	899	504	779	820	582	633	871	860	951	634	739	378	83	92	29	27									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	745	15	15	15	15	15	15	15	15	15	15	15	15	25	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	275	1	3	8	7	5	13	7	8	8	10	4	6	14	0	10	8	5	7	3	3	9	3	5	5	6	4	2	7	6	2	4	2	6	5	9	7	3	1	13	3	5	4	4	5	4	3	7	7	3	1	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	1	2	4	0	5	1	4	7	3	9	2	1	6	0	2	1	1	1	2	1	1	2	0	1	1	0	0	4	1	2	0	0	4	2	0	3	1	7	4	5	7	2	5	5	2	3	1	3	1	2	1	23	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	470	14	12	7	8	10	2	8	7	7	5	11	9	11	0	5	7	10	8	12	12	6	12	10	10	9	11	13	8	9	13	11	13	9	10	6	8	12	14	2	12	10	11	11	10	11	12	8	8	12	14	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	136	2	0	3	0	1	5	2	12	3	8	0	1	6	0	5	0	1	5	3	1	4	0	2	2	3	1	0	5	5	1	5	2	2	1	3	1	1	3	1	1	6	4	2	1	4	4	2	5	4	3	0	0	0	0									
