Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Таловская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
1	"Число избирателей, внесенных в списки"	37027	2532	2435	1728	2214	2191	342	423	838	1436	1655	388	587	579	599	1183	1246	958	1078	900	481	1393	717	490	279	685	623	272	284	508	806	722	1335	1391	509	245	511	1029	441	362	632					
2	"Число бюллетеней, полученных участковыми комиссиями"	33720	2230	2120	1520	1980	1900	310	400	750	1350	1550	350	550	550	550	1100	1100	900	1000	800	450	1300	650	450	250	650	600	250	260	460	750	650	1250	1280	470	220	480	950	400	340	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17264	1109	1084	730	1086	1002	164	161	414	706	1050	215	262	354	284	327	478	440	490	388	338	564	382	306	211	311	301	153	124	281	332	323	612	639	285	109	301	387	145	100	316					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3570	66	48	39	35	91	36	130	79	49	53	66	152	55	115	380	279	24	88	105	50	96	0	45	0	201	55	21	57	118	178	56	82	47	47	26	63	189	67	202	80					
6	Число погашенных бюллетеней	12886	1055	988	751	859	807	110	109	257	595	447	69	136	141	151	393	343	436	422	307	62	640	268	99	39	138	244	76	79	61	240	271	556	594	138	85	116	374	188	38	204					
7	Число бюллетеней в переносных ящиках для голосования	3570	66	48	39	35	91	36	130	79	49	53	66	152	55	115	380	279	24	88	105	50	96	0	45	0	201	55	21	57	118	178	56	82	47	47	26	63	189	67	202	80					
8	Число бюллетеней в стационарных ящиках для голосования	17262	1109	1084	730	1086	1002	164	161	414	706	1050	215	262	354	284	327	478	440	490	386	338	564	382	306	211	311	301	153	124	281	332	323	612	639	285	109	301	387	145	100	316					
9	Число недействительных бюллетеней	308	10	13	9	19	14	3	2	8	7	23	7	2	7	2	6	3	20	11	4	3	6	12	7	4	5	3	3	0	6	10	17	12	19	3	1	14	1	4	0	8					
10	Число действительных бюллетеней	20524	1165	1119	760	1102	1079	197	289	485	748	1080	274	412	402	397	701	754	444	567	487	385	654	370	344	207	507	353	171	181	393	500	362	682	667	329	134	350	575	208	302	388					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	101	1	5	5	11	10	0	5	0	3	15	0	2	0	0	5	5	0	0	0	0	5	2	3	0	0	0	0	0	0	10	0	0	3	5	0	0	5	0	1	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	1	4	0	11	5	0	2	0	2	13	0	0	0	0	4	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	2	0	0	5	1	2	0	0	1	1	1	0	1	3	1	1	1	1	0	0	1	5	0	0	3	0	0	0	0	1	0	0	1	2	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	48	0	1	5	0	5	0	3	0	1	2	0	2	0	0	1	5	0	0	0	0	1	2	0	0	0	0	0	0	0	10	0	0	2	5	0	0	3	0	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	194	10	5	5	13	4	0	6	11	1	5	5	6	4	4	7	17	3	2	8	6	3	3	3	3	2	11	3	4	3	3	7	1	10	7	1	1	1	2	0	4					
		0.93%	0.85%	0.44%	0.65%	1.15%	0.36%	0.0%	2.06%	2.23%	0.13%	0.45%	1.77%	1.44%	0.97%	1.00%	0.99%	2.24%	0.64%	0.34%	1.62%	1.54%	0.45%	0.78%	0.85%	1.42%	0.39%	3.08%	1.72%	2.20%	0.75%	0.58%	1.84%	0.14%	1.45%	2.10%	0.74%	0.27%	0.17%	0.94%	0.0%	1.01%					
