Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Барун-Хемчикская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7276	1512	1502	471	322	776	296	447	637	350	963									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7238	1477	1515	479	341	779	296	445	624	360	922									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	595	0	0	42	37	69	21	112	67	177	70									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6224	1451	1465	339	283	665	244	320	527	171	759									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	170	13	37	12	2	28	25	13	18	0	22									
6	Число погашенных избирательных бюллетеней	249	13	13	86	19	17	6	0	12	12	71									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	765	13	37	54	39	97	46	125	85	177	92									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6224	1451	1465	339	283	665	244	320	527	171	759									
9	Число недействительных избирательных бюллетеней	58	8	22	3	0	0	7	3	4	1	10									
10	Число действительных избирательных бюллетеней	6931	1456	1480	390	322	762	283	442	608	347	841									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	135	13	14	13	13	15	13	13	15	13	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	60	13	14	13	1	11	1	1	4	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	1	19	2	2	2	1	3	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	75	0	0	0	12	4	12	12	11	13	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	10	17	1	0	12	0	0	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	4	2	0	0	1	0	1	2	0	0									
		0.14%	0.27%	0.13%	0.00%	0.00%	0.13%	0.00%	0.22%	0.33%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	20	16	6	0	12	2	4	10	0	11									
		1.16%	1.37%	1.07%	1.53%	0.00%	1.57%	0.69%	0.90%	1.63%	0.00%	1.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	45	19	11	4	0	2	0	2	3	0	4									
		0.64%	1.30%	0.73%	1.02%	0.00%	0.26%	0.00%	0.45%	0.49%	0.00%	0.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6320	1278	1328	341	309	703	265	415	525	343	813									
		90.43%	87.30%	88.42%	86.77%	95.96%	92.26%	91.38%	93.26%	85.78%	98.56%	95.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	3	3	2	0	1	0	1	1	0	5									
		0.23%	0.20%	0.20%	0.51%	0.00%	0.13%	0.00%	0.22%	0.16%	0.00%	0.59%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	1	2	0	2	0	0	0	0	8									
		0.19%	0.00%	0.07%	0.51%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.94%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	46	14	15	2	4	5	0	3	3	0	0									
		0.66%	0.96%	0.99%	0.51%	1.24%	0.66%	0.00%	0.67%	0.49%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	22	20	3	3	8	2	3	8	0	0									
		0.99%	1.50%	1.33%	0.76%	0.93%	1.05%	0.69%	0.67%	1.31%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	1	1	1	0	0	0	0	0	0	0									
		0.04%	0.07%	0.07%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	3	0	0	0	0	1	1	0	0									
		0.07%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.22%	0.16%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	7	8	2	0	4	0	3	2	0	0									
		0.37%	0.48%	0.53%	0.51%	0.00%	0.52%	0.00%	0.67%	0.33%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	240	68	60	22	6	16	14	6	44	4	0									
		3.43%	4.64%	3.99%	5.60%	1.86%	2.10%	4.83%	1.35%	7.19%	1.15%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	3	1	1	0	0	0	0	1	0	0									
		0.09%	0.20%	0.07%	0.25%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	51	17	11	4	0	8	0	3	8	0	0									
		0.73%	1.16%	0.73%	1.02%	0.00%	1.05%	0.00%	0.67%	1.31%	0.00%	0.00%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
