Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Московская № 19																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК  5295					
1	"Число избирателей, внесенных в списки"	130871	1929	2120	1900	2629	1576	1484	1504	1991	1926	1400	1776	2029	2143	1827	1971	1797	2027	2144	2091	1996	2007	2442	2614	1836	2162	2042	2759	2520	2464	2270	2553	2572	2165	2186	2474	2451	2621	2151	2472	2677	2084	2040	2131	1632	1881	1564	1768	2180	2248	2250	2297	2187	2206	1120	1730	2274	1808	2374	1762	2001	1979	1679	1872	106					
2	"Число бюллетеней, полученных участковыми комиссиями"	159400	1900	2100	1900	2600	1500	1400	1100	1900	1900	1400	1700	2000	2100	1800	1900	1700	1900	2000	2000	1900	2000	2400	2500	1800	2100	2000	2700	2500	2400	2200	2500	2500	2100	2100	2400	2400	2600	2100	2400	2600	2000	2000	2100	1600	1800	1500	1700	2100	2100	2100	2300	2100	2200	1000	1700	2300	1800	2300	1700	1900	1900	1600	1800	32800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	59472	584	627	638	855	764	608	1040	761	806	648	756	825	791	697	943	878	1009	924	893	970	905	1182	1268	874	1161	1113	1375	1204	1203	1163	1194	1200	1057	1023	1144	1136	1257	1018	1176	1185	1018	818	1009	763	824	694	910	987	1022	1086	1001	945	998	458	768	998	873	1127	858	955	994	734	671	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1714	12	18	20	28	28	13	11	20	37	33	11	25	25	14	43	21	27	14	24	17	22	38	36	32	57	29	41	22	41	27	48	35	26	40	51	21	48	40	47	42	28	37	33	26	22	29	12	24	23	33	36	30	25	17	6	6	21	32	22	31	19	7	11	0					
6	Число погашенных бюллетеней	98214	1304	1455	1242	1717	708	779	49	1119	1057	719	933	1150	1284	1089	914	801	864	1062	1083	913	1073	1180	1196	894	882	858	1284	1274	1156	1010	1258	1265	1017	1037	1205	1243	1295	1042	1177	1373	954	1145	1058	811	954	777	778	1089	1055	981	1263	1125	1177	525	926	1296	906	1141	820	914	887	859	1118	32694					
7	Число бюллетеней в переносных ящиках для голосования	1713	11	18	20	28	28	13	11	20	37	33	11	25	25	14	43	21	27	14	24	17	22	38	36	32	57	29	41	22	41	27	48	35	26	40	51	21	48	40	47	42	28	37	33	26	22	29	12	24	23	33	36	30	25	17	6	6	21	32	22	31	19	7	11	0					
8	Число бюллетеней в стационарных ящиках для голосования	59452	584	627	637	854	764	608	1040	760	806	648	756	825	791	697	941	878	1009	925	893	970	904	1182	1268	874	1161	1112	1373	1204	1202	1163	1194	1200	1057	1023	1144	1136	1257	1017	1172	1185	1018	816	1009	763	824	693	910	987	1022	1086	1001	945	998	458	768	997	871	1127	858	955	994	734	671	106					
9	Число недействительных бюллетеней	377	2	5	7	12	4	6	4	7	0	9	5	6	2	4	3	6	3	4	4	4	10	10	5	7	7	4	12	8	7	8	7	10	4	7	5	8	10	6	11	6	4	3	6	5	7	2	6	11	2	11	6	12	5	2	2	2	0	9	4	4	7	10	8	0					
10	Число действительных бюллетеней	60788	593	640	650	870	788	615	1047	773	843	672	762	844	814	707	981	893	1033	935	913	983	916	1210	1299	899	1211	1137	1402	1218	1236	1182	1235	1225	1079	1056	1190	1149	1295	1051	1208	1221	1042	850	1036	784	839	720	916	1000	1043	1108	1031	963	1018	473	772	1001	892	1150	876	982	1006	731	674	106					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3492	50	50	50	55	50	50	42	50	50	50	50	50	55	50	50	50	50	55	50	50	50	55	50	50	55	50	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	50	50	50	50	55	55	55	55	55	55	50	50	55	50	55	50	50	50	50	50	200					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	666	6	6	5	7	10	6	1	7	12	6	3	11	11	10	14	11	8	9	7	12	5	19	10	6	13	10	9	17	19	8	12	13	10	13	13	11	17	18	18	15	14	16	12	7	7	10	7	12	9	16	15	16	8	5	10	6	15	11	10	11	11	12	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	891	12	9	8	8	6	8	392	16	12	5	10	5	16	7	0	17	12	9	9	10	9	8	6	14	3	7	6	7	11	4	5	9	7	7	10	3	8	7	12	8	10	5	9	10	3	6	5	6	9	11	7	12	7	6	8	2	0	10	2	7	27	6	1	0					
14	Число погашенных открепительных удостоверений	2826	44	44	45	48	40	44	41	43	38	44	47	39	44	40	36	39	42	46	43	38	45	36	40	44	42	40	46	38	36	47	43	42	45	42	42	44	38	37	37	40	41	39	43	43	43	40	43	43	46	39	40	39	47	45	40	49	35	44	40	39	39	38	42	200					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
