Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																													
Дата голосования: 02.12.2007																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Василеостровская N 2																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №1830					
1	"Число избирателей, внесенных в списки избирателей"	157415	2575	2453	1870	1849	1884	2064	1834	1869	2102	1989	2133	2627	2769	2567	1892	2548	2015	1896	2121	2156	1993	2215	2368	1876	1996	1886	2235	2113	2242	1935	2397	2251	2040	2493	1816	1823	2164	2037	1463	1835	2148	2064	2181	2617	2429	1946	2015	1709	2365	2085	1921	2456	2061	1381	1889	2041	2087	1881	1480	2073	2124	2267	2159	2259	2214	2127	2265	2137	1854	2168	2271	2443	2207	2657	98	104	156	334	37	13	42	17	40	20	161	21					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	151735	2500	2300	1800	1700	1800	2000	1800	1800	2000	1900	1900	2600	2700	2500	1800	2500	2000	1800	1900	2100	1900	2100	2300	1800	1900	1900	2200	2000	2200	1900	2400	2200	2000	2400	1800	1600	2100	2000	1400	1800	1900	1900	2100	2500	2400	1900	2000	1700	2300	2000	1800	2400	2000	1200	1900	2000	2000	1800	1400	2000	2100	2200	2100	2100	2200	2000	2200	2100	1800	2100	2200	2400	2100	2600	100	106	150	328	37	13	42	17	40	20	161	21					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	81057	1697	1098	931	873	879	956	856	837	975	929	1352	1141	1191	1190	797	1237	962	905	1032	1083	874	946	1141	907	910	791	950	1071	1101	1078	1227	1222	1047	1249	940	1062	1053	1056	777	982	1209	923	1085	1400	1310	1058	1178	946	1337	1196	1117	1274	1124	826	1004	1122	1102	1071	841	1187	1216	1261	1112	1181	1278	1159	1269	1189	1004	1108	1099	1342	1182	1214	98	79	124	212	37	13	40	17	40	20	134	14					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1867	9	23	15	12	18	26	14	17	33	34	13	36	33	38	15	16	14	16	16	16	18	21	15	20	17	11	18	24	30	10	21	31	25	29	27	26	23	30	29	36	19	1	29	54	51	28	29	44	52	22	26	12	32	1	31	33	44	40	17	37	40	34	5	8	31	26	32	23	11	45	21	58	36	20	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	68811	794	1179	854	815	903	1018	930	946	992	937	535	1423	1476	1272	988	1247	1024	879	852	1001	1008	1133	1144	873	973	1098	1232	905	1069	812	1152	947	928	1122	833	512	1024	914	594	782	672	976	986	1046	1039	814	793	710	911	782	657	1114	844	373	865	845	854	689	542	776	844	905	983	911	891	815	899	888	785	947	1080	1000	882	1366	2	27	26	116	0	0	2	0	0	0	27	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1867	9	23	15	12	18	26	14	17	33	34	13	36	33	38	15	16	14	16	16	16	18	21	15	20	17	11	18	24	30	10	21	31	25	29	27	26	23	30	29	36	19	1	29	54	51	28	29	44	52	22	26	12	32	1	31	33	44	40	17	37	40	34	5	8	31	26	32	23	11	45	21	58	36	20	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80883	1695	1097	930	872	879	956	856	835	975	922	1350	1141	1191	1187	797	1237	957	903	1030	1082	872	946	1141	905	910	789	950	1071	1100	1078	1219	1216	1044	1245	913	1059	1053	1053	777	980	1207	923	1084	1375	1310	1058	1174	945	1332	1195	1116	1271	1124	824	1004	1118	1097	1071	839	1187	1213	1256	1112	1180	1276	1158	1267	1189	1004	1102	1098	1339	1182	1214	98	79	124	211	37	13	40	17	39	20	134	14					
9	Число недействительных избирательных бюллетеней	881	29	17	10	17	7	11	9	3	10	7	23	12	10	13	10	18	6	15	10	16	9	15	18	9	6	5	9	9	6	14	17	14	9	13	10	14	18	13	12	6	10	8	9	13	10	12	5	7	15	15	21	11	8	14	7	16	17	8	5	12	15	10	15	6	10	12	9	21	10	10	11	13	6	12	0	0	2	3	5	2	0	0	1	0	6	0					
10	Число действительных избирательных бюллетеней	81869	1675	1103	935	867	890	971	861	849	998	949	1340	1165	1214	1212	802	1235	965	904	1036	1082	881	952	1138	916	921	795	959	1086	1124	1074	1223	1233	1060	1261	930	1071	1058	1070	794	1010	1216	916	1104	1416	1351	1074	1198	982	1369	1202	1121	1272	1148	811	1028	1135	1124	1103	851	1212	1238	1280	1102	1182	1297	1172	1290	1191	1005	1137	1108	1384	1212	1222	98	79	122	208	32	11	40	17	38	20	128	14					
