Выборы Президента Российской Федерации																																																																																	
Дата голосования: 02.03.2008																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Абаканская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
	Число участковых избирательных комиссий	74																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	74																																																																															
																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, включенных в списки избирателей"	124739	1253	1066	1542	918	1133	1062	1730	1384	1890	1706	2004	2353	2247	1764	2322	1430	1457	2332	2583	2249	1539	2267	1635	2012	1548	1468	1438	1652	1507	1639	1604	1627	972	2336	1795	1269	1566	1241	1803	2071	2205	1985	1397	1361	1536	1261	1420	1834	2562	2403	1825	2492	1697	2228	2229	2078	1462	2347	1651	2341	2961	2930	1524	1259	1399	1557	1858	218	800	132	1278	1542	1181	372					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	100800	1000	900	1100	800	900	1000	1400	1200	1500	1400	1600	1900	1800	1400	1900	1200	1200	1800	2000	1800	1200	2000	1300	1600	1200	1100	1100	1300	1200	1300	1400	1300	800	1900	1500	1100	1200	1000	1400	1700	1700	1600	1100	1100	1200	1000	1100	1500	2000	2000	1500	2000	1400	1800	1800	1700	1200	1900	1200	1900	2300	2300	1200	1000	1200	1200	1500	400	800	300	1000	1200	1000	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	66804	735	635	1059	505	629	668	1042	801	996	895	982	1343	1276	832	1029	599	834	1390	1622	1268	703	1624	701	843	740	596	595	698	687	883	772	739	579	1186	845	574	749	566	921	1146	1194	1045	673	661	856	621	741	1054	1403	1045	1060	1394	898	1353	1205	1225	791	1318	822	1411	1577	1686	840	712	826	787	981	139	776	49	560	916	695	203					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2588	15	15	24	30	35	34	29	33	52	33	20	22	22	18	34	10	35	60	27	32	42	20	54	29	45	38	66	60	46	58	23	41	24	37	49	25	23	18	19	28	51	62	32	23	48	43	41	29	29	28	15	57	18	21	27	40	14	38	268	19	26	20	17	8	18	28	23	74	24	69	23	18	12	0					
6	Число погашенных избирательных бюллетеней	31408	250	250	17	265	236	298	329	366	452	472	598	535	502	550	837	591	331	350	351	500	455	356	545	728	415	466	439	542	467	359	605	520	197	677	606	501	428	416	460	526	455	493	395	416	296	336	318	417	568	927	425	549	484	426	568	435	395	544	110	470	697	594	343	280	356	385	496	187	0	182	417	266	293	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2588	15	15	24	30	35	34	29	33	52	33	20	22	22	18	34	10	35	60	27	32	42	20	54	29	45	38	66	60	46	58	23	41	24	37	49	25	23	18	19	28	51	62	32	23	48	43	41	29	29	28	15	57	18	21	27	40	14	38	268	19	26	20	17	8	18	28	23	74	24	69	23	18	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	66756	735	631	1055	505	627	668	1041	800	996	895	982	1343	1274	832	1027	599	834	1390	1622	1263	703	1624	701	843	740	596	595	698	687	881	769	739	578	1186	845	574	748	566	921	1146	1194	1043	673	661	856	621	741	1051	1403	1043	1060	1388	896	1353	1205	1225	791	1318	822	1411	1576	1684	840	712	826	785	981	139	776	49	560	916	695	203					
9	Число недействительных избирательных бюллетеней	1138	16	10	21	3	10	21	17	12	19	11	7	24	15	9	18	10	12	15	30	18	11	35	8	20	7	8	11	18	6	14	13	17	11	23	14	12	13	4	8	14	27	16	4	11	17	11	11	23	30	13	17	22	16	18	16	22	12	16	69	19	22	27	16	11	19	10	15	1	14	1	8	22	15	2					
