Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																														
Дата голосования: 04.12.2011																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Тайшетская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376					
1	"Число избирателей, внесенных в список избирателей"	58359	245	123	627	254	10	973	935	481	181	141	239	739	170	578	248	133	256	124	863	848	188	271	74	1115	1023	385	151	622	164	201	180	289	785	31	325	688	218	929	336	584	365	92	427	210	129	648	154	417	418	275	178	141	1585	1116	1315	1404	1320	370	843	726	758	862	919	1735	1405	1551	1649	1001	1439	1022	1405	1128	1892	1251	1100	309	800	1017	1157	1473	785	162	901	1417	1302	821	238					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57601	243	125	650	266	13	945	960	494	188	141	239	735	175	570	262	141	298	129	885	865	189	279	75	1100	1000	384	157	630	166	203	188	294	790	31	338	688	219	920	355	617	363	99	436	225	131	654	138	407	419	271	157	135	1500	1100	1300	1400	1300	369	850	752	768	875	925	1700	1300	1500	1600	1000	1400	1000	1300	1100	1800	1200	1100	308	815	1000	1100	1400	790	159	838	1300	1200	820	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25804	207	106	490	152	10	640	638	266	113	87	225	338	145	273	185	69	203	109	382	334	116	229	63	684	743	232	48	262	83	80	95	134	225	18	165	391	101	472	279	263	189	56	220	138	73	269	121	196	265	148	93	86	576	375	476	540	450	157	210	290	286	247	302	588	564	696	615	416	611	397	587	515	841	546	387	106	202	404	370	542	266	82	270	430	430	283	238					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2901	0	0	11	14	0	40	25	24	9	7	0	48	10	49	27	14	15	0	110	124	11	29	0	49	38	20	68	22	16	27	15	34	87	0	27	66	10	60	0	57	18	2	49	36	7	77	7	54	11	0	8	17	38	32	61	77	93	11	58	37	34	128	46	24	41	25	51	9	23	30	108	13	34	42	83	4	15	28	28	43	32	0	74	40	79	11	0					
6	Число погашенных избирательных бюллетеней	28896	36	19	149	100	3	265	297	204	66	47	14	349	20	248	50	58	80	20	393	407	62	21	12	367	219	132	41	346	67	96	78	126	478	13	146	231	108	388	76	297	156	41	167	51	51	308	10	157	143	123	56	32	886	693	763	783	757	201	582	425	448	500	577	1088	695	779	934	575	766	573	605	572	925	612	630	198	598	568	702	815	492	77	494	830	691	526	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2901	0	0	11	14	0	40	25	24	9	7	0	48	10	49	27	14	15	0	110	124	11	29	0	49	38	20	68	22	16	27	15	34	87	0	27	66	10	60	0	57	18	2	49	36	7	77	7	54	11	0	8	17	38	32	61	77	93	11	58	37	34	128	46	24	41	25	51	9	23	30	108	13	34	42	83	4	15	28	28	43	32	0	74	40	79	11	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25804	207	106	490	152	10	640	638	266	113	87	225	338	145	273	185	69	203	109	382	334	116	229	63	684	743	232	48	262	83	80	95	134	225	18	165	391	101	472	279	263	189	56	220	138	73	269	121	196	265	148	93	86	576	375	476	540	450	157	210	290	286	247	302	588	564	696	615	416	611	397	587	515	841	546	387	106	202	404	370	542	266	82	270	430	430	283	238					
9	Число недействительных избирательных бюллетеней	406	2	0	6	1	0	3	11	8	3	2	2	9	3	3	6	4	5	1	5	3	2	5	0	8	8	2	0	0	4	1	1	2	7	0	3	9	2	10	7	6	4	0	0	5	4	9	3	3	6	3	0	2	6	7	7	4	15	5	4	7	5	7	6	10	10	7	7	5	5	4	5	10	9	9	6	4	1	5	6	3	0	1	11	8	8	5	1					
10	Число действительных избирательных бюллетеней	28299	205	106	495	165	10	677	652	282	119	92	223	377	152	319	206	79	213	108	487	455	125	253	63	725	773	250	116	284	95	106	109	166	305	18	189	448	109	522	272	314	203	58	269	169	76	337	125	247	270	145	101	101	608	400	530	613	528	163	264	320	315	368	342	602	595	714	659	420	629	423	690	518	866	579	464	106	216	427	392	582	298	81	333	462	501	289	237					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	779	2	2	30	10	0	10	10	15	3	3	5	5	2	5	10	5	6	2	20	20	5	3	2	10	10	2	2	10	2	2	7	5	5	0	5	5	5	10	2	5	5	5	3	7	4	7	1	10	3	5	5	5	15	5	10	11	10	4	10	10	10	10	10	15	20	20	15	20	14	16	20	20	20	20	20	5	10	15	15	25	10	2	10	10	15	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	327	0	0	23	10	0	2	10	10	0	0	0	3	0	1	10	5	6	2	9	20	0	0	0	4	0	1	0	6	1	0	7	5	4	0	2	0	0	1	0	5	5	5	3	7	4	1	0	5	0	1	0	0	7	2	1	8	9	0	3	8	0	1	0	7	11	3	5	13	0	5	4	5	11	3	3	2	7	5	1	6	2	0	3	7	2	5	0					
