Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    ТИК Пермского МР																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764					
1	"Число избирателей, внесенных в списки избирателей"	70733	2283	379	149	188	1799	1633	2836	650	714	489	685	134	119	1179	2916	806	1244	1155	1397	488	42	1859	1858	402	313	508	209	261	1635	2818	209	1088	832	1785	2101	90	688	1886	428	143	326	2286	689	901	320	1204	202	1779	1494	1380	2038	817	1931	2363	2393	1438	1330	1226	1085	1262	1257	613	1267	734					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67720	2200	380	180	200	1680	1250	2580	590	730	380	550	160	150	1600	3000	830	1160	1230	1390	420	500	1660	1630	450	310	470	170	260	1680	2340	210	1060	840	1680	1910	100	660	1800	400	140	290	2000	620	860	310	1200	230	1550	1320	1240	1730	750	1760	2260	2300	1260	1300	1120	1100	1160	1300	560	1570	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	102	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41911	1310	223	97	92	974	922	1510	430	464	283	377	88	104	780	2457	573	726	808	842	243	42	1005	912	300	140	160	144	83	1136	1920	143	664	428	1032	1051	77	411	1170	266	132	236	1358	396	579	192	845	150	971	847	506	808	498	1064	1577	1575	739	639	768	605	636	518	367	786	732					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5988	308	22	25	52	33	62	184	58	14	96	46	27	15	69	46	62	210	101	135	87	0	57	82	34	47	190	15	88	104	136	9	231	153	244	94	8	121	63	53	8	9	28	24	44	61	77	33	56	40	279	469	86	210	72	95	153	147	59	123	211	168	91	62	2					
6	Число погашенных избирательных бюллетеней	19645	582	135	58	56	673	266	886	102	252	1	127	45	31	751	497	195	224	321	413	90	458	598	636	116	123	120	11	89	440	284	58	150	259	404	741	15	128	567	81	0	45	613	200	237	57	277	47	523	433	455	453	166	486	611	622	351	514	293	372	313	512	102	722	258					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6154	308	22	25	52	33	62	184	58	14	96	46	27	15	69	46	62	210	101	135	87	0	57	82	34	47	190	15	88	104	136	9	246	153	244	118	8	121	63	53	8	9	28	24	44	61	77	33	56	40	279	469	86	210	72	103	170	147	59	123	211	270	91	62	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41909	1310	223	97	92	974	922	1510	430	463	283	377	88	104	780	2457	573	726	808	842	243	42	1005	912	300	140	160	144	83	1136	1920	143	664	428	1032	1051	77	411	1170	266	132	236	1357	396	579	192	845	150	971	847	506	808	498	1064	1577	1575	739	639	768	605	636	518	367	786	732					
9	Число недействительных избирательных бюллетеней	852	23	2	4	1	8	9	73	15	31	27	3	0	0	4	38	8	1	0	4	0	0	6	7	7	2	2	0	0	35	159	5	9	35	14	3	1	4	10	0	16	1	16	3	2	0	19	13	16	11	8	9	2	2	16	35	11	5	27	38	11	7	24	5	5					
10	Число действительных избирательных бюллетеней	47211	1595	243	118	143	999	975	1621	473	446	352	420	115	119	845	2465	627	935	909	973	330	42	1056	987	327	185	348	159	171	1205	1897	147	901	546	1262	1166	84	528	1223	319	124	244	1369	417	621	253	903	170	1011	876	777	1268	582	1272	1633	1643	898	781	800	690	836	781	434	843	729					
