Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Юкаменская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8615	733	537	249	464	727	720	661	122	615	202	155	341	125	237	320	598	308	159	429	256	210	244	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8600	740	535	240	455	730	725	665	120	615	200	165	345	125	235	310	600	300	155	430	250	205	240	215									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4399	420	285	109	206	365	366	379	60	282	99	85	159	75	140	168	266	160	90	269	122	88	129	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	532	14	18	22	20	23	16	14	4	61	21	7	24	6	17	18	56	33	14	33	32	15	8	56									
6	Число погашенных избирательных бюллетеней	3669	306	232	109	229	342	343	272	56	272	80	73	162	44	78	124	278	107	51	128	96	102	103	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	532	14	18	22	20	23	16	14	4	61	21	7	24	6	17	18	56	33	14	33	32	15	8	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4377	419	285	108	205	346	366	379	60	282	99	85	159	75	140	168	266	160	90	269	122	88	129	77									
9	Число недействительных избирательных бюллетеней	163	22	6	3	10	0	31	5	1	17	2	5	3	10	3	4	13	2	0	9	4	6	3	4									
10	Число действительных избирательных бюллетеней	4746	411	297	127	215	369	351	388	63	326	118	87	180	71	154	182	309	191	104	293	150	97	134	129									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	179	10	10	3	7	10	10	10	5	10	5	14	5	5	5	5	10	10	5	10	5	5	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	6	5	2	3	6	6	7	5	0	5	14	5	5	3	0	8	0	0	3	1	1	4	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	4	6	5	4	5	3	1	2	3	4	2	2	3	2	7	2	1	1	2	1	4	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	75	4	5	1	4	4	4	3	0	10	0	0	0	0	2	5	2	10	5	7	4	4	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	48	4	2	0	2	0	7	2	0	12	0	1	1	0	1	0	6	5	1	2	2	0	0	0									
		0.98%	0.92%	0.66%	0.00%	0.89%	0.00%	1.83%	0.51%	0.00%	3.50%	0.00%	1.09%	0.55%	0.00%	0.64%	0.00%	1.86%	2.59%	0.96%	0.66%	1.30%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	87	6	7	3	6	8	8	4	1	4	1	1	3	0	5	3	9	3	1	7	3	1	3	0									
