Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Таборинская 																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889					
1	"Число избирателей, внесенных в списки"	3498	154	126	128	146	50	1680	437	79	223	282	110	83					
2	"Число бюллетеней, полученных участковыми комиссиями"	3501	170	125	125	150	55	1645	440	86	224	286	110	85					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1915	85	94	113	106	36	711	231	60	190	154	67	68					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	188	0	0	0	19	0	81	26	0	0	62	0	0					
6	Число погашенных бюллетеней	1398	85	31	12	25	19	853	183	26	34	70	43	17					
7	Число бюллетеней в переносных ящиках для голосования	188	0	0	0	19	0	81	26	0	0	62	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1915	85	94	113	106	36	711	231	60	190	154	67	68					
9	Число недействительных бюллетеней	33	2	0	1	0	0	17	5	0	3	3	0	2					
10	Число действительных бюллетеней	2070	83	94	112	125	36	775	252	60	187	213	67	66					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	5	5	5	5	5	33	10	5	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	0	0	0	2	5	10	3	0	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	1	0	0	0	2	3	0	0	0	4	2	1					
14	Число погашенных открепительных удостоверений	75	5	5	5	3	0	23	7	5	5	9	3	5					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	62	4	0	2	2	0	25	5	0	10	6	6	2					
		2.94%	4.70%	0.0%	1.76%	1.6%	0.0%	3.15%	1.94%	0.0%	5.26%	2.77%	8.95%	2.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	32	1	0	4	4	2	18	2	0	0	0	0	1					
		1.52%	1.17%	0.0%	3.53%	3.2%	5.55%	2.27%	0.77%	0.0%	0.0%	0.0%	0.0%	1.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	81	2	5	3	0	2	42	13	0	2	8	3	1					
		3.85%	2.35%	5.31%	2.65%	0.0%	5.55%	5.30%	5.05%	0.0%	1.05%	3.70%	4.47%	1.47%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	128	12	5	1	4	0	36	20	10	15	14	0	11					
		6.08%	14.11%	5.31%	0.88%	3.2%	0.0%	4.54%	7.78%	16.66%	7.89%	6.48%	0.0%	16.17%					
22	"5. ""За Русь Святую"""	9	1	0	0	0	0	3	3	0	2	0	0	0					
		0.42%	1.17%	0.0%	0.0%	0.0%	0.0%	0.37%	1.16%	0.0%	1.05%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	2	1	0	1	7	0	0	1	1	2	1					
		0.76%	0.0%	2.12%	0.88%	0.0%	2.77%	0.88%	0.0%	0.0%	0.52%	0.46%	2.98%	1.47%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	0	0	0	1	0	7	2	0	0	1	1	0					
		0.57%	0.0%	0.0%	0.0%	0.8%	0.0%	0.88%	0.77%	0.0%	0.0%	0.46%	1.49%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	0	0	0	1	0	1	1	0	0	1	0	0					
		0.19%	0.0%	0.0%	0.0%	0.8%	0.0%	0.12%	0.38%	0.0%	0.0%	0.46%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	83	0	1	8	5	1	22	9	2	11	11	12	1					
		3.94%	0.0%	1.06%	7.07%	4.0%	2.77%	2.77%	3.50%	3.33%	5.78%	5.09%	17.91%	1.47%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	3	1	0	0	0	0	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	16	0	0	2	1	0	8	2	0	0	1	0	2					
		0.76%	0.0%	0.0%	1.76%	0.8%	0.0%	1.01%	0.77%	0.0%	0.0%	0.46%	0.0%	2.94%					
30	"13. ""Демократическая партия России"""	5	1	0	1	0	0	2	1	0	0	0	0	0					
		0.23%	1.17%	0.0%	0.88%	0.0%	0.0%	0.25%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	1	0	0	1	0	1	1	1	0	0	0	0					
		0.23%	1.17%	0.0%	0.0%	0.8%	0.0%	0.12%	0.38%	1.66%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	3	0	0	0	0	0	2	0	1	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	77	4	2	2	1	2	55	6	0	0	5	0	0					
		3.66%	4.70%	2.12%	1.76%	0.8%	5.55%	6.94%	2.33%	0.0%	0.0%	2.31%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	0	2	2	0	0	2	0	0	2	0	0					
		0.38%	0.0%	0.0%	1.76%	1.6%	0.0%	0.0%	0.77%	0.0%	0.0%	0.92%	0.0%	0.0%					
35	"18. ""ЛДПР"""	296	13	20	8	24	11	119	25	4	21	39	1	11					
		14.07%	15.29%	21.27%	7.07%	19.2%	30.55%	15.02%	9.72%	6.66%	11.05%	18.05%	1.49%	16.17%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	95	1	1	0	3	0	27	33	1	7	16	1	5					
		4.51%	1.17%	1.06%	0.0%	2.4%	0.0%	3.40%	12.84%	1.66%	3.68%	7.40%	1.49%	7.35%					
37	"20. ""Политическая партия ""Единая Россия"""	869	28	45	68	58	16	285	102	35	89	88	31	24					
		41.32%	32.94%	47.87%	60.17%	46.4%	44.44%	35.98%	39.68%	58.33%	46.84%	40.74%	46.26%	35.29%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	0	0	0	0	0	0	0	0	2	0	0	0					
