Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Зеленогорская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51807	2185	2107	2623	2273	2207	2360	2319	2274	2220	2365	2493	2320	2174	2256	2291	2211	2502	2451	2420	2558	2636	2562									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52000	2200	2150	2600	2300	2200	2400	2350	2250	2250	2400	2450	2300	2200	2250	2300	2250	2500	2450	2450	2550	2650	2550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24097	976	977	1358	1024	970	1039	939	1104	1030	1047	1023	1215	1011	1212	1119	1122	1253	1166	1124	1114	1326	948									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	481	21	23	45	37	26	27	17	26	25	23	20	11	12	19	8	9	17	22	16	28	18	31									
6	Число погашенных избирательных бюллетеней	27422	1203	1150	1197	1239	1204	1334	1394	1120	1195	1330	1407	1074	1177	1019	1173	1119	1230	1262	1310	1408	1306	1571									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	481	21	23	45	37	26	27	17	26	25	23	20	11	12	19	8	9	17	22	16	28	18	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24081	976	976	1354	1024	969	1039	939	1104	1030	1046	1023	1215	1011	1210	1117	1122	1253	1166	1124	1110	1325	948									
9	Число недействительных избирательных бюллетеней	710	28	31	40	34	45	46	17	45	31	26	27	32	28	29	32	28	24	29	26	33	54	25									
10	Число действительных избирательных бюллетеней	23852	969	968	1359	1027	950	1020	939	1085	1024	1043	1016	1194	995	1200	1093	1103	1246	1159	1114	1105	1289	954									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	9	15	14	26	11	5	10	18	15	7	8	17	11	11	15	13	13	12	9	5	12	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	4	5	0	5	5	3	3	9	6	4	1	6	1	5	4	6	0	6	6	1	6	6									
14	Число погашенных неиспользованных открепительных удостоверений	401	21	15	16	4	19	25	20	12	15	23	22	13	19	19	15	17	17	18	21	25	18	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	81	7	2	5	7	4	6	2	1	4	4	5	3	2	3	5	4	3	3	6	1	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	305	12	14	18	5	20	10	6	14	10	17	9	22	20	13	14	11	16	12	22	12	21	7									
		1.24%	1.20%	1.40%	1.29%	0.47%	2.01%	0.94%	0.63%	1.24%	0.95%	1.59%	0.86%	1.79%	1.96%	1.06%	1.24%	0.97%	1.26%	1.01%	1.93%	1.05%	1.56%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	847	25	39	47	36	29	33	35	33	30	46	29	38	41	35	48	35	41	35	43	53	59	37									
