Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №27																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128					
1	"Число избирателей, внесенных в список избирателей"	85611	1817	1983	2077	1959	1984	2185	1612	1804	1104	1991	2742	2795	1990	1375	2440	1800	1444	2086	1168	2253	1996	2033	2539	2247	2505	2095	1631	1117	1364	1928	2170	2250	2412	2413	1960	1893	2349	1940	1984	714	1410	1213	1172	1454	430	1456	327					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62300	1200	1400	1500	1400	1400	1500	1100	1300	800	1500	1900	1800	1300	1000	1800	1300	1000	1400	800	1500	1400	1400	1700	1500	1700	1400	1200	1100	900	1500	1500	1400	1600	1600	1400	1200	1600	1400	1400	500	1000	1300	1300	1400	1100	900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45062	1079	1019	984	941	1038	1003	735	833	479	1052	1366	1337	1242	697	1202	842	704	1170	624	1253	913	947	1285	1033	1289	940	909	636	765	1036	1187	1142	1350	1268	1170	828	1121	955	856	334	656	1034	967	1184	430	900	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	929	7	16	10	19	20	30	17	14	7	22	25	92	19	17	16	13	6	14	22	13	17	16	15	51	12	8	17	17	12	22	20	159	20	17	19	45	15	4	23	19	2	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	16309	114	365	506	440	342	467	348	453	314	426	509	371	39	286	582	445	290	216	154	234	470	437	400	416	399	452	274	447	123	442	293	99	230	315	211	327	464	441	521	147	342	266	333	216	670	0	673					
7	Число избирательных бюллетеней в переносных ящиках для голосования	929	7	16	10	19	20	30	17	14	7	22	25	92	19	17	16	13	6	14	22	13	17	16	15	51	12	8	17	17	12	22	20	159	20	17	19	45	15	4	23	19	2	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44479	1072	1003	984	941	1036	1003	734	832	477	1030	1366	1331	1242	696	1202	842	702	1151	624	1248	907	947	1285	1033	1288	898	906	635	765	1025	1182	1142	1142	1195	1130	805	1119	955	832	334	656	1023	967	1140	430	896	326					
9	Число недействительных избирательных бюллетеней	754	14	11	15	10	10	11	9	16	6	17	21	42	0	19	42	16	6	16	7	16	5	11	19	24	16	15	16	18	15	18	10	9	14	21	89	11	24	15	6	9	12	15	15	22	5	16	0					
10	Число действительных избирательных бюллетеней	44654	1065	1008	979	950	1046	1022	742	830	478	1035	1370	1381	1261	694	1176	839	702	1149	639	1245	919	952	1281	1060	1284	891	907	634	762	1029	1192	1292	1148	1191	1060	839	1110	944	849	344	646	1008	952	1118	425	880	326					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2520	59	55	55	55	55	55	55	55	55	55	55	61	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	65	65	65	0	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	891	17	28	25	14	24	15	23	17	4	27	31	29	16	10	30	11	16	25	6	15	25	18	16	18	32	28	18	14	15	26	27	16	19	16	20	19	19	17	10	12	8	33	33	48	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	751	20	13	13	12	10	13	7	10	2	17	14	17	9	16	8	10	6	15	11	19	17	7	15	6	17	14	16	6	11	14	13	50	6	6	6	7	29	13	12	11	7	14	39	39	13	10	111					
14	Число погашенных неиспользованных открепительных удостоверений	1629	42	27	30	41	31	40	32	38	51	28	24	32	39	45	25	44	39	30	49	40	30	37	39	37	23	27	37	41	40	29	28	39	36	39	35	36	36	38	45	43	47	32	32	17	0	59	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	0	0	0	1	0	1	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9454	255	228	267	103	208	146	242	178	168	308	201	193	242	77	380	282	254	170	75	372	271	286	346	201	331	96	167	53	69	290	210	382	173	150	118	249	201	316	300	100	203	110	105	123	97	73	85					
		20.82%	23.63%	22.37%	26.86%	10.73%	19.70%	14.13%	32.22%	21.04%	34.71%	29.28%	14.45%	13.56%	19.19%	10.80%	31.20%	32.98%	35.88%	14.59%	11.61%	29.50%	29.33%	29.70%	26.62%	18.54%	25.46%	10.60%	18.09%	8.13%	8.88%	27.70%	17.47%	29.36%	14.89%	12.38%	10.27%	29.29%	17.72%	32.95%	35.09%	28.33%	30.85%	10.75%	10.86%	10.79%	22.56%	8.15%	26.07%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3492	77	110	65	52	102	68	73	64	67	95	99	84	88	57	106	93	79	56	32	126	131	117	40	90	62	32	45	47	42	94	50	89	72	32	45	80	90	104	76	28	79	61	57	67	39	151	79					
		7.69%	7.14%	10.79%	6.54%	5.42%	9.66%	6.58%	9.72%	7.57%	13.84%	9.03%	7.12%	5.90%	6.98%	7.99%	8.70%	10.88%	11.16%	4.81%	4.95%	9.99%	14.18%	12.15%	3.08%	8.30%	4.77%	3.53%	4.88%	7.21%	5.41%	8.98%	4.16%	6.84%	6.20%	2.64%	3.92%	9.41%	7.94%	10.84%	8.89%	7.93%	12.01%	5.96%	5.89%	5.88%	9.07%	16.85%	24.23%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	570	11	17	7	12	15	14	13	13	3	24	26	19	5	14	10	8	11	25	6	17	14	7	6	8	11	8	16	5	10	12	21	17	7	19	7	13	26	21	13	7	15	10	9	11	1	4	2					
		1.26%	1.02%	1.67%	0.70%	1.25%	1.42%	1.36%	1.73%	1.54%	0.62%	2.28%	1.87%	1.34%	0.40%	1.96%	0.82%	0.94%	1.55%	2.15%	0.93%	1.35%	1.52%	0.73%	0.46%	0.74%	0.85%	0.88%	1.73%	0.77%	1.29%	1.15%	1.75%	1.31%	0.60%	1.57%	0.61%	1.53%	2.29%	2.19%	1.52%	1.98%	2.28%	0.98%	0.93%	0.96%	0.23%	0.45%	0.61%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6132	184	189	166	48	236	125	138	74	73	195	169	200	254	93	210	145	116	86	60	216	191	172	233	164	76	47	149	113	28	189	252	213	64	54	48	153	136	188	149	69	83	81	76	89	52	21	65					
		13.50%	17.05%	18.55%	16.70%	5.00%	22.35%	12.10%	18.38%	8.75%	15.08%	18.54%	12.15%	14.05%	20.14%	13.04%	17.24%	16.96%	16.38%	7.38%	9.29%	17.13%	20.67%	17.86%	17.92%	15.13%	5.85%	5.19%	16.14%	17.33%	3.60%	18.05%	20.97%	16.37%	5.51%	4.46%	4.18%	18.00%	11.99%	19.60%	17.43%	19.55%	12.61%	7.92%	7.86%	7.81%	12.09%	2.34%	19.94%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4225	161	174	77	31	160	134	90	53	58	134	138	152	120	84	168	94	81	30	27	168	98	115	77	108	99	56	120	76	31	198	150	165	23	52	69	102	52	127	89	62	56	30	29	34	32	12	29					
		9.30%	14.92%	17.08%	7.75%	3.23%	15.15%	12.97%	11.98%	6.26%	11.98%	12.74%	9.92%	10.68%	9.52%	11.78%	13.79%	10.99%	11.44%	2.58%	4.18%	13.32%	10.61%	11.94%	5.92%	9.96%	7.62%	6.18%	13.00%	11.66%	3.99%	18.91%	12.48%	12.68%	1.98%	4.29%	6.01%	12.00%	4.59%	13.24%	10.41%	17.56%	8.51%	2.93%	2.99%	2.98%	7.44%	1.34%	8.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20315	365	285	391	697	318	527	183	439	104	274	726	718	465	361	289	210	151	773	431	338	200	249	576	478	693	635	406	336	568	235	494	416	805	877	768	238	599	178	210	74	204	705	667	782	201	616	60					
