Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Домодедовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404					
1	"Число избирателей, внесенных в списки избирателей"	111204	2496	2222	2435	2980	2065	2345	2321	2639	2417	1751	2312	2679	1989	1913	1680	1668	2416	2542	2153	2931	2299	2372	1692	2155	1485	1676	2038	2399	1306	1175	911	1403	1409	1187	638	1371	1326	1560	279	198	2162	164	2627	1260	1582	442	1314	2644	327	261	917	1922	2145	886	904	1688	1973	1004	1439	1367	1897	585	2241	1635	378	2607					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	96356	2200	1850	2150	2650	1800	2050	2050	1900	2100	1550	1900	2350	1700	1650	1500	1500	2150	2250	1900	2550	2050	2100	1450	2000	1350	1500	1700	2100	1050	850	800	1200	1200	900	800	1150	1150	1400	250	156	1900	150	2300	1100	1400	400	1200	2350	300	250	800	1650	1900	700	700	1450	1700	850	1150	1050	1300	500	1800	1200	350	3000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	68288	1481	1263	1467	1755	1218	1381	1379	1816	1514	947	1333	1547	1286	1199	1058	1071	1583	1475	1360	1658	1400	1475	990	1351	897	999	1224	1441	774	794	628	873	880	758	357	713	670	945	80	96	1290	68	1540	741	986	206	879	1627	182	91	484	1205	1424	492	497	940	1154	726	884	824	1234	465	1630	1101	141	2341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3209	24	51	28	39	41	43	39	50	33	49	38	56	36	18	17	21	14	56	49	17	34	39	30	31	29	43	32	25	116	21	8	14	28	25	37	121	122	85	94	47	144	43	119	42	69	79	20	97	41	97	64	65	16	66	79	43	43	32	51	67	30	10	10	5	177	0					
6	Число погашенных избирательных бюллетеней	24847	693	536	655	856	541	626	632	34	553	554	529	746	378	432	425	408	553	719	490	872	616	586	430	618	424	458	444	634	160	35	164	313	292	117	406	316	358	370	76	13	466	39	641	317	345	115	301	626	77	62	252	380	457	142	124	467	503	92	215	158	36	25	160	94	32	659					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3209	24	51	28	39	41	43	39	50	33	49	38	56	36	18	17	21	14	56	49	17	34	39	30	31	29	43	32	25	116	21	8	14	28	25	37	121	122	85	94	47	144	43	119	42	69	79	20	97	41	97	64	65	16	66	79	43	43	32	51	67	30	10	10	5	177	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68194	1479	1263	1467	1752	1218	1381	1377	1816	1503	947	1333	1547	1286	1199	1058	1071	1579	1475	1360	1658	1399	1473	988	1351	894	956	1223	1439	774	794	628	873	880	758	352	712	670	945	80	96	1290	68	1540	741	983	206	879	1627	182	91	484	1205	1420	492	497	940	1152	726	884	824	1232	465	1630	1100	141	2341					
9	Число недействительных избирательных бюллетеней	1014	29	14	59	18	16	20	27	27	17	7	19	19	18	15	18	8	25	25	16	17	24	19	16	22	20	10	13	23	10	16	12	16	10	2	32	11	6	15	0	2	11	1	18	16	7	2	9	17	2	6	11	12	23	4	3	18	22	14	16	10	15	6	10	8	6	54					
10	Число действительных избирательных бюллетеней	70389	1474	1300	1436	1773	1243	1404	1389	1839	1519	989	1352	1584	1304	1202	1057	1084	1568	1506	1393	1658	1409	1493	1002	1360	903	989	1242	1441	880	799	624	871	898	781	357	822	786	1015	174	141	1423	110	1641	767	1045	283	890	1707	221	182	537	1258	1413	554	573	965	1173	744	919	881	1247	469	1630	1097	312	2287					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2741	75	40	40	80	40	40	50	50	40	30	40	50	38	60	50	50	80	50	40	50	60	55	50	60	50	50	60	80	50	40	20	40	40	20	10	20	40	60	7	3	70	3	50	40	60	15	70	90	15	5	35	60	50	20	20	30	50	25	20	20	30	45	60	50	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2191	59	30	40	77	31	36	40	43	34	26	40	48	33	39	39	38	60	32	38	39	49	53	36	48	42	34	42	79	34	27	11	30	26	11	9	15	24	59	5	3	49	1	45	36	47	9	70	67	13	4	26	45	38	9	20	22	39	23	16	19	14	39	41	40	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	5318	59	22	33	62	50	32	51	419	60	9	186	116	63	51	21	37	24	32	36	39	13	38	56	29	62	14	69	34	127	80	28	8	40	39	31	42	30	32	8	26	57	14	24	26	11	18	22	59	11	6	13	63	96	83	61	48	64	56	30	169	342	7	28	6	23	1773					
14	Число погашенных неиспользованных открепительных удостоверений	550	16	10	0	3	9	4	10	7	6	4	0	2	5	21	11	12	20	18	2	11	11	2	14	12	8	16	18	1	16	13	9	10	14	9	1	5	16	1	2	0	21	2	5	4	13	6	0	23	2	1	9	15	12	11	0	8	11	2	4	1	16	6	19	10	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	2	3	2	1	1	1	1	5	1	0	2	1	1	0	1	0	2	6	6	3	1	2	1	3	3	0	1	1	0	0	1	0	2	1	0	0	0	0	0	0	4	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	12	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
