Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Иркутская городская № 3																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в список"	80138	2026	1168	2239	2364	2233	1773	2314	1965	1545	1970	2052	2702	1297	1172	1539	2456	1616	2005	2175	2191	1696	1328	1949	1804	1381	1986	2347	1165	1598	728	1253	867	1510	2992	2548	1412	1870	687	1847	1451	2769	2689	1630	1829					
2	Число полученных избирательных бюллетеней	75800	1800	1100	2200	2000	2100	1700	2100	1800	1500	1900	2000	2400	1200	1100	1500	2400	1600	1900	2100	2100	1600	1300	1800	1700	1300	1900	2200	1100	1500	700	1200	800	1400	2700	2300	1300	1700	700	1800	1400	2700	2600	1400	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39469	1006	639	1218	1177	1289	996	1768	943	899	960	1176	1157	473	500	876	1225	796	973	949	1077	847	564	815	777	683	797	960	402	569	314	493	340	749	1137	753	461	704	363	922	713	1678	1528	1053	1750					
5	"Число избирательных бюллетеней, выданных вне помещения"	2551	115	15	54	193	75	50	95	50	39	33	43	315	68	20	25	35	60	42	52	26	9	34	32	45	33	87	109	9	62	11	33	13	4	181	174	86	22	30	37	15	9	8	103	0					
6	Число погашенных избирательных бюллетеней	33780	679	446	928	630	736	654	237	807	562	907	781	928	659	580	599	1140	744	885	1099	997	744	702	953	878	584	1016	1131	689	869	375	674	447	647	1382	1373	753	974	307	841	672	1013	1064	244	450					
7	Число избирательных бюллетеней в переносных ящиках	2551	115	15	54	193	75	50	95	50	39	33	43	315	68	20	25	35	60	42	52	26	9	34	32	45	33	87	109	9	62	11	33	13	4	181	174	86	22	30	37	15	9	8	103	0					
8	Число бюллетеней в стационарных ящиках для голосования	39446	1006	639	1218	1177	1287	992	1768	941	898	960	1176	1157	473	500	873	1225	794	973	949	1077	847	564	815	777	682	797	960	402	569	314	493	340	749	1137	753	461	704	363	922	713	1678	1520	1053	1750					
9	Число недействительных избирательных бюллетеней	333	5	4	4	8	6	5	9	5	5	5	6	11	3	2	5	12	4	14	8	4	8	0	6	4	6	10	6	9	11	0	8	1	11	12	7	5	10	0	15	2	6	10	7	54					
10	Число действительных избирательных бюллетеней	41664	1116	650	1268	1362	1356	1037	1854	986	932	988	1213	1461	538	518	893	1248	850	1001	993	1099	848	598	841	818	709	874	1063	402	620	325	518	352	742	1306	920	542	716	393	944	726	1681	1518	1149	1696					
