Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Арская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995					
1	"Число избирателей, внесенных в список избирателей"	38786	1129	1130	1113	1249	1181	1164	1106	994	960	1000	933	1017	941	1014	1113	512	496	457	920	699	937	1068	385	349	399	194	194	308	330	310	689	495	220	766	406	590	193	611	213	764	412	161	448	563	640	261	198	562	603	239	631	1249	497	553	257	477	316	178	809	516	325	342					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39250	1141	1150	1131	1260	1191	1169	1115	1004	964	1004	939	1029	959	1030	1125	559	500	463	928	704	940	1075	388	350	403	196	200	308	331	312	694	501	224	774	408	596	195	648	215	775	414	164	452	570	653	261	200	569	605	240	638	1271	506	561	260	481	319	180	812	521	328	347					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36335	1079	1065	1068	1112	1150	1089	1040	939	936	970	903	995	878	974	1053	508	490	457	875	571	849	877	338	283	352	188	185	290	323	289	646	485	205	691	333	486	191	607	208	650	405	161	446	563	632	249	157	552	581	232	620	1106	427	488	254	456	286	166	795	499	310	322					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1956	35	31	21	81	6	63	22	42	7	11	18	2	17	14	49	4	6	0	36	128	48	170	45	66	47	6	9	18	7	21	42	10	15	75	73	104	2	4	5	113	7	0	2	0	8	12	41	10	22	7	11	118	70	56	3	21	29	12	5	17	12	20					
6	Число погашенных избирательных бюллетеней	959	27	54	42	67	35	17	53	23	21	23	18	32	64	42	23	47	4	6	17	5	43	28	5	1	4	2	6	0	1	2	6	6	4	8	2	6	2	37	2	12	2	3	4	7	13	0	2	7	2	1	7	47	9	17	3	4	4	2	12	5	6	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1955	35	31	21	81	6	63	22	42	7	11	18	2	17	14	49	4	6	0	36	128	48	170	45	66	47	6	9	18	7	21	42	10	15	75	73	104	2	4	5	112	7	0	2	0	8	12	41	10	22	7	11	118	70	56	3	21	29	12	5	17	12	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36329	1079	1065	1068	1111	1150	1089	1040	939	936	970	903	995	878	974	1053	507	490	457	875	571	849	877	338	283	352	188	185	290	323	289	646	485	205	691	333	486	191	603	208	650	405	161	446	563	632	249	157	552	581	232	620	1106	427	488	254	456	286	166	795	499	310	322					
9	Число недействительных избирательных бюллетеней	40	2	3	0	3	1	0	1	0	3	1	0	0	3	0	0	0	0	0	4	3	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	38244	1112	1093	1089	1189	1155	1152	1061	981	940	980	921	997	892	988	1102	511	496	457	907	696	897	1041	383	349	392	194	194	308	330	310	688	495	220	766	406	590	193	604	213	762	412	161	448	563	640	261	198	562	603	239	631	1224	497	544	257	477	315	178	800	516	322	342					
