Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Арская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995					
1	"Число избирателей, внесенных в списки избирателей"	36719	976	886	903	1003	1048	842	628	768	940	1022	864	805	848	1035	923	845	190	726	780	542	364	405	318	528	418	161	501	426	603	211	677	587	234	582	159	451	677	906	457	218	460	320	335	183	306	318	323	1098	844	184	335	190	391	354	599	559	561	678	736	331	219	519	482	432	505					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36784	962	880	892	994	1051	831	630	769	928	1007	853	799	853	1039	917	844	190	725	788	548	363	405	325	528	419	161	504	430	605	217	677	578	237	586	166	448	684	919	472	219	466	320	338	183	308	319	325	1110	849	189	343	193	394	354	599	561	571	681	741	332	222	522	484	432	505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33807	888	861	850	921	1044	793	578	722	888	987	830	750	833	1011	860	778	151	557	761	496	315	400	315	519	396	156	458	416	564	195	597	534	219	451	155	320	525	842	409	192	415	314	301	157	269	308	281	1001	709	170	275	171	330	296	580	495	522	611	673	308	210	510	466	428	470					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2627	70	16	29	54	4	25	34	28	40	8	19	49	8	13	54	66	39	168	15	43	44	5	3	9	22	5	43	10	34	16	80	44	15	131	4	126	152	57	48	26	45	6	34	26	37	10	42	89	131	14	60	19	61	58	19	64	39	65	56	23	9	9	16	4	35					
6	Число погашенных избирательных бюллетеней	350	4	3	13	19	3	13	18	19	0	12	4	0	12	15	3	0	0	0	12	9	4	0	7	0	1	0	3	4	7	6	0	0	3	4	7	2	7	20	15	1	6	0	3	0	2	1	2	20	9	5	8	3	3	0	0	2	10	5	12	1	3	3	2	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2627	70	16	29	54	4	25	34	28	40	8	19	49	8	13	54	66	39	168	15	43	44	5	3	9	22	5	43	10	34	16	80	44	15	131	4	126	152	57	48	26	45	6	34	26	37	10	42	89	131	14	60	19	61	58	19	64	39	65	56	23	9	9	16	4	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33807	888	861	850	921	1044	793	578	722	888	987	830	750	833	1011	860	778	151	557	761	496	315	400	315	519	396	156	458	416	564	195	597	534	219	451	155	320	525	842	409	192	415	314	301	157	269	308	281	1001	709	170	275	171	330	296	580	495	522	611	673	308	210	510	466	428	470					
9	Число недействительных избирательных бюллетеней	20	0	0	0	0	2	4	4	0	0	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	36414	958	877	879	975	1046	814	608	750	928	992	846	799	841	1024	914	842	190	725	776	539	359	405	318	528	418	161	501	426	598	211	676	578	234	582	159	446	677	899	457	218	460	320	334	183	306	318	323	1090	840	184	335	190	391	354	599	559	561	676	729	331	219	519	482	432	505					
