Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Северская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164	УИК №4165	УИК №4166	УИК №4167	УИК №4168	УИК №4169									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86410	937	1836	1694	1980	1846	2420	534	1252	1908	1468	303	1609	1286	337	180	1141	628	1651	1470	1377	1620	1462	1726	1472	1954	1209	1181	1158	1193	443	1351	1196	1437	693	530	139	316	1307	218	1950	1908	639	2452	2205	2408	1534	1832	1420	1521	1529	1538	2122	1091	276	1768	1351	1634	1194	567	111	1411	1388	1229	1195	1363	1340	554	209	209									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85630	920	1820	1757	1950	1820	2350	500	1230	1880	1450	270	1600	1250	320	189	1110	600	1630	1450	1404	1620	1440	1680	1430	1950	1220	1180	1150	1190	430	1350	1180	1450	680	520	130	300	1300	220	1950	1900	620	2430	2180	2470	1530	1800	1400	1520	1520	1520	2100	1100	260	1750	1330	1600	1180	550	100	1400	1400	1240	1170	1350	1340	550	230	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	51656	605	1308	1265	1284	1472	1565	383	848	1485	946	209	1243	907	196	170	767	436	1225	907	831	1090	865	1045	840	483	591	630	227	755	237	742	690	964	388	250	96	138	768	149	811	1140	124	2065	1865	975	805	1177	906	587	464	669	1612	629	141	1179	701	921	686	261	65	764	772	744	560	709	715	281	158	170									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9884	163	251	107	310	12	403	50	175	88	236	36	51	46	44	0	87	50	200	270	301	180	214	158	77	190	144	100	309	235	120	212	152	110	102	108	27	88	213	40	149	137	152	85	69	276	88	205	93	87	77	241	154	354	92	256	240	380	265	103	21	84	86	36	158	142	88	58	23	26									
6	Число погашенных избирательных бюллетеней	24090	152	261	385	356	336	382	67	207	307	268	25	306	297	80	19	256	114	205	273	272	350	361	477	513	1277	485	450	614	200	73	396	338	376	190	162	7	74	319	31	990	623	344	280	246	1219	637	418	401	846	979	610	334	117	27	315	389	299	229	186	14	552	542	460	452	499	537	211	49	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9883	163	251	107	310	12	403	50	175	88	236	36	51	46	44	0	87	50	200	270	301	180	214	158	77	190	144	100	309	235	120	212	152	110	102	108	27	88	213	40	149	137	152	85	69	275	88	205	93	87	77	241	154	354	92	256	240	380	265	103	21	84	86	36	158	142	88	58	23	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	51655	605	1308	1264	1284	1472	1565	383	848	1485	946	209	1243	907	196	170	767	436	1225	907	831	1090	865	1045	840	483	591	630	227	755	237	742	690	964	388	250	96	138	768	149	811	1140	124	2065	1865	975	805	1177	906	587	464	669	1612	629	141	1179	701	921	686	261	65	764	772	744	560	709	715	281	158	170									
9	Число недействительных избирательных бюллетеней	875	3	3	14	6	4	10	6	7	13	10	0	12	10	0	1	5	5	4	4	9	2	0	19	9	6	5	1	16	5	2	4	3	8	3	13	0	11	10	7	17	22	0	7	59	29	11	8	8	21	17	5	17	17	4	8	6	10	0	5	1	54	44	74	65	58	20	37	0	1									
10	Число действительных избирательных бюллетеней	60663	765	1556	1357	1588	1480	1958	427	1016	1560	1172	245	1282	943	240	169	849	481	1421	1173	1123	1268	1079	1184	908	667	730	729	520	985	355	950	839	1066	487	345	123	215	971	182	943	1255	276	2143	1875	1221	882	1374	991	653	524	905	1749	966	229	1427	935	1291	951	359	85	794	814	706	653	793	783	302	181	195									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1265	10	20	35	30	30	20	10	20	15	20	5	25	20	10	5	25	20	10	30	10	20	15	25	20	15	15	15	10	10	10	25	20	20	10	10	5	5	20	20	20	20	25	20	20	25	35	30	25	20	20	20	20	25	10	25	25	20	15	15	5	20	20	15	15	15	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	637	10	14	30	23	12	4	0	12	6	12	2	25	5	10	1	8	1	0	1	2	6	6	8	3	15	3	7	2	1	4	6	20	9	10	10	2	5	20	17	16	14	3	8	16	6	7	6	4	12	10	10	20	8	10	25	8	5	3	2	0	12	7	5	2	6	20	20	20	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	5	7	7	8	5	1	0	4	2	0	3	4	0	4	5	1	10	4	0	0	0	3	5	5	9	2	1	2	0	2	7	2	2	2	3	0	0	0	3	3	2	1	5	6	6	2	6	3	1	6	7	1	1	0	8	6	6	2	14	0	2	4	0	0	3	0	2	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	628	0	6	5	7	18	16	10	8	9	8	3	0	15	0	4	17	19	10	29	8	14	9	17	17	0	12	8	8	9	6	19	0	11	0	0	3	0	0	3	4	6	22	12	4	19	28	24	21	8	10	10	0	17	0	0	17	15	12	13	5	8	13	10	13	9	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	1	1	0	3	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
