Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Тюменская																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86261	1239	1240	1671	1341	2551	796	182	1264	208	1319	1586	1611	1782	1527	1665	1687	1665	1914	2047	1189	1399	1146	1145	538	2149	2328	2104	565	1382	416	477	2135	1723	1610	722	553	1964	1598	1721	225	2240	1866	423	791	1429	590	866	293	251	209	293	2430	401	308	2429	797	1696	591	207	725	830	1122	1158	1382	687	116	239	1483	1746	747	427	353	392	1311	533	516									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82202	1201	1178	1588	1267	2414	770	185	1235	205	1231	1520	1523	1672	1444	1589	1610	1520	1799	1952	1144	1325	1085	1086	489	2012	2183	1990	541	1295	391	465	2029	1669	1556	709	531	1878	1493	1653	213	2084	1774	394	732	1345	599	824	277	247	208	289	2361	371	281	2318	758	1613	570	190	718	799	1084	1224	1303	669	110	227	1405	1713	720	402	334	374	1254	504	487									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	69580	1105	1089	1405	1109	1801	527	98	1188	150	1047	1258	1037	1231	1287	1474	981	978	1143	1284	704	924	762	920	482	1813	2044	1826	518	1177	331	440	1832	1599	1467	646	508	1543	1441	1588	202	2001	1454	368	672	1134	514	477	259	200	180	272	2098	238	274	2247	715	1447	523	190	708	688	772	1113	1199	615	106	213	1241	1656	428	318	321	349	848	428	355									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1797	15	7	19	15	20	10	0	19	41	3	7	8	9	7	16	10	5	11	12	12	29	260	165	7	25	21	26	11	39	30	1	11	10	11	13	23	16	23	22	10	12	224	12	7	11	11	15	10	5	6	8	35	14	7	31	4	23	6	0	0	18	31	45	51	17	0	0	31	11	53	52	10	13	19	5	1									
6	Число погашенных избирательных бюллетеней	10825	81	82	164	143	593	233	87	28	14	181	255	478	432	150	99	619	537	645	656	428	372	63	1	0	174	118	138	12	79	30	24	186	60	78	50	0	319	29	43	1	71	96	14	53	200	74	332	8	42	22	9	228	119	0	40	39	143	41	0	10	93	281	66	53	37	4	14	133	46	239	32	3	12	387	71	131									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1797	15	7	19	15	20	10	0	19	41	3	7	8	9	7	16	10	5	11	12	12	29	260	165	7	25	21	26	11	39	30	1	11	10	11	13	23	16	23	22	10	12	224	12	7	11	11	15	10	5	6	8	35	14	7	31	4	23	6	0	0	18	31	45	51	17	0	0	31	11	53	52	10	13	19	5	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	69567	1105	1089	1405	1109	1801	527	98	1188	150	1047	1258	1036	1231	1287	1474	981	978	1143	1284	704	924	762	920	482	1813	2044	1826	518	1177	331	440	1832	1599	1467	646	508	1543	1441	1588	202	1989	1454	368	672	1134	514	477	259	200	180	272	2098	238	274	2247	715	1447	523	190	708	688	772	1113	1199	615	106	213	1241	1656	428	318	321	349	848	428	355									
9	Число недействительных избирательных бюллетеней	410	2	10	3	3	4	2	1	0	0	1	3	3	2	46	1	3	21	28	13	1	1	1	1	1	40	6	2	1	3	1	1	2	4	3	5	1	2	1	5	1	4	3	1	1	1	2	1	0	0	2	0	3	1	1	3	2	3	1	1	6	8	35	14	3	7	2	1	31	2	0	2	9	2	27	1	1									
10	Число действительных избирательных бюллетеней	70954	1118	1086	1421	1121	1817	535	97	1207	191	1049	1262	1041	1238	1248	1489	988	962	1126	1283	715	952	1021	1084	488	1798	2059	1850	528	1213	360	440	1841	1605	1475	654	530	1557	1463	1605	211	1997	1675	379	678	1144	523	491	269	205	184	280	2130	251	280	2275	717	1467	528	189	702	698	768	1144	1247	625	104	212	1241	1665	481	368	322	360	840	432	355									
