Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																									
Дата голосования: 04.12.2011																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Воскресенская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, внесенных в список избирателей"	116984	1889	1555	1699	1786	1739	2096	1780	1574	1601	1662	1639	1573	471	1837	1804	200	1109	796	1555	1887	2223	1184	2795	1772	1808	1930	1750	1860	1829	754	1394	1751	2348	1603	2575	809	1727	1623	1597	2288	154	1696	1891	1947	1947	1792	695	978	876	506	1341	256	878	1926	977	590	400	1137	595	258	2581	2420	1222	2504	2625	2691	2097	167	489	337	279	738	1089	638	1800	1668	217	1637	1642	1017	1922	492					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113630	1850	1500	1650	1750	1650	2000	1750	1500	1550	1600	1550	1500	400	1750	1750	200	1050	750	1500	1850	2100	1100	2700	1750	1750	1850	1700	1800	1750	700	1250	1700	2300	1550	2450	750	1650	1550	1500	2200	160	1600	1800	1850	1850	1700	650	950	850	450	1300	250	850	1900	950	550	400	1100	600	250	2500	2300	2500	2400	2500	2550	2000	150	450	320	250	700	1050	600	1700	1700	250	1600	1600	1000	1850	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49833	847	661	817	789	727	1003	810	691	762	826	683	767	263	874	804	3	436	360	629	944	1071	462	1098	763	836	917	623	777	735	391	590	582	981	631	926	340	656	588	595	909	154	803	787	790	850	754	272	451	462	243	748	122	461	676	357	119	71	443	193	95	894	922	1202	1143	1195	1045	823	43	202	173	81	317	416	195	637	594	93	660	773	455	759	193					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3199	14	10	3	14	12	28	21	22	32	17	30	21	22	36	23	197	32	8	31	14	25	25	51	18	29	20	24	23	25	23	19	22	9	30	28	14	34	18	16	42	0	19	22	30	22	10	56	39	47	53	20	31	9	158	76	208	114	105	86	37	55	33	20	34	29	68	36	28	48	7	27	34	47	63	31	128	21	47	35	47	86	51					
6	Число погашенных избирательных бюллетеней	60569	989	829	830	947	911	969	919	787	756	757	837	712	115	840	923	0	582	382	840	892	1004	613	1551	969	885	913	1053	1000	990	284	641	1094	1310	889	1496	396	960	944	889	1249	6	778	989	1030	977	936	322	460	341	154	532	97	380	1066	517	223	215	552	321	118	1551	1336	1271	1223	1276	1433	1140	79	200	140	142	349	587	342	1032	978	136	893	791	498	1005	206					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3199	14	10	3	14	12	28	21	22	32	17	30	21	22	36	23	197	32	8	31	14	25	25	51	18	29	20	24	23	25	23	19	22	9	30	28	14	34	18	16	42	0	19	22	30	22	10	56	39	47	53	20	31	9	158	76	208	114	105	86	37	55	33	20	34	29	68	36	28	48	7	27	34	47	63	31	128	21	47	35	47	86	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49718	847	661	817	789	727	1002	810	691	762	826	683	767	263	874	802	3	436	360	629	944	1071	462	1098	763	836	917	623	769	735	366	590	564	981	628	913	340	656	588	577	909	154	803	787	790	849	754	272	451	462	243	748	122	461	676	357	119	71	443	193	95	894	922	1202	1137	1191	1031	823	42	202	173	81	317	416	195	637	594	93	660	772	455	759	193					
9	Число недействительных избирательных бюллетеней	1481	22	14	21	24	20	19	38	21	33	10	26	31	2	24	21	10	4	6	19	24	33	12	44	19	24	29	20	20	24	9	28	24	22	17	31	14	16	30	0	25	5	25	33	33	24	29	11	5	8	6	21	1	5	9	37	5	0	18	2	4	22	24	20	41	39	21	16	0	2	2	0	9	16	1	26	24	7	21	14	20	32	13					
10	Число действительных избирательных бюллетеней	51436	839	657	799	779	719	1011	793	692	761	833	687	757	283	886	804	190	464	362	641	934	1063	475	1105	762	841	908	627	772	736	380	581	562	968	641	910	340	674	576	593	926	149	797	776	787	847	735	317	485	501	290	747	152	465	825	396	322	185	530	277	128	927	931	1202	1130	1181	1078	843	70	248	178	108	342	447	257	642	698	107	686	793	482	813	231					
