Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Воскресенская																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
1	"Число избирателей, внесенных в списки избирателей"	117944	2756	2821	2717	2280	2232	2627	2116	1592	1610	2259	1498	340	1153	819	2507	1329	1154	1471	388	2868	2666	2574	2585	2548	686	1653	2310	2678	1461	1798	1169	2048	2025	1707	2308	240	1497	1857	2355	2465	2191	2615	2136	876	270	2068	1491	1250	257	1845	694	1056	907	467	1423	241	835	1929	940	572	401	1142	611	258	1683	1705	1032	2047	484	2056	153	203	301	432	749	1109	591	1877	1452	215	213					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	117800	2750	2850	2750	2250	2250	2550	2100	1550	1550	2200	1500	340	1100	800	2350	1300	1200	1500	350	2900	2650	2650	2800	2500	650	1600	2350	2700	1400	1800	1100	2000	2000	1600	2300	240	1550	2000	2350	2550	2200	2600	2100	850	250	2150	1500	1200	250	1750	650	1050	900	450	1450	250	850	2000	950	600	400	1200	650	250	1700	1750	1050	2050	500	2200	150	200	300	450	750	1100	550	1850	1350	200	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	64224	1563	1627	1480	1338	1235	1452	1232	833	945	1338	850	340	601	413	1435	808	636	806	225	1552	1518	1360	1340	1202	334	801	1189	1433	700	814	629	1075	1021	867	1265	240	844	1054	1290	1333	1181	1549	1182	425	161	1076	943	650	154	1125	423	638	503	236	864	159	596	1043	462	225	133	586	304	128	840	882	568	1027	244	1067	75	93	214	233	443	588	269	909	712	151	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4250	10	13	15	15	30	29	28	56	46	38	37	0	28	19	26	19	36	54	19	59	30	40	88	150	76	26	11	39	37	45	29	47	57	41	58	0	42	42	22	58	36	87	13	117	40	44	49	83	28	14	46	0	5	80	20	28	24	186	109	193	159	114	107	65	32	23	69	92	76	79	25	55	0	75	59	65	122	117	132	26	41					
6	Число погашенных избирательных бюллетеней	49353	1177	1210	1255	897	985	1069	840	661	559	824	613	0	471	368	889	472	528	640	106	1289	1132	1250	1372	1148	240	773	1150	1227	663	941	442	878	922	692	977	0	664	904	1038	1159	983	964	905	308	49	1030	508	467	68	611	181	412	392	134	566	63	230	771	379	182	108	500	239	57	828	845	413	931	180	1053	50	52	86	142	248	447	159	824	506	23	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4250	10	13	15	15	30	29	28	56	46	38	37	0	28	19	26	19	36	54	19	59	30	40	88	150	76	26	11	39	37	45	29	47	57	41	58	0	42	42	22	58	36	87	13	117	40	44	49	83	28	14	46	0	5	80	20	28	24	186	109	193	159	114	107	65	32	23	69	92	76	79	25	55	0	75	59	65	122	117	132	26	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64191	1563	1627	1480	1338	1235	1452	1232	833	945	1338	850	340	601	413	1435	808	636	806	225	1552	1488	1360	1340	1202	334	801	1189	1433	699	814	629	1075	1021	867	1265	240	843	1054	1290	1333	1181	1549	1182	425	161	1076	943	650	154	1125	423	638	503	236	864	159	596	1043	462	225	133	586	304	128	840	882	568	1027	244	1066	75	93	214	233	443	588	269	909	712	151	145					
9	Число недействительных избирательных бюллетеней	972	19	32	28	13	32	21	13	13	19	18	10	4	6	2	18	4	11	10	3	20	20	20	14	20	5	6	19	15	8	15	10	8	25	18	19	1	5	3	21	33	30	30	17	8	1	23	19	8	2	16	8	5	3	0	12	0	9	48	4	2	1	8	1	1	27	11	15	11	1	12	0	1	0	0	7	3	1	20	20	5	1					
10	Число действительных избирательных бюллетеней	67469	1554	1608	1467	1340	1233	1460	1247	876	972	1358	877	336	623	430	1443	823	661	850	241	1591	1498	1380	1414	1332	405	821	1181	1457	728	844	648	1114	1053	890	1304	239	880	1093	1291	1358	1187	1606	1178	534	200	1097	973	725	180	1123	461	633	505	316	872	187	611	1181	567	416	291	692	410	192	845	894	622	1108	319	1133	100	147	214	308	495	650	390	1006	824	172	185					
