Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Таймырская Долгано-Ненецкая №2																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №2223	УИК №2224	УИК №2225	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4125	231	261	201	186	2104	146	256	390	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4150	239	272	204	212	2039	153	270	390	371									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	165	0	0	0	0	70	0	45	18	32									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1960	160	169	129	117	802	82	115	179	207									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	71	0	6	0	5	38	0	7	8	7									
6	Число погашенных избирательных бюллетеней	1954	79	97	75	90	1129	71	103	185	125									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	236	0	6	0	5	108	0	52	26	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1960	160	169	129	117	802	82	115	179	207									
9	Число недействительных избирательных бюллетеней	30	0	0	8	1	14	0	0	6	1									
10	Число действительных избирательных бюллетеней	2166	160	175	121	121	896	82	167	199	245									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	310	25	25	30	30	100	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	135	0	16	20	29	21	8	9	7	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	1	7	6	6	65	0	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	175	25	9	10	1	79	17	16	18	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	9	3	2	0	10	0	2	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	4	3	2	1	22	2	1	3	9									
		2.14%	2.50%	1.71%	1.55%	0.82%	2.42%	2.44%	0.60%	1.46%	3.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	43	2	0	2	2	22	1	8	3	3									
		1.96%	1.25%	0.00%	1.55%	1.64%	2.42%	1.22%	4.79%	1.46%	1.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	53	0	2	2	0	27	2	5	7	8									
		2.41%	0.00%	1.14%	1.55%	0.00%	2.97%	2.44%	2.99%	3.41%	3.25%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1602	148	148	107	106	526	71	141	161	194									
		72.95%	92.50%	84.57%	82.95%	86.89%	57.80%	86.59%	84.43%	78.54%	78.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	1	0	0	8	0	1	3	1									
		0.64%	0.00%	0.57%	0.00%	0.00%	0.88%	0.00%	0.60%	1.46%	0.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	1	2	1	0	0	2									
		0.27%	0.00%	0.00%	0.00%	0.82%	0.22%	1.22%	0.00%	0.00%	0.81%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	211	4	5	5	8	167	1	10	7	4									
		9.61%	2.50%	2.86%	3.88%	6.56%	18.35%	1.22%	5.99%	3.41%	1.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	0	1	0	0	4	0	0	0	0									
		0.23%	0.00%	0.57%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	0	1	0	4	0	0	0	1									
		0.27%	0.00%	0.00%	0.78%	0.00%	0.44%	0.00%	0.00%	0.00%	0.41%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	0	1	2									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.81%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	0	2	0	0	11	0	0	2	3									
		0.82%	0.00%	1.14%	0.00%	0.00%	1.21%	0.00%	0.00%	0.98%	1.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	99	1	11	0	1	59	4	0	9	14									
		4.51%	0.63%	6.29%	0.00%	0.82%	6.48%	4.88%	0.00%	4.39%	5.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	0	1	1	7	0	0	1	1									
		0.50%	0.00%	0.00%	0.78%	0.82%	0.77%	0.00%	0.00%	0.49%	0.41%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	48	1	2	1	1	37	0	1	2	3									
		2.19%	0.63%	1.14%	0.78%	0.82%	4.07%	0.00%	0.60%	0.98%	1.22%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
