Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Чегемская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в списки"	39465	730	506	1237	2758	2996	2848	2103	2300	2926	2732	2198	2267	1967	2604	2757	2750	2167	1619					
2	"Число бюллетеней, полученных участковыми комиссиями"	38388	730	510	1240	2600	2750	2650	2150	2200	2926	2732	2100	2100	1800	2600	2600	2500	2100	2100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36255	693	439	1101	2483	2666	2649	2103	2126	2751	2564	2100	2000	1583	2393	2543	2485	1993	1583					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	566	31	50	19	0	4	0	0	13	13	90	0	100	210	0	0	0	0	36					
6	Число погашенных бюллетеней	1567	6	21	120	117	80	1	47	61	162	78	0	0	7	207	57	15	107	481					
7	Число бюллетеней в переносных ящиках для голосования	566	31	50	19	0	4	0	0	13	13	90	0	100	210	0	0	0	0	36					
8	Число бюллетеней в стационарных ящиках для голосования	36229	693	439	1101	2483	2666	2649	2103	2113	2738	2564	2100	2000	1583	2393	2543	2485	1993	1583					
9	Число недействительных бюллетеней	107	0	0	33	0	36	0	0	0	0	0	0	0	2	0	1	0	35	0					
10	Число действительных бюллетеней	36688	724	489	1087	2483	2634	2649	2103	2126	2751	2654	2100	2100	1791	2393	2542	2485	1958	1619					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	230	10	10	10	10	15	15	15	15	15	15	10	10	10	15	15	10	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	0	0	0	3	0	4	11	10	9	7	7	0	4	9	7	9	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	0	1	0	2	0	0	0	0	0	2	0	15	0	3	0	0	0	8					
14	Число погашенных открепительных удостоверений	141	10	10	10	7	15	11	4	5	6	8	3	10	6	6	8	1	8	13					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
