Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Белевская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17203	446	593	95	270	178	135	192	416	388	217	270	103	288	156	247	576	183	164	247	127	918	687	878	704	825	709	789	781	916	738	777	803	814	691	882									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14390	410	540	80	240	160	120	180	390	340	190	240	90	260	140	230	520	170	150	230	120	740	540	700	570	660	570	640	640	730	600	630	650	650	570	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7410	245	302	56	136	62	71	123	233	195	110	160	45	102	79	93	314	85	83	129	73	318	228	382	320	357	274	319	282	337	312	333	242	338	361	311									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1647	94	106	21	42	49	39	39	82	67	50	58	15	64	48	66	89	36	51	51	33	42	65	22	12	21	25	36	41	49	11	14	151	23	12	23									
6	Число погашенных избирательных бюллетеней	5333	71	132	3	62	49	10	18	75	78	30	22	30	94	13	71	117	49	16	50	14	380	247	296	238	282	271	285	317	344	277	283	257	289	197	366									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1647	94	106	21	42	49	39	39	82	67	50	58	15	64	48	66	89	36	51	51	33	42	65	22	12	21	25	36	41	49	11	14	151	23	12	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7410	245	302	56	136	62	71	123	233	195	110	160	45	102	79	93	314	85	83	129	73	318	228	382	320	357	274	319	282	337	312	333	242	338	361	311									
9	Число недействительных избирательных бюллетеней	165	5	1	0	0	0	0	3	1	4	0	1	0	2	1	1	0	0	0	5	0	4	4	30	10	12	8	8	9	9	7	15	5	7	4	9									
10	Число действительных избирательных бюллетеней	8892	334	407	77	178	111	110	159	314	258	160	217	60	164	126	158	403	121	134	175	106	356	289	374	322	366	291	347	314	377	316	332	388	354	369	325									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	367	15	15	5	10	10	8	10	15	10	10	10	5	10	6	10	15	6	10	15	10	10	7	10	12	12	17	11	8	10	12	9	8	9	12	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	284	14	10	3	1	0	4	10	15	4	0	2	5	10	1	10	7	6	10	15	10	10	6	10	11	12	16	11	7	10	10	7	5	6	11	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	191	1	3	5	0	2	1	0	3	6	6	4	2	4	4	9	5	1	3	0	3	8	10	14	3	10	20	7	9	9	4	8	2	8	2	15									
14	Число погашенных неиспользованных открепительных удостоверений	83	1	5	2	9	10	4	0	0	6	10	8	0	0	5	0	8	0	0	0	0	0	1	0	1	0	1	0	1	0	2	2	3	3	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	179	4	1	0	3	2	2	4	4	1	2	3	1	0	1	2	9	0	2	3	3	11	4	11	6	10	8	8	8	13	11	15	4	8	8	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	105	3	5	0	2	0	2	1	3	3	0	4	0	1	1	0	2	0	0	2	0	5	9	6	1	10	4	4	1	4	3	7	10	5	4	3									
		1.16%	0.88%	1.23%	0.00%	1.12%	0.00%	1.82%	0.62%	0.95%	1.15%	0.00%	1.83%	0.00%	0.60%	0.79%	0.00%	0.50%	0.00%	0.00%	1.11%	0.00%	1.39%	3.07%	1.49%	0.30%	2.65%	1.34%	1.13%	0.31%	1.04%	0.93%	2.02%	2.54%	1.39%	1.07%	0.90%									
