Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																								
Дата голосования: 18.09.2016																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Губкинская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																								
																																																																																																								
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №1248									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83607	1146	876	924	1314	1089	1224	1066	1075	1240	807	1960	1461	1347	2062	1398	906	2191	1975	2753	848	1026	1127	1378	1209	1371	1139	2301	2062	1460	1850	2022	1468	2110	1175	1229	813	1571	690	1195	385	903	1129	817	1834	1533	1055	1355	333	491	648	219	503	335	586	156	160	282	246	153	316	301	127	957	296	197	185	237	758	133	384	432	692	142	248	637	1468	543	227	151	682	1203	453	420	122	170	895	710	534	145	717	408	553	183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81000	1100	850	900	1200	1100	1200	1000	1000	1200	800	1800	1400	1300	1900	1300	900	2000	1900	2500	850	1000	1100	1300	1150	1300	1100	2000	1900	1400	1700	1900	1400	2000	1100	1200	800	1500	700	1100	390	900	1100	840	1800	1500	1000	1300	361	500	650	220	500	335	640	163	176	294	255	157	323	305	135	950	295	203	192	247	775	136	395	465	750	156	255	650	1500	550	227	156	710	1150	470	430	132	179	900	720	535	158	735	405	580	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41007	529	472	336	582	412	536	464	464	637	359	796	560	620	926	635	433	1105	954	1272	430	470	517	637	592	649	497	1111	1080	708	813	925	726	1064	473	422	406	738	310	563	131	351	351	264	715	791	536	779	170	358	355	105	180	267	361	48	81	226	151	117	235	189	70	445	157	147	148	117	534	98	274	244	438	61	201	511	910	422	153	108	251	578	221	259	77	93	456	524	263	105	435	242	298	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5659	66	43	68	60	36	91	32	62	37	32	94	28	69	43	32	121	63	25	18	16	11	80	30	4	24	46	17	12	5	7	2	4	9	70	161	13	23	30	28	77	39	94	125	133	40	46	67	75	57	58	96	101	44	114	97	59	16	66	24	33	57	52	168	114	38	27	77	33	30	48	87	85	57	38	73	120	34	69	39	290	20	152	118	16	26	95	114	112	23	133	93	148	0									
6	Число погашенных избирательных бюллетеней	34334	505	335	496	558	652	573	504	474	526	409	910	812	611	931	633	346	832	921	1210	404	519	503	633	554	627	557	872	808	687	880	973	670	927	557	617	381	739	360	509	182	510	655	451	952	669	418	454	116	85	237	19	219	24	165	18	36	52	38	16	55	59	13	337	24	18	17	53	208	8	73	134	227	38	16	66	470	94	5	9	169	552	97	53	39	60	349	82	160	30	167	70	134	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5659	66	43	68	60	36	91	32	62	37	32	94	28	69	43	32	121	63	25	18	16	11	80	30	4	24	46	17	12	5	7	2	4	9	70	161	13	23	30	28	77	39	94	125	133	40	46	67	75	57	58	96	101	44	114	97	59	16	66	24	33	57	52	168	114	38	27	77	33	30	48	87	85	57	38	73	120	34	69	39	290	20	152	118	16	26	95	114	112	23	133	93	148	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41005	529	472	336	582	412	536	464	464	637	359	796	560	620	926	635	433	1105	954	1272	430	470	517	637	592	649	497	1111	1080	708	813	925	726	1064	473	422	406	738	310	563	131	351	351	264	713	791	536	779	170	358	355	105	180	267	361	48	81	226	151	117	235	189	70	445	157	147	148	117	534	98	274	244	438	61	201	511	910	422	153	108	251	578	221	259	77	93	456	524	263	105	435	242	298	183									
9	Число недействительных избирательных бюллетеней	642	5	8	6	18	12	3	5	16	17	3	16	10	14	9	12	5	20	14	18	9	4	9	22	5	24	13	7	15	6	14	8	10	15	11	5	3	16	9	7	1	11	11	6	12	12	30	17	1	2	4	3	4	3	4	0	2	0	0	0	3	1	0	2	1	0	0	1	5	0	0	5	0	0	0	3	11	1	0	0	5	10	1	7	6	4	11	3	1	0	6	7	0	2									
10	Число действительных избирательных бюллетеней	46022	590	507	398	624	436	624	491	510	657	388	874	578	675	960	655	549	1148	965	1272	437	477	588	645	591	649	530	1121	1077	707	806	919	720	1058	532	578	416	745	331	584	207	379	434	383	834	819	552	829	244	413	409	198	277	308	471	145	138	242	217	141	265	245	122	611	270	185	175	193	562	128	322	326	523	118	239	581	1019	455	222	147	536	588	372	370	87	115	540	635	374	128	562	328	446	181									
