Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Кыштовская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10289	1139	724	1066	1373	103	115	291	68	190	224	354	294	198	301	282	317	99	52	210	236	418	233	108	234	246	157	107	273	154	310	154	94	165									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9350	1000	700	1000	1100	100	100	250	60	200	200	350	250	175	300	250	300	100	50	200	200	400	200	100	200	225	150	100	250	150	300	150	90	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4041	396	256	328	404	29	33	126	36	82	97	140	118	80	93	121	111	55	25	101	117	192	136	41	104	112	67	49	150	67	147	79	51	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	521	10	10	7	20	0	18	17	2	23	27	40	17	21	29	13	18	1	0	17	10	17	15	23	57	22	16	1	15	15	17	11	3	9									
6	Число погашенных избирательных бюллетеней	4788	594	434	665	676	71	49	107	22	95	76	170	115	74	178	116	171	44	25	82	73	191	49	36	39	91	67	50	85	68	136	60	36	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	521	10	10	7	20	0	18	17	2	23	27	40	17	21	29	13	18	1	0	17	10	17	15	23	57	22	16	1	15	15	17	11	3	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4041	396	256	328	404	29	33	126	36	82	97	140	118	80	93	121	111	55	25	101	117	192	136	41	104	112	67	49	150	67	147	79	51	98									
9	Число недействительных избирательных бюллетеней	127	13	7	7	16	0	1	6	1	2	4	0	1	3	2	2	5	0	4	2	7	5	10	2	4	2	0	3	2	3	3	6	1	3									
10	Число действительных избирательных бюллетеней	4435	393	259	328	408	29	50	137	37	103	120	180	134	98	120	132	124	56	21	116	120	204	141	62	157	132	83	47	163	79	161	84	53	104									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	168	11	10	11	20	3	3	4	3	8	3	7	5	3	4	4	4	2	2	3	4	4	4	3	5	5	5	4	4	4	4	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	11	8	11	18	0	0	2	0	8	0	2	2	0	1	4	0	1	0	0	1	0	0	0	0	5	1	0	2	0	0	4	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	8	5	1	3	3	4	6	2	2	3	1	2	0	2	4	5	0	1	4	4	3	2	3	1	3	1	0	3	2	2	2	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	83	0	2	0	2	3	3	2	3	0	3	5	3	3	3	0	4	1	2	3	3	4	4	3	5	0	4	4	2	4	4	0	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	4	9	7	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	6	8	5	7	0	1	0	1	1	2	4	0	1	1	2	3	3	0	1	1	1	1	0	0	1	2	2	1	3	1	4	1	0									
		1.40%	1.48%	3.01%	1.49%	1.65%	0.00%	1.96%	0.00%	2.63%	0.95%	1.61%	2.22%	0.00%	0.99%	0.82%	1.49%	2.33%	5.36%	0.00%	0.85%	0.79%	0.48%	0.66%	0.00%	0.00%	0.75%	2.41%	4.00%	0.61%	3.66%	0.61%	4.44%	1.85%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	257	21	17	29	31	0	1	8	7	8	7	8	9	2	5	11	9	3	0	3	0	13	3	2	7	3	6	3	10	2	17	2	2	8									
		5.63%	5.17%	6.39%	8.66%	7.31%	0.00%	1.96%	5.59%	18.42%	7.62%	5.65%	4.44%	6.67%	1.98%	4.10%	8.21%	6.98%	5.36%	0.00%	2.54%	0.00%	6.22%	1.99%	3.13%	4.35%	2.24%	7.23%	6.00%	6.06%	2.44%	10.37%	2.22%	3.70%	7.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	5	1	6	6	0	0	4	0	1	0	5	4	0	0	1	2	2	0	0	1	1	0	0	0	1	1	0	3	2	3	3	0	2									
		1.18%	1.23%	0.38%	1.79%	1.42%	0.00%	0.00%	2.80%	0.00%	0.95%	0.00%	2.78%	2.96%	0.00%	0.00%	0.75%	1.55%	3.57%	0.00%	0.00%	0.79%	0.48%	0.00%	0.00%	0.00%	0.75%	1.20%	0.00%	1.82%	2.44%	1.83%	3.33%	0.00%	1.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1913	161	86	114	130	15	18	48	14	38	62	73	48	48	63	59	61	32	9	54	53	62	62	30	89	77	46	22	114	37	81	35	17	55									
		41.93%	39.66%	32.33%	34.03%	30.66%	51.72%	35.29%	33.57%	36.84%	36.19%	50.00%	40.56%	35.56%	47.52%	51.64%	44.03%	47.29%	57.14%	36.00%	45.76%	41.73%	29.67%	41.06%	46.88%	55.28%	57.46%	55.42%	44.00%	69.09%	45.12%	49.39%	38.89%	31.48%	51.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	3	2	0	3	0	1	2	0	0	1	2	0	1	0	1	3	0	2	1	2	0	1	2	0	0	0	0	0	0	0	1	0	1									
		0.64%	0.74%	0.75%	0.00%	0.71%	0.00%	1.96%	1.40%	0.00%	0.00%	0.81%	1.11%	0.00%	0.99%	0.00%	0.75%	2.33%	0.00%	8.00%	0.85%	1.57%	0.00%	0.66%	3.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0									
		0.26%	0.25%	0.00%	0.60%	0.24%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	3.13%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.61%	1.11%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	967	75	52	88	102	8	17	31	4	18	26	37	31	19	22	20	21	8	6	33	43	38	44	13	32	21	7	8	26	22	31	20	22	22									
		21.20%	18.47%	19.55%	26.27%	24.06%	27.59%	33.33%	21.68%	10.53%	17.14%	20.97%	20.56%	22.96%	18.81%	18.03%	14.93%	16.28%	14.29%	24.00%	27.97%	33.86%	18.18%	29.14%	20.31%	19.88%	15.67%	8.43%	16.00%	15.76%	26.83%	18.90%	22.22%	40.74%	20.56%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	27	5	5	0	7	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	0	1									
		0.59%	1.23%	1.88%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.95%	0.81%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.48%	0.00%	1.56%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	1	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	3	0	0	0	0	0	0	0	0									
		0.33%	0.25%	1.50%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.85%	0.00%	0.48%	0.00%	1.56%	0.62%	2.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	1	1	0	0	0									
		0.28%	0.00%	0.00%	0.30%	0.24%	3.45%	0.00%	0.00%	2.63%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	3.13%	0.62%	0.00%	0.00%	0.00%	0.61%	1.22%	0.61%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	3	2	2	4	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0									
		0.44%	0.74%	0.75%	0.60%	0.94%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	1.79%	4.00%	0.85%	0.79%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	2.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	929	92	75	67	101	4	12	36	9	35	19	43	33	23	29	33	19	7	3	14	16	82	26	7	24	23	20	9	6	12	17	9	10	14									
		20.36%	22.66%	28.20%	20.00%	23.82%	13.79%	23.53%	25.17%	23.68%	33.33%	15.32%	23.89%	24.44%	22.77%	23.77%	24.63%	14.73%	12.50%	12.00%	11.86%	12.60%	39.23%	17.22%	10.94%	14.91%	17.16%	24.10%	18.00%	3.64%	14.63%	10.37%	10.00%	18.52%	13.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	4	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0									
		0.31%	0.99%	0.38%	0.00%	0.24%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	1.85%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	121	16	6	13	14	1	0	6	0	1	1	8	6	4	0	3	3	0	0	7	2	4	3	2	1	1	1	1	2	0	7	7	0	1									
		2.65%	3.94%	2.26%	3.88%	3.30%	3.45%	0.00%	4.20%	0.00%	0.95%	0.81%	4.44%	4.44%	3.96%	0.00%	2.24%	2.33%	0.00%	0.00%	5.93%	1.57%	1.91%	1.99%	3.13%	0.62%	0.75%	1.20%	2.00%	1.21%	0.00%	4.27%	7.78%	0.00%	0.93%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
