Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в списки избирателей"	91434	2217	2128	1893	889	893	1825	2032	1930	1660	1401	1476	1132	2266	2534	1358	1540	2077	1703	2240	1797	2060	1116	2076	1688	1815	2002	1672	1941	1701	2447	1382	1541	921	1587	1705	1149	1194	1715	1451	1547	1749	1895	1677	1942	1193	1311	2489	2653	2477	1959	1380	2551	457					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	87700	2200	2100	1800	850	850	1800	2000	1900	1600	1350	1450	1100	2250	2100	1300	1500	2000	1650	2200	1750	2000	1000	2000	1600	1800	1900	1550	1850	1650	2400	1300	1500	850	1500	1600	1100	1150	1700	1400	1500	1700	1850	1600	1500	1100	1300	2450	2600	2400	1900	1350	2500	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43387	768	866	696	294	279	806	1066	932	834	739	835	524	1061	734	768	894	1104	920	1154	974	1137	645	1163	896	620	1001	836	935	860	1181	816	814	392	662	758	502	511	845	556	685	767	873	725	610	606	595	1346	1392	1148	859	604	1463	336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3058	24	71	84	12	26	52	42	24	35	27	44	17	48	505	52	36	74	25	52	68	51	7	38	33	28	81	30	21	61	50	70	29	43	41	83	37	14	33	75	25	23	31	28	311	33	40	72	36	224	35	30	24	3					
6	Число погашенных избирательных бюллетеней	41255	1408	1163	1020	544	545	942	892	944	731	584	571	559	1141	861	480	570	822	705	994	708	812	348	799	671	1152	818	684	894	729	1169	414	657	415	797	759	561	625	822	769	790	910	946	847	579	461	665	1032	1172	1028	1006	716	1013	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3057	24	71	84	12	26	52	42	24	35	27	44	17	48	505	52	36	74	25	52	68	51	7	38	32	28	81	30	21	61	50	70	29	43	41	83	37	14	33	75	25	23	31	28	311	33	40	72	36	224	35	30	24	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43381	768	866	696	294	279	806	1066	932	834	739	835	524	1061	734	768	894	1104	920	1154	974	1137	645	1163	895	620	1001	836	933	859	1181	816	814	392	662	758	502	511	845	556	685	767	873	725	610	606	594	1346	1391	1148	859	604	1463	336					
9	Число недействительных избирательных бюллетеней	433	6	2	9	3	3	10	10	10	5	4	8	4	5	47	4	9	12	7	14	11	10	6	15	4	13	6	6	4	7	7	10	10	6	3	7	1	9	7	2	7	4	4	6	10	12	7	13	12	12	13	4	9	4					
10	Число действительных избирательных бюллетеней	46005	786	935	771	303	302	848	1098	946	864	762	871	537	1104	1192	816	921	1166	938	1192	1031	1178	646	1186	923	635	1076	860	950	913	1224	876	833	429	700	834	538	516	871	629	703	786	900	747	911	627	627	1405	1415	1360	881	630	1478	335					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	775	20	20	15	10	10	15	15	15	15	10	10	10	20	15	15	15	15	15	20	15	15	40	15	10	15	15	25	15	10	20	10	15	10	10	15	10	10	15	10	10	15	15	10	10	15	10	20	20	20	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	332	6	10	4	0	0	6	6	9	4	4	5	1	13	8	14	3	9	8	8	8	12	16	5	1	4	7	18	15	6	7	8	6	2	2	3	6	2	8	6	2	3	2	5	1	0	9	15	5	8	3	8	7	4					
