Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Черноземельская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8240	666	763	673	573	670	1025	609	946	480	426	350	737	322									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8389	692	770	670	590	690	1046	630	970	490	420	361	735	325									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7089	610	649	604	512	578	835	519	765	384	366	311	674	282									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	187	25	16	6	4	29	27	12	32	13	8	15	0	0									
6	Число погашенных избирательных бюллетеней	1113	57	105	60	74	83	184	99	173	93	46	35	61	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	187	25	16	6	4	29	27	12	32	13	8	15	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7089	610	649	604	512	578	835	519	765	384	366	311	674	282									
9	Число недействительных избирательных бюллетеней	14	3	2	2	1	0	0	1	0	1	0	2	2	0									
10	Число действительных избирательных бюллетеней	7262	632	663	608	515	607	862	530	797	396	374	324	672	282									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	253	30	15	5	25	19	44	20	40	15	5	15	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	30	13	0	18	18	44	20	39	12	2	15	8	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	70	4	1	6	2	6	15	4	4	2	5	12	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	30	0	2	5	7	1	0	0	1	3	3	0	7	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	4	4	2	2	3	8	4	10	6	0	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	0	0	5	2	0	3	2	0	1	1	1	1	1									
		0.23%	0.00%	0.00%	0.82%	0.39%	0.00%	0.35%	0.38%	0.00%	0.25%	0.27%	0.31%	0.15%	0.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	29	1	0	6	3	3	8	4	0	2	1	0	1	0									
		0.40%	0.16%	0.00%	0.98%	0.58%	0.49%	0.93%	0.75%	0.00%	0.50%	0.27%	0.00%	0.15%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	20	0	0	4	0	1	2	2	1	1	2	2	5	0									
		0.27%	0.00%	0.00%	0.66%	0.00%	0.16%	0.23%	0.38%	0.13%	0.25%	0.53%	0.61%	0.74%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6804	590	625	555	490	578	786	485	741	362	357	311	650	274									
		93.51%	92.91%	93.98%	90.98%	94.96%	95.22%	91.18%	91.34%	92.97%	91.18%	95.45%	95.40%	96.44%	97.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	1	1	1	1	2	0	1	0	0	0	0									
		0.10%	0.00%	0.00%	0.16%	0.19%	0.16%	0.12%	0.38%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	0	1	0	1	2	0	0	2	0	2	0									
		0.11%	0.00%	0.00%	0.00%	0.19%	0.00%	0.12%	0.38%	0.00%	0.00%	0.53%	0.00%	0.30%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	48	1	4	9	2	4	9	5	2	3	2	3	2	2									
		0.66%	0.16%	0.60%	1.48%	0.39%	0.66%	1.04%	0.94%	0.25%	0.76%	0.53%	0.92%	0.30%	0.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	0	0	0	1	2	2	0	1	0	0	1	0									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.16%	0.23%	0.38%	0.00%	0.25%	0.00%	0.00%	0.15%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	4	0	0	0	1	3	3	0	1	0	0	0	0									
