Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	149830	2821	2640	2870	2524	2600	2693	2706	2494	2307	2445	2137	2372	2818	2731	2843	2789	2853	2035	2487	2499	1228	1479	2744	2690	2669	2674	2764	2585	2176	2462	2793	2687	2718	2380	2318	2401	2334	2358	2338	2343	2060	2582	2696	2101	2004	2511	2345	2103	2253	2482	1849	2158	2599	2618	2271	2286	2235	2279	1850	2057	1926	150	174	1601	350	50	340	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109450	2050	1900	2050	1800	1900	1950	1950	1800	1700	1750	1550	1700	2050	1950	2050	2050	2050	1450	1750	1800	950	1050	1950	2050	2000	1900	2050	1900	1650	1750	2050	1950	2050	1750	1700	1750	1700	1750	1700	1700	1550	1850	1950	1550	1450	1800	1700	1550	1650	1800	1350	1550	1850	1900	1650	1650	1650	1650	1350	1500	1450	150	150	1250	400	50	350	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	93144	1943	1638	1943	1457	1813	1724	1934	1681	1470	1617	1369	1587	1957	1788	1908	1980	2017	1305	1514	1586	728	853	1580	501	1670	1689	1844	1735	1393	1632	605	1672	688	1592	1633	1524	1462	1618	1431	1532	1391	1658	1833	1472	1273	1723	1586	1540	1398	1592	1102	1315	1809	1636	1276	1373	1381	1434	1256	1288	1197	99	106	312	5	50	331	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5723	62	51	54	186	81	175	10	26	17	81	112	93	71	119	64	15	16	89	70	29	59	90	329	297	100	23	58	28	38	27	32	135	341	9	54	23	21	87	56	62	99	147	106	19	110	23	20	3	57	162	71	64	15	70	184	93	47	12	27	29	30	0	4	687	345	0	9	0									
6	Число погашенных избирательных бюллетеней	10583	45	211	53	157	6	51	6	93	213	52	69	20	22	43	78	55	17	56	166	185	163	107	41	1252	230	188	148	137	219	91	1413	143	1021	149	13	203	217	45	213	106	60	45	11	59	67	54	94	7	195	46	177	171	26	194	190	184	222	204	67	183	223	51	40	251	50	0	10	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5720	62	51	54	186	81	175	10	26	17	81	112	93	71	119	64	15	16	89	70	29	59	90	329	297	100	23	58	28	38	27	32	135	341	9	54	23	21	87	56	62	99	147	106	19	110	23	20	3	57	162	71	64	15	70	184	93	47	12	27	29	30	0	4	684	345	0	9	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	92967	1943	1638	1941	1457	1811	1722	1932	1680	1468	1617	1367	1585	1955	1786	1906	1954	2013	1303	1512	1581	722	851	1574	500	1669	1688	1842	1733	1355	1630	602	1672	688	1591	1633	1522	1461	1616	1429	1529	1386	1658	1829	1472	1272	1723	1586	1540	1397	1589	1102	1312	1807	1634	1275	1373	1381	1426	1255	1282	1194	99	104	312	5	50	331	95									
9	Число недействительных избирательных бюллетеней	487	0	3	5	0	0	0	8	5	8	11	5	11	5	2	3	9	0	12	9	0	5	5	11	12	23	8	10	9	2	5	5	2	29	36	15	11	12	7	2	11	7	0	9	10	10	0	5	18	2	6	3	6	2	30	11	0	8	0	9	13	0	2	4	9	0	7	0	0									
10	Число действительных избирательных бюллетеней	98200	2005	1686	1990	1643	1892	1897	1934	1701	1477	1687	1474	1667	2021	1903	1967	1960	2029	1380	1573	1610	776	936	1892	785	1746	1703	1890	1752	1391	1652	629	1805	1000	1564	1672	1534	1470	1696	1483	1580	1478	1805	1926	1481	1372	1746	1601	1525	1452	1745	1170	1370	1820	1674	1448	1466	1420	1438	1273	1298	1224	97	104	987	350	43	340	95									
