Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Курчалоевская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43085	2987	2986	2981	2033	2114	1967	1953	2214	2033	2404	2254	1987	2576	2062	2031	1935	1701	849	589	1575	397	306	170	174	292	515									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41873	2901	2897	2895	1975	2048	1959	1953	2144	1972	2328	2187	1930	2496	2000	1970	1878	1651	820	567	1518	380	298	165	165	281	495									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41165	2848	2870	2828	1959	2031	1911	1908	2119	1934	2281	2126	1887	2473	1973	1952	1844	1614	808	554	1504	376	286	154	159	279	487									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	265	13	11	16	14	11	18	14	16	12	13	16	15	16	17	14	12	8	3	4	6	4	3	2	2	2	3									
6	Число погашенных избирательных бюллетеней	443	40	16	51	2	6	30	31	9	26	34	45	28	7	10	4	22	29	9	9	8	0	9	9	4	0	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	265	13	11	16	14	11	18	14	16	12	13	16	15	16	17	14	12	8	3	4	6	4	3	2	2	2	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41165	2848	2870	2828	1959	2031	1911	1908	2119	1934	2281	2126	1887	2473	1973	1952	1844	1614	808	554	1504	376	286	154	159	279	487									
9	Число недействительных избирательных бюллетеней	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	41415	2860	2880	2843	1972	2041	1928	1921	2134	1945	2293	2141	1901	2488	1989	1965	1856	1622	811	558	1510	380	289	156	161	281	490									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	8	9	9	10	10	8	9	9	10	10	7	10	10	9	9	10	5	4	4	6	4	3	3	3	3	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	6	7	3	3	0	2	3	9	0	4	5	0	1	2	2	3	4	0	0	0	0	1	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	4	1	3	0	0	3	0	0	0	2	0	1	0	1	0	1	1	0	1	0	1	0	1	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	130	2	2	6	7	10	6	6	0	10	6	2	10	9	7	7	7	1	4	4	6	4	2	2	3	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	2	2	0	0	0	2	1	1	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	108	2	3	4	8	14	7	3	4	6	7	3	4	6	3	2	4	6	3	2	4	1	2	1	2	3	4									
		0.26%	0.07%	0.10%	0.14%	0.41%	0.69%	0.36%	0.16%	0.19%	0.31%	0.31%	0.14%	0.21%	0.24%	0.15%	0.10%	0.22%	0.37%	0.37%	0.36%	0.26%	0.26%	0.69%	0.64%	1.24%	1.07%	0.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	397	33	37	35	17	13	5	4	21	20	27	29	25	22	23	20	14	15	13	4	9	2	1	1	2	2	3									
		0.96%	1.15%	1.28%	1.23%	0.86%	0.64%	0.26%	0.21%	0.98%	1.03%	1.18%	1.35%	1.31%	0.88%	1.16%	1.02%	0.75%	0.92%	1.60%	0.72%	0.60%	0.53%	0.35%	0.64%	1.24%	0.71%	0.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	20	3	1	2	1	0	0	0	1	0	1	0	0	2	0	0	2	1	0	1	1	2	1	0	0	1	0									
		0.05%	0.10%	0.03%	0.07%	0.05%	0.00%	0.00%	0.00%	0.05%	0.00%	0.04%	0.00%	0.00%	0.08%	0.00%	0.00%	0.11%	0.06%	0.00%	0.18%	0.07%	0.53%	0.35%	0.00%	0.00%	0.36%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	39994	2743	2778	2737	1904	1989	1894	1901	2066	1870	2204	2052	1824	2397	1928	1897	1797	1554	781	538	1461	368	276	149	152	266	468									
		96.53%	95.88%	96.42%	96.24%	96.50%	97.40%	98.19%	98.91%	96.77%	96.09%	96.08%	95.80%	95.90%	96.30%	96.88%	96.49%	96.82%	95.81%	96.30%	96.42%	96.75%	96.84%	95.50%	95.51%	94.41%	94.66%	95.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	354	37	23	29	15	6	7	3	10	21	27	25	23	28	15	19	16	22	4	3	12	2	1	1	1	1	3									
		0.85%	1.29%	0.80%	1.02%	0.76%	0.29%	0.36%	0.16%	0.47%	1.08%	1.18%	1.17%	1.21%	1.12%	0.75%	0.97%	0.86%	1.36%	0.49%	0.54%	0.79%	0.53%	0.35%	0.64%	0.62%	0.36%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0									
		0.03%	0.03%	0.00%	0.04%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.00%	0.05%	0.00%	0.04%	0.05%	0.00%	0.05%	0.00%	0.12%	0.00%	0.07%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.03%	0.00%	0.05%	0.00%	0.00%	0.00%	0.05%	0.00%	0.04%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	2	4	5	7	0	0	1	6	7	3	7	5	4	2	3	5	2	3	4	3	1	1	0	0	1	3									
		0.19%	0.07%	0.14%	0.18%	0.35%	0.00%	0.00%	0.05%	0.28%	0.36%	0.13%	0.33%	0.26%	0.16%	0.10%	0.15%	0.27%	0.12%	0.37%	0.72%	0.20%	0.26%	0.35%	0.00%	0.00%	0.36%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	3	2	3	2	1	1	0	2	1	2	1	1	3	2	1	2	1	0	0	0	1	1	1	0	1	2									
		0.08%	0.10%	0.07%	0.11%	0.10%	0.05%	0.05%	0.00%	0.09%	0.05%	0.09%	0.05%	0.05%	0.12%	0.10%	0.05%	0.11%	0.06%	0.00%	0.00%	0.00%	0.26%	0.35%	0.64%	0.00%	0.36%	0.41%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1									
		0.04%	0.03%	0.03%	0.00%	0.05%	0.00%	0.00%	0.05%	0.05%	0.00%	0.04%	0.00%	0.05%	0.04%	0.00%	0.00%	0.05%	0.06%	0.00%	0.18%	0.07%	0.00%	0.00%	0.64%	0.62%	0.00%	0.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	19	1	3	2	1	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0	0	1	1	0	1	2	1									
		0.05%	0.03%	0.10%	0.07%	0.05%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.05%	0.00%	0.00%	0.00%	0.05%	0.00%	0.12%	0.00%	0.00%	0.00%	0.26%	0.35%	0.00%	0.62%	0.71%	0.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	215	26	20	16	9	10	6	3	13	10	14	9	5	17	6	14	6	8	2	3	8	0	3	1	2	1	3									
		0.52%	0.91%	0.69%	0.56%	0.46%	0.49%	0.31%	0.16%	0.61%	0.51%	0.61%	0.42%	0.26%	0.68%	0.30%	0.71%	0.32%	0.49%	0.25%	0.54%	0.53%	0.00%	1.04%	0.64%	1.24%	0.36%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	163	8	7	9	6	8	8	4	7	9	6	13	12	7	9	7	8	10	4	2	10	2	1	1	0	3	2									
		0.39%	0.28%	0.24%	0.32%	0.30%	0.39%	0.41%	0.21%	0.33%	0.46%	0.26%	0.61%	0.63%	0.28%	0.45%	0.36%	0.43%	0.62%	0.49%	0.36%	0.66%	0.53%	0.35%	0.64%	0.00%	1.07%	0.41%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
