Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
1	"Число избирателей, внесенных в списки"	39387	165	2887	2874	1893	1948	2114	1731	1817	1583	1585	1611	1990	1899	1995	2052	1884	2018	2093	945	472	272	858	362	279	109	456	302	805	388					
2	"Число бюллетеней, полученных участковыми комиссиями"	39053	140	2870	2880	1880	1980	2100	1700	1800	1580	1590	1600	1990	1890	1990	2050	1880	2000	1950	900	470	270	860	360	280	113	450	290	790	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	35	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19199	50	1338	1455	855	929	960	754	952	771	870	768	989	853	797	1026	1040	1000	1174	413	156	171	408	165	162	79	241	175	444	204					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	369	29	5	3	2	4	4	5	5	3	5	5	4	4	27	1	3	6	4	5	24	16	51	5	18	3	12	3	97	16					
6	Число погашенных бюллетеней	19422	61	1527	1422	1023	1047	1136	941	843	806	715	827	997	1033	1166	1023	837	994	772	482	290	83	401	190	100	31	169	77	249	180					
7	Число бюллетеней в переносных ящиках для голосования	432	29	5	3	2	4	4	5	5	3	5	5	4	4	27	1	3	6	4	5	24	16	51	5	18	3	40	38	97	16					
8	Число бюллетеней в стационарных ящиках для голосования	19197	50	1338	1455	855	929	960	754	952	771	870	767	989	853	797	1026	1040	1000	1173	413	156	171	408	165	162	79	241	175	444	204					
9	Число недействительных бюллетеней	180	0	9	6	7	6	9	8	6	8	3	5	6	8	8	6	16	11	6	8	0	11	8	7	3	4	1	0	10	0					
10	Число действительных бюллетеней	19449	79	1334	1452	850	927	955	751	951	766	872	767	987	849	816	1021	1027	995	1171	410	180	176	451	163	177	78	280	213	531	220					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	790	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	20	20	30	20	30	30	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	183	0	3	14	11	7	6	3	2	7	11	5	8	10	3	6	6	9	14	7	3	6	10	0	3	4	7	1	8	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	4	4	7	5	3	1	1	2	5	3	1	1	4	4	2	5	10	11	2	1	1	4	1	0	0	1	0	4	0					
14	Число погашенных открепительных удостоверений	607	0	27	16	19	23	24	27	28	23	19	25	22	20	27	24	24	21	16	23	27	14	20	20	17	26	13	29	22	11					
15	Число открепительных удостоверений выданных ТИК	8	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	271	1	14	17	17	14	11	17	9	6	5	12	13	5	12	7	12	5	10	5	4	2	13	3	11	3	7	14	15	7					
		1.38%	1.26%	1.04%	1.16%	1.98%	1.50%	1.14%	2.23%	0.94%	0.77%	0.57%	1.55%	1.30%	0.58%	1.45%	0.68%	1.15%	0.49%	0.84%	1.19%	2.22%	1.06%	2.83%	1.76%	6.11%	3.65%	2.49%	6.57%	2.77%	3.18%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	999	2	71	72	52	44	47	54	50	45	62	48	72	47	40	56	43	50	81	15	14	6	9	4	1	5	0	2	4	3					
		5.08%	2.53%	5.28%	4.93%	6.06%	4.71%	4.87%	7.11%	5.22%	5.81%	7.08%	6.21%	7.25%	5.48%	4.85%	5.45%	4.12%	4.97%	6.88%	3.58%	7.77%	3.20%	1.96%	2.35%	0.55%	6.09%	0.0%	0.93%	0.73%	1.36%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	762	7	48	49	41	27	30	18	38	33	44	32	42	23	44	45	41	34	40	22	6	6	39	11	8	1	6	4	9	14					
		3.88%	8.86%	3.57%	3.36%	4.78%	2.89%	3.11%	2.37%	3.97%	4.26%	5.02%	4.14%	4.22%	2.68%	5.33%	4.38%	3.93%	3.37%	3.39%	5.26%	3.33%	3.20%	8.49%	6.47%	4.44%	1.21%	2.13%	1.87%	1.66%	6.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	843	3	66	85	30	37	53	38	51	33	36	27	48	33	30	35	61	60	56	15	6	1	9	3	2	0	5	2	11	7					
		4.29%	3.79%	4.91%	5.82%	3.50%	3.96%	5.49%	5.00%	5.32%	4.26%	4.11%	3.49%	4.83%	3.85%	3.64%	3.40%	5.84%	5.96%	4.75%	3.58%	3.33%	0.53%	1.96%	1.76%	1.11%	0.0%	1.77%	0.93%	2.03%	3.18%					
22	"5. ""За Русь Святую"""	71	0	2	8	4	1	7	2	4	2	4	1	5	2	2	6	5	2	7	0	2	0	1	2	0	1	0	0	1	0					
		0.36%	0.0%	0.14%	0.54%	0.46%	0.10%	0.72%	0.26%	0.41%	0.25%	0.45%	0.12%	0.50%	0.23%	0.24%	0.58%	0.47%	0.19%	0.59%	0.0%	1.11%	0.0%	0.21%	1.17%	0.0%	1.21%	0.0%	0.0%	0.18%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	0	1	4	0	2	4	1	2	2	1	3	1	1	2	2	0	3	0	1	0	0	1	0	0	0	2	1	0	1					
		0.17%	0.0%	0.07%	0.27%	0.0%	0.21%	0.41%	0.13%	0.20%	0.25%	0.11%	0.38%	0.10%	0.11%	0.24%	0.19%	0.0%	0.29%	0.0%	0.23%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.71%	0.46%	0.0%	0.45%					
24	"7. ""Новый курс - Автомобильная Россия"""	163	0	11	8	7	8	7	7	17	9	5	10	5	9	9	11	12	7	6	6	5	0	0	0	0	0	0	0	3	1					
		0.83%	0.0%	0.81%	0.54%	0.81%	0.85%	0.72%	0.92%	1.77%	1.16%	0.57%	1.29%	0.50%	1.05%	1.09%	1.07%	1.15%	0.69%	0.50%	1.43%	2.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.45%					
25	"8. ""Народно-республиканская партия России"""	27	0	0	2	2	1	2	0	0	1	1	0	0	1	3	0	3	2	2	0	0	1	0	2	0	0	1	0	1	2					
		0.13%	0.0%	0.0%	0.13%	0.23%	0.10%	0.20%	0.0%	0.0%	0.12%	0.11%	0.0%	0.0%	0.11%	0.36%	0.0%	0.28%	0.19%	0.16%	0.0%	0.0%	0.53%	0.0%	1.17%	0.0%	0.0%	0.35%	0.0%	0.18%	0.90%					
26	"9. ""Российская экологическая партия ""Зеленые"""	99	0	6	8	9	3	3	5	5	3	4	7	6	6	2	3	2	6	7	1	0	1	3	1	1	0	0	0	5	2					
		0.50%	0.0%	0.44%	0.54%	1.05%	0.32%	0.31%	0.65%	0.52%	0.38%	0.45%	0.90%	0.60%	0.70%	0.24%	0.29%	0.19%	0.59%	0.59%	0.23%	0.0%	0.53%	0.65%	0.58%	0.55%	0.0%	0.0%	0.0%	0.92%	0.90%					
27	"10. ""Аграрная партия России"""	544	3	28	32	14	28	15	11	21	23	27	13	21	9	15	26	18	22	22	12	2	9	10	24	10	16	11	17	69	16					
