Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Ачинская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837					
1	"Число избирателей, внесенных в списки избирателей"	11752	455	772	216	553	191	128	840	557	330	122	1916	362	1183	1042	333	618	742	277	1115					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10785	424	750	186	500	175	100	750	500	300	100	1800	300	1100	950	300	550	700	250	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7038	232	483	154	374	140	61	531	320	221	76	1098	180	658	585	222	395	472	118	718					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	666	62	52	14	11	13	23	35	15	16	12	33	67	75	43	29	76	27	40	23					
6	Число погашенных избирательных бюллетеней	3081	130	215	18	115	22	16	184	165	63	12	669	53	367	322	49	79	201	92	309					
7	Число избирательных бюллетеней в переносных ящиках для голосования	666	62	52	14	11	13	23	35	15	16	12	33	67	75	43	29	76	27	40	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7038	232	483	154	374	140	61	531	320	221	76	1098	180	658	585	222	395	472	118	718					
9	Число недействительных избирательных бюллетеней	81	1	4	3	4	3	2	8	4	3	2	13	1	5	4	2	5	7	1	9					
10	Число действительных избирательных бюллетеней	7623	293	531	165	381	150	82	558	331	234	86	1118	246	728	624	249	466	492	157	732					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	199	10	14	4	10	4	3	14	9	15	3	28	5	7	10	7	12	9	5	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	130	5	9	2	8	0	1	8	8	15	1	26	0	6	7	0	4	8	0	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	71	6	5	2	3	3	1	1	6	4	4	7	2	3	2	2	6	2	10	2					
14	Число погашенных неиспользованных открепительных удостоверений	69	5	5	2	2	4	2	6	1	0	2	2	5	1	3	7	8	1	5	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
