Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Гулькевичская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72700	1147	2145	2089	2192	1056	1799	1494	1248	1297	1159	1180	2347	840	2613	2278	639	956	1583	1315	147	1760	1641	830	554	979	1949	1339	749	1281	1488	330	316	374	686	439	1163	894	2024	714	446	192	722	443	670	1480	1117	100	985	611	277	145	249	1115	1477	1644	103	985	2363	1339	365	892	219	1947	255	426	498	312	833	1301	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69575	1100	2040	2010	2080	1000	1720	1420	1190	1190	1150	1130	2280	840	2480	2150	620	930	1490	1230	140	1680	1560	800	530	940	1870	1270	730	1210	1430	320	310	370	660	420	1100	860	1930	670	420	190	700	420	650	1420	1060	100	960	590	270	140	250	1050	1400	1580	100	940	2260	1325	350	860	210	1840	250	410	490	300	800	1240	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31735	400	1639	1139	1289	365	993	463	424	451	420	428	865	331	835	1113	228	703	576	444	89	573	462	245	181	332	724	547	322	799	810	187	174	144	315	155	447	333	743	273	269	144	282	203	467	998	789	44	414	213	114	62	165	336	495	631	64	359	859	529	188	509	164	655	92	149	202	169	383	710	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3842	52	36	115	57	41	142	72	57	209	71	51	38	41	109	66	115	42	171	112	4	72	86	59	18	32	61	38	16	55	51	21	6	54	36	75	97	47	138	41	15	5	31	22	45	67	38	41	76	67	25	14	10	45	19	24	10	101	119	65	38	26	18	93	11	41	28	20	90	29	5									
6	Число погашенных избирательных бюллетеней	33998	648	365	756	734	594	585	885	709	530	659	651	1377	468	1536	971	277	185	743	674	47	1035	1012	496	331	576	1085	685	392	356	569	112	130	172	309	190	556	480	1049	356	136	41	387	195	138	355	233	15	470	310	131	64	75	669	886	925	26	480	1282	731	124	325	28	1092	147	220	260	111	327	501	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3842	52	36	115	57	41	142	72	57	209	71	51	38	41	109	66	115	42	171	112	4	72	86	59	18	32	61	38	16	55	51	21	6	54	36	75	97	47	138	41	15	5	31	22	45	67	38	41	76	67	25	14	10	45	19	24	10	101	119	65	38	26	18	93	11	41	28	20	90	29	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31728	400	1636	1139	1289	365	993	463	424	451	420	428	865	331	835	1113	228	703	576	444	89	573	462	245	181	332	724	547	322	799	810	187	174	144	315	155	445	333	741	273	269	144	282	203	467	998	789	44	414	213	114	62	165	336	495	631	64	359	859	529	188	509	164	655	92	149	202	169	383	710	116									
9	Число недействительных избирательных бюллетеней	618	9	12	15	26	2	29	22	10	13	11	0	13	5	18	12	8	19	7	9	0	11	20	10	9	9	16	13	0	14	8	3	0	2	26	6	9	8	22	4	11	0	5	2	0	0	11	0	7	8	4	1	0	2	6	5	2	21	12	18	0	0	3	21	12	8	3	8	4	14	0									
10	Число действительных избирательных бюллетеней	34952	443	1660	1239	1320	404	1106	513	471	647	480	479	890	367	926	1167	335	726	740	547	93	634	528	294	190	355	769	572	338	840	853	205	180	196	325	224	533	372	857	310	273	149	308	223	512	1065	816	85	483	272	135	75	175	379	508	650	72	439	966	576	226	535	179	727	91	182	227	181	469	725	121									
