Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Новосибирская - 136																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №801	УИК №802	УИК №803	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24000	2130	2092	2709	731	563	1574	1110	266	2021	1540	183	2190	1568	680	1180	379	2515	569									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20401	2000	2000	2000	600	500	1500	1000	250	1500	1000	151	2000	1500	500	1000	350	2000	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7279	548	789	631	173	196	475	422	79	512	470	69	712	508	252	407	96	775	165									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	458	9	21	23	56	6	58	27	27	10	50	0	12	16	7	11	19	67	39									
6	Число погашенных избирательных бюллетеней	12664	1443	1190	1346	371	298	967	551	144	978	480	82	1276	976	241	582	235	1158	346									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	458	9	21	23	56	6	58	27	27	10	50	0	12	16	7	11	19	67	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7277	548	788	630	173	196	475	422	79	512	470	69	712	508	252	407	96	775	165									
9	Число недействительных избирательных бюллетеней	242	28	30	12	3	5	9	19	0	20	14	7	29	17	13	11	1	18	6									
10	Число действительных избирательных бюллетеней	7493	529	779	641	226	197	524	430	106	502	506	62	695	507	246	407	114	824	198									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	45	45	50	16	12	35	25	8	40	30	6	45	30	15	25	10	50	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	144	14	13	10	0	10	21	11	3	19	13	0	9	7	2	3	0	8	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	164	10	6	7	5	11	6	7	4	16	22	2	2	8	4	28	6	12	8									
14	Число погашенных неиспользованных открепительных удостоверений	356	31	32	40	16	2	14	14	5	21	17	6	36	23	13	22	10	42	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
