Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																		
																																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																		
																																																																																																																																		
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №7101	УИК №7102	УИК №7103	УИК №7105	УИК №7106	УИК №7107	УИК №7108	УИК №7109	УИК №7111	УИК №7113	УИК №7116	УИК №7117	УИК №7118	УИК №7119	УИК №7126	УИК №7127	УИК №7128	УИК №7129	УИК №7130	УИК №7131	УИК №7132	УИК №7133	УИК №7134	УИК №7135	УИК №7136	УИК №7137	УИК №7138	УИК №7139	УИК №7141	УИК №7142	УИК №7143	УИК №7144	УИК №7145	УИК №7146	УИК №7147	УИК №7148	УИК №7149	УИК №7150	УИК №7151	УИК №7152	УИК №7153	УИК №7154	УИК №7155	УИК №7156	УИК №7157	УИК №7158									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	123824	397	1081	2657	2782	1085	214	484	2041	2102	1897	1753	1579	831	827	341	1937	1755	1945	1567	1263	2519	2863	2897	2058	1283	1960	1939	1871	1478	1120	1594	1585	1291	1619	1558	1405	1776	1725	1817	2761	2028	1400	1234	1552	1196	1637	1948	1584	1243	1772	1512	1485	2163	962	2144	2028	1546	1175	1521	1629	1317	1901	1826	2160	1893	2834	2744	1622	2289	1330	1271	1665	1313	29	27	22	30	28	27	407	143	24	25	23	22	22	26	95	88	91	87	89	94	93	87	29	85	22	20	20	81	29	29	29	22	19	19	20	22	22	22	22	18	22	22	21	23	30	16									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118617	350	1000	2500	2500	1000	200	450	2000	2000	1900	1700	1500	800	800	350	1900	1700	1900	1500	1200	2500	2500	2500	2000	1000	2000	1900	1900	1400	1000	1500	1500	1300	1500	1500	1400	1800	1700	1800	2500	2000	1400	1200	1500	1200	1500	2000	1500	1200	1800	1500	1500	2000	1000	2000	2000	1500	1200	1500	1500	1300	1900	1800	2000	2000	2500	2500	1500	2000	1300	1200	1700	1200	29	27	22	30	28	27	407	143	24	25	23	24	22	28	95	88	93	89	89	94	93	87	29	87	22	22	22	81	31	31	31	22	19	21	20	22	22	22	22	18	22	22	21	23	32	16									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43341	184	361	1511	1501	523	99	189	667	644	629	719	475	274	184	92	646	525	496	369	333	653	975	953	520	453	386	464	539	445	541	605	541	429	461	515	372	592	569	594	734	647	339	435	392	611	484	480	856	393	400	556	618	696	345	593	616	424	387	485	595	654	645	744	751	855	897	822	595	985	548	493	533	483	29	27	22	30	28	27	399	143	24	25	23	22	22	26	93	88	91	84	89	90	93	87	29	84	22	20	20	80	29	29	29	22	19	19	20	22	22	22	22	18	22	22	19	23	30	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1739	16	94	30	65	73	0	12	10	51	77	14	9	2	4	77	9	4	16	28	55	39	106	6	9	2	11	30	12	76	20	14	13	7	3	5	2	4	6	4	44	6	10	6	26	12	63	7	10	21	22	24	42	20	21	2	11	4	5	13	10	4	13	28	12	11	12	67	60	69	42	17	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	73537	150	545	959	934	404	101	249	1323	1305	1194	967	1016	524	612	181	1245	1171	1388	1103	812	1808	1419	1541	1471	545	1603	1406	1349	879	439	881	946	864	1036	980	1026	1204	1125	1202	1722	1347	1051	759	1082	577	953	1513	634	786	1378	920	840	1284	634	1405	1373	1072	808	1002	895	642	1242	1028	1237	1134	1591	1611	845	946	710	690	1162	712	0	0	0	0	0	0	8	0	0	0	0	2	0	2	2	0	2	5	0	4	0	0	0	3	0	2	2	1	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1739	16	94	30	65	73	0	12	10	51	77	14	9	2	4	77	9	4	16	28	55	39	106	6	9	2	11	30	12	76	20	14	13	7	3	5	2	4	6	4	44	6	10	6	26	12	63	7	10	21	22	24	42	20	21	2	11	4	5	13	10	4	13	28	12	11	12	67	60	69	42	17	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43248	184	360	1511	1501	523	99	189	667	644	629	719	475	274	184	92	646	525	496	369	303	653	973	953	520	453	386	464	539	445	541	605	540	429	461	515	372	592	569	594	734	646	339	435	391	611	482	475	856	392	398	556	617	696	345	591	616	424	387	485	585	648	640	744	751	855	897	820	595	966	548	493	533	482	29	27	22	30	28	27	399	143	24	25	23	22	22	26	93	88	91	84	89	90	93	87	29	84	22	20	20	80	29	29	29	22	19	19	20	22	22	22	22	18	22	22	18	23	30	16									
9	Число недействительных избирательных бюллетеней	1470	5	23	36	53	9	7	11	21	17	13	39	32	14	15	8	21	16	15	18	16	27	31	23	27	9	24	9	22	23	13	20	14	11	18	15	13	22	24	16	20	26	6	21	11	11	18	22	33	13	22	17	3	23	11	23	14	21	8	22	9	13	32	33	26	16	16	47	7	82	22	0	5	20	0	0	0	0	0	0	4	0	0	0	0	0	0	4	3	0	2	2	0	2	3	2	0	1	0	0	0	9	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	5	0	4									
10	Число действительных избирательных бюллетеней	43517	195	431	1505	1513	587	92	190	656	678	693	694	452	262	173	161	634	513	497	379	342	665	1048	936	502	446	373	485	529	498	548	599	539	425	446	505	361	574	551	582	758	626	343	420	406	612	527	460	833	400	398	563	656	693	355	570	613	407	384	476	586	639	621	739	737	850	893	840	648	953	568	510	533	467	29	27	22	30	28	27	395	143	24	25	23	22	22	22	90	88	89	82	89	88	90	85	29	83	22	20	20	71	29	29	29	22	19	19	18	22	22	22	20	18	20	22	18	18	30	12									
