Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Муром округ																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1078					
1	"Число избирателей, внесенных в список избирателей"	117251	1162	2257	101	2279	2041	1781	1839	2001	1674	1571	2158	1895	1793	1073	1381	1702	1556	1844	1708	1703	1910	1721	1470	1562	1785	1532	1741	1823	1649	1838	1744	1696	638	929	1894	1881	1770	1636	1390	1877	2062	1767	2416	177	2618	1885	1077	1233	2353	1889	470	2659	468	476	1270	2086	2242	2290	1824	2575	975	1150	1832	1193	1763	1292	1892	1211	3003	1992	1106					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102050	1000	2000	101	2000	1900	1500	1500	1700	1400	1300	1800	1600	1500	900	1200	1400	1300	1600	1400	1400	1600	1500	1300	1300	1500	1300	1400	1500	1400	1600	1400	1400	600	800	1600	1600	1500	1400	1200	1600	1800	1500	2000	1500	2200	1600	900	1000	2000	1600	471	2200	450	476	1100	1800	1900	1900	1500	2200	975	1000	1500	1000	1500	1292	1600	1000	2987	1992	1106					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54020	462	940	70	808	874	765	760	885	631	542	879	717	823	418	600	733	513	862	669	698	849	723	623	665	694	462	530	772	760	741	692	711	308	427	742	903	652	785	643	752	896	643	1033	177	1090	630	400	364	896	987	464	1325	186	467	615	940	1028	999	844	945	975	386	914	499	620	1278	833	541	2925	1961	1076					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3258	43	64	0	47	62	38	41	51	117	40	48	44	32	23	33	35	32	24	34	53	35	40	44	55	67	117	246	52	31	82	60	82	60	21	38	57	35	43	48	52	36	56	93	0	107	76	8	97	41	31	0	90	47	0	37	52	46	58	28	49	0	26	26	42	34	0	37	15	0	0	0					
6	Число погашенных избирательных бюллетеней	44772	495	996	31	1145	964	697	699	764	652	718	873	839	645	459	567	632	755	714	697	649	716	737	633	580	739	721	624	676	609	777	648	607	232	352	820	640	813	572	509	796	868	801	874	1323	1003	894	492	539	1063	582	7	785	217	9	448	808	826	843	628	1206	0	588	560	459	846	14	730	444	62	31	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3257	43	64	0	47	62	38	41	51	117	40	48	44	32	23	33	35	32	24	34	53	35	40	44	55	67	117	245	52	31	82	60	82	60	21	38	57	35	43	48	52	36	56	93	0	107	76	8	97	41	31	0	90	47	0	37	52	46	58	28	49	0	26	26	42	34	0	37	15	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53942	462	940	70	808	874	765	758	884	631	542	879	716	823	418	600	733	513	862	669	698	849	723	623	664	692	462	530	772	758	737	685	701	308	427	742	903	652	785	643	752	896	643	1018	177	1090	630	400	364	895	987	464	1325	186	467	614	940	1028	998	844	945	974	386	887	499	620	1277	832	541	2925	1961	1076					
9	Число недействительных избирательных бюллетеней	797	6	17	0	11	10	13	16	7	9	8	6	7	8	7	12	17	8	14	17	19	17	16	14	12	10	9	13	8	14	6	10	14	3	6	9	9	8	19	8	13	19	7	24	0	16	15	14	10	13	9	6	21	2	0	14	20	14	20	21	23	7	8	11	11	4	1	15	11	10	19	2					
10	Число действительных избирательных бюллетеней	56402	499	987	70	844	926	790	783	928	739	574	921	753	847	434	621	751	537	872	686	732	867	747	653	707	749	570	762	816	775	813	735	769	365	442	771	951	679	809	683	791	913	692	1087	177	1181	691	394	451	923	1009	458	1394	231	467	637	972	1060	1036	851	971	967	404	902	530	650	1276	854	545	2915	1942	1074					
