Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Аяно-Майская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467					
1	"Число избирателей, внесенных в списки избирателей"	3963	191	539	223	373	839	1798					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3874	195	503	229	363	864	1720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	44	0	0	0	0	44	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2765	122	322	139	211	251	1720					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	88	2	24	12	19	31	0					
6	Число погашенных избирательных бюллетеней	977	71	157	78	133	538	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	132	2	24	12	19	75	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2765	122	322	139	211	251	1720					
9	Число недействительных избирательных бюллетеней	41	0	2	1	5	12	21					
10	Число действительных избирательных бюллетеней	2856	124	344	150	225	314	1699					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	94	6	30	8	25	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	15	2	8	1	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	16	1	1	1	0	9	4					
14	Число погашенных неиспользованных открепительных удостоверений	79	4	22	7	22	24	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	45	1	12	0	3	15	14					
		1.55%	0.81%	3.47%	0.00%	1.30%	4.60%	0.81%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	0	5	0	2	2	16					
		0.86%	0.00%	1.45%	0.00%	0.87%	0.61%	0.93%					
20	3.Политическая партия «Демократическая партия России»	8	1	0	1	0	2	4					
		0.28%	0.81%	0.00%	0.66%	0.00%	0.61%	0.23%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	200	1	29	5	20	28	117					
		6.90%	0.81%	8.38%	3.31%	8.70%	8.59%	6.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	1	1	0	3	1	7					
		0.45%	0.81%	0.29%	0.00%	1.30%	0.31%	0.41%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	2	0	0	0	5					
		0.24%	0.00%	0.58%	0.00%	0.00%	0.00%	0.29%					
24	7.Политическая партия «Либерально-демократическая партия России»	593	6	55	11	40	31	450					
		20.47%	4.84%	15.90%	7.28%	17.39%	9.51%	26.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	154	4	33	5	18	19	75					
		5.32%	3.23%	9.54%	3.31%	7.83%	5.83%	4.36%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	35	0	3	0	5	2	25					
		1.21%	0.00%	0.87%	0.00%	2.17%	0.61%	1.45%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1747	110	201	128	129	209	970					
		60.30%	88.71%	58.09%	84.77%	56.09%	64.11%	56.40%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	0	3	0	5	5	16					
		1.00%	0.00%	0.87%	0.00%	2.17%	1.53%	0.93%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
