Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Аяно-Майская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464	УИК №667					
1	"Число избирателей, внесенных в список избирателей"	2705	136	695	180	649	1045					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2737	148	717	192	680	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1030	0	2	0	28	1000					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1091	102	488	134	367	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	60	0	30	9	21	0					
6	Число погашенных избирательных бюллетеней	556	46	197	49	264	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1090	0	32	9	49	1000					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1091	102	488	134	367	0					
9	Число недействительных избирательных бюллетеней	45	0	10	2	7	26					
10	Число действительных избирательных бюллетеней	2136	102	510	141	409	974					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	10	30	10	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	4	30	10	17	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	0	5	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	19	6	0	0	13	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	10	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	278	3	107	15	103	50					
		12.75%	2.94%	20.58%	10.49%	24.76%	5.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	476	10	80	9	63	314					
		21.82%	9.80%	15.38%	6.29%	15.14%	31.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	5	0	7	18					
		1.38%	0.00%	0.96%	0.00%	1.68%	1.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	264	0	64	3	45	152					
		12.10%	0.00%	12.31%	2.10%	10.82%	15.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	2	9	3	9	12					
		1.60%	1.96%	1.73%	2.10%	2.16%	1.20%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1035	87	241	110	179	418					
		47.46%	85.29%	46.35%	76.92%	43.03%	41.80%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	0	4	1	3	10					
		0.83%	0.00%	0.77%	0.70%	0.72%	1.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
