Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																											
																																																																																											
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №2193					
1	"Число избирателей, внесенных в списки"	135349	853	577	724	96	2115	1586	2070	2081	2064	1605	1845	2087	1576	1819	1705	1572	2003	2458	2284	2368	2417	2247	2632	2761	2338	1521	1592	2134	2387	2567	969	2035	2333	1335	1069	2738	1470	1268	1448	1243	1997	1667	1970	1698	1625	1708	2677	1923	2219	2400	1514	1525	1778	2259	1614	818	1465	1959	2345	873	2667	780	1641	921	1744	675	997	1156	1638	1243	1161	1453	1292	1046	1425	900	633	1022	1040	877	494	110	835	1573					
2	"Число бюллетеней, полученных участковыми комиссиями"	127600	800	500	700	90	1900	1500	2000	2000	1800	1500	1800	2000	1400	1700	1600	1500	1800	2300	2200	2200	2400	2000	2500	2600	2300	1400	1500	1900	2400	2500	900	2000	2300	1300	1000	2500	1400	1300	1500	1200	2000	1600	1800	1700	1500	1600	2400	1600	2000	2200	1400	1500	1500	2000	1500	750	1300	1900	2000	800	2500	750	1500	900	1700	550	1000	1000	1500	1100	1300	1400	1200	900	1400	900	600	1000	1000	800	450	110	800	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	65269	318	205	262	42	713	874	1266	1150	1037	852	967	1152	819	975	963	875	1073	1243	1352	1323	1455	1247	1488	1130	1062	733	757	842	1096	1104	533	1071	886	703	570	1231	761	549	777	632	1101	795	747	752	783	947	1350	922	1142	1140	827	885	833	1054	601	291	711	1093	1151	405	1134	383	786	438	732	268	224	535	668	496	491	529	494	399	568	380	281	495	473	281	178	57	635	726					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1822	62	56	16	2	51	6	16	21	21	44	24	22	11	15	9	24	23	41	16	12	15	11	12	48	22	10	17	27	47	42	7	9	14	24	14	18	28	7	18	30	37	34	35	15	28	27	20	13	20	25	11	9	13	32	22	51	8	17	33	10	83	10	27	22	21	9	11	20	21	25	10	11	12	10	65	16	1	0	22	24	12	1	0	17					
6	Число погашенных бюллетеней	60509	420	239	422	46	1136	620	718	829	742	604	809	826	570	710	628	601	704	1016	832	865	930	742	1000	1422	1216	657	726	1031	1257	1354	360	920	1400	573	416	1251	611	744	705	538	862	771	1018	933	689	626	1030	665	838	1035	562	606	654	914	877	408	581	790	816	385	1283	357	687	440	947	273	765	445	811	579	799	860	694	491	767	504	318	505	505	495	260	52	165	1257					
7	Число бюллетеней в переносных ящиках для голосования	1821	62	56	16	2	51	6	16	21	21	44	24	22	11	15	9	24	23	41	16	12	15	11	12	48	22	10	17	27	47	42	7	9	14	24	14	18	28	7	18	30	37	34	35	15	28	27	20	13	20	24	11	9	13	32	22	51	8	17	33	10	83	10	27	22	21	9	11	20	21	25	10	11	12	10	65	16	1	0	22	24	12	1	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	65167	318	205	262	42	712	874	1264	1150	1037	852	967	1142	817	975	962	875	1073	1242	1349	1320	1455	1245	1484	1108	1062	732	756	841	1096	1104	533	1066	886	703	570	1231	760	548	777	632	1100	795	747	752	783	947	1349	922	1122	1141	823	884	833	1054	599	290	711	1091	1151	405	1130	383	786	438	732	268	224	535	665	496	491	528	494	398	568	380	281	494	473	281	178	57	635	726					
9	Число недействительных бюллетеней	1024	21	7	6	0	22	8	11	8	7	11	8	15	3	13	6	4	6	10	10	3	12	7	4	12	15	15	14	15	30	14	14	17	12	16	7	14	7	14	23	15	26	26	15	17	17	9	14	12	9	17	2	14	12	9	16	4	15	10	25	6	21	7	22	10	15	10	5	18	15	9	16	11	21	8	12	18	6	8	11	10	9	0	19	12					
10	Число действительных бюллетеней	65964	359	254	272	44	741	872	1269	1163	1051	885	983	1149	825	977	965	895	1090	1273	1355	1329	1458	1249	1492	1144	1069	727	759	853	1113	1132	526	1058	888	711	577	1235	781	541	772	647	1111	803	767	750	794	965	1355	923	1133	1148	832	879	834	1077	605	337	704	1098	1159	409	1192	386	791	450	738	267	230	537	671	512	485	528	485	400	621	378	276	486	484	295	181	58	616	731					
