Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Балтайская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767					
1	"Число избирателей, внесенных в списки"	10222	1497	1561	651	581	136	1031	187	60	65	161	173	483	1184	458	116	648	1157	73					
2	"Число бюллетеней, полученных участковыми комиссиями"	10447	1530	1590	665	600	132	1040	239	61	68	164	178	490	1217	460	116	655	1167	75					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7081	1025	1044	449	410	121	657	159	51	63	124	134	251	872	316	93	467	789	56					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	823	66	54	38	52	8	84	28	9	0	26	22	122	85	72	5	64	75	13					
6	Число погашенных бюллетеней	2543	439	492	178	138	3	299	52	1	5	14	22	117	260	72	18	124	303	6					
7	Число бюллетеней в переносных ящиках для голосования	823	66	54	38	52	8	84	28	9	0	26	22	122	85	72	5	64	75	13					
8	Число бюллетеней в стационарных ящиках для голосования	7076	1025	1041	449	410	121	657	159	51	63	124	134	249	872	316	93	467	789	56					
9	Число недействительных бюллетеней	197	15	14	16	6	4	10	8	0	2	5	7	9	29	10	5	18	36	3					
10	Число действительных бюллетеней	7702	1076	1081	471	456	125	731	179	60	61	145	149	362	928	378	93	513	828	66					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	25	25	15	15	6	15	6	6	6	5	5	10	15	10	5	10	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	105	22	19	10	3	0	9	0	0	1	0	2	2	15	4	0	4	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	6	7	5	2	3	6	4	2	2	0	0	6	7	3	2	4	3	3					
14	Число погашенных открепительных удостоверений	94	3	6	5	12	6	6	6	6	5	5	3	8	0	6	5	6	1	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	165	22	21	16	8	2	14	4	1	0	5	10	18	26	8	1	9	0	0					
		2.08%	2.01%	1.91%	3.28%	1.73%	1.55%	1.88%	2.13%	1.66%	0.0%	3.33%	6.41%	4.85%	2.71%	2.06%	1.02%	1.69%	0.0%	0.0%					
