Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Гороховецкая																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17708	1378	954	1380	673	1438	1248	1258	1316	906	1235	269	658	498	243	1097	284	720	237	1101	815									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17850	1400	950	1400	650	1400	1250	1250	1300	950	1150	300	700	550	250	1150	300	750	250	1100	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7410	626	436	610	285	614	577	618	633	362	542	169	233	197	77	323	139	137	126	432	274									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1810	25	35	84	41	132	131	37	41	82	71	25	77	59	73	203	40	285	40	134	195									
6	Число погашенных избирательных бюллетеней	8630	749	479	706	324	654	542	595	626	506	537	106	390	294	100	624	121	328	84	534	331									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1810	25	35	84	41	132	131	37	41	82	71	25	77	59	73	203	40	285	40	134	195									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7410	626	436	610	285	614	577	618	633	362	542	169	233	197	77	323	139	137	126	432	274									
9	Число недействительных избирательных бюллетеней	158	14	7	9	8	13	2	10	8	7	16	3	9	4	2	7	3	10	0	16	10									
10	Число действительных избирательных бюллетеней	9062	637	464	685	318	733	706	645	666	437	597	191	301	252	148	519	176	412	166	550	459									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	355	20	15	24	11	20	20	20	20	15	20	10	20	15	10	20	10	15	10	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	355	20	15	24	11	20	20	20	20	15	20	10	20	15	10	20	10	15	10	30	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	9	4	12	12	13	9	2	16	9	76	2	12	7	3	9	2	10	2	6	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	5	3	4	3	4	2	5	4	7	2	1	1	0	1	0	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
