Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Маслянинская 																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
1	"Число избирателей, внесенных в список избирателей"	21244	458	154	491	331	448	72	534	144	545	505	145	81	562	373	730	177	171	179	412	205	1404	410	87	424	194	132	434	1397	1188	1249	617	1500	1492	1312	718	1254	715					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21600	470	160	510	340	480	70	550	150	570	530	150	100	590	380	770	180	170	190	440	200	1400	460	100	420	200	130	440	1400	1200	1300	600	1500	1480	1300	700	1270	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11275	249	80	279	178	282	36	264	83	394	333	103	58	300	210	375	105	98	93	256	115	740	287	70	272	126	86	294	739	621	580	337	739	676	598	325	563	331					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	879	14	20	22	20	35	5	17	14	25	33	18	6	20	12	24	6	6	5	19	11	34	33	1	16	11	7	9	39	39	50	27	48	73	44	27	65	24					
6	Число погашенных избирательных бюллетеней	9446	207	60	209	142	163	29	269	53	151	164	29	36	270	158	371	69	66	92	165	74	626	140	29	132	63	37	137	622	540	670	236	713	731	658	348	642	345					
7	Число избирательных бюллетеней в переносных ящиках для голосования	879	14	20	22	20	35	5	17	14	25	33	18	6	20	12	24	6	6	5	19	11	34	33	1	16	11	7	9	39	39	50	27	48	73	44	27	65	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11275	249	80	279	178	282	36	264	83	394	333	103	58	300	210	375	105	98	93	256	115	740	287	70	272	126	86	294	739	621	580	337	739	676	598	325	563	331					
9	Число недействительных избирательных бюллетеней	201	10	4	2	5	4	0	3	1	4	6	0	2	13	4	7	2	3	3	3	4	16	9	0	4	10	2	4	17	5	6	3	11	12	4	2	10	6					
10	Число действительных избирательных бюллетеней	11953	253	96	299	193	313	41	278	96	415	360	121	62	307	218	392	109	101	95	272	122	758	311	71	284	127	91	299	761	655	624	361	776	737	638	350	618	349					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	3	2	5	5	15	5	13	2	16	16	5	10	0	2	8	2	2	2	7	5	12	17	2	7	2	0	0	22	17	12	7	14	17	15	4	7	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	271	2	1	5	5	15	5	12	0	16	16	5	10	0	2	8	1	0	0	7	4	12	17	2	5	2	0	0	22	17	12	6	12	17	14	4	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	166	2	4	5	1	5	2	2	4	1	0	2	1	3	4	3	0	1	1	2	1	5	2	4	3	1	3	2	18	25	6	15	8	6	6	14	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	17	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1837	42	19	34	27	42	3	50	8	46	56	15	9	50	32	86	26	29	7	44	18	122	44	9	22	18	7	45	122	101	132	53	137	110	97	54	72	49					
		15.11%	15.97%	19.00%	11.30%	13.64%	13.25%	7.32%	17.79%	8.25%	10.98%	15.30%	12.40%	14.06%	15.63%	14.41%	21.55%	23.42%	27.88%	7.14%	16.00%	14.29%	15.76%	13.75%	12.68%	7.64%	13.14%	7.53%	14.85%	15.68%	15.30%	20.95%	14.56%	17.41%	14.69%	15.11%	15.34%	11.46%	13.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1961	52	13	72	28	38	3	50	20	48	40	17	17	48	47	44	19	6	18	55	19	139	54	13	43	19	14	61	90	95	105	70	106	133	130	66	109	60					
		16.13%	19.77%	13.00%	23.92%	14.14%	11.99%	7.32%	17.79%	20.62%	11.46%	10.93%	14.05%	26.56%	15.00%	21.17%	11.03%	17.12%	5.77%	18.37%	20.00%	15.08%	17.96%	16.88%	18.31%	14.93%	13.87%	15.05%	20.13%	11.57%	14.39%	16.67%	19.23%	13.47%	17.76%	20.25%	18.75%	17.36%	16.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	128	2	1	1	0	1	0	1	0	3	2	2	1	5	1	3	2	0	2	5	1	7	1	1	3	0	0	3	14	7	10	6	12	7	6	9	7	2					
		1.05%	0.76%	1.00%	0.33%	0.00%	0.32%	0.00%	0.36%	0.00%	0.72%	0.55%	1.65%	1.56%	1.56%	0.45%	0.75%	1.80%	0.00%	2.04%	1.82%	0.79%	0.90%	0.31%	1.41%	1.04%	0.00%	0.00%	0.99%	1.80%	1.06%	1.59%	1.65%	1.52%	0.93%	0.93%	2.56%	1.11%	0.56%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1953	43	16	21	29	50	12	42	19	61	34	7	2	37	26	45	23	6	9	39	16	119	57	7	33	14	18	28	157	156	112	83	123	130	122	78	106	73					
		16.07%	16.35%	16.00%	6.98%	14.65%	15.77%	29.27%	14.95%	19.59%	14.56%	9.29%	5.79%	3.13%	11.56%	11.71%	11.28%	20.72%	5.77%	9.18%	14.18%	12.70%	15.37%	17.81%	9.86%	11.46%	10.22%	19.35%	9.24%	20.18%	23.64%	17.78%	22.80%	15.63%	17.36%	19.00%	22.16%	16.88%	20.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	187	3	0	4	1	1	0	3	1	3	5	1	0	4	1	3	0	0	1	9	0	16	7	0	3	1	0	4	24	24	12	2	16	14	8	5	6	5					
		1.54%	1.14%	0.00%	1.33%	0.51%	0.32%	0.00%	1.07%	1.03%	0.72%	1.37%	0.83%	0.00%	1.25%	0.45%	0.75%	0.00%	0.00%	1.02%	3.27%	0.00%	2.07%	2.19%	0.00%	1.04%	0.73%	0.00%	1.32%	3.08%	3.64%	1.90%	0.55%	2.03%	1.87%	1.25%	1.42%	0.96%	1.41%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5815	110	47	166	106	181	23	132	46	253	222	78	33	160	111	209	38	60	57	118	66	351	147	41	176	75	52	152	351	269	248	144	376	339	274	136	313	155					
