Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Пыщугская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554					
1	"Число избирателей, внесенных в списки"	4668	2696	140	258	194	149	159	351	318	168	235					
2	"Число бюллетеней, полученных участковыми комиссиями"	4516	2539	136	262	191	151	159	355	319	169	235					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2468	1314	74	124	128	91	93	188	184	114	158					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	243	67	6	25	28	15	4	27	39	10	22					
6	Число погашенных бюллетеней	1805	1158	56	113	35	45	62	140	96	45	55					
7	Число бюллетеней в переносных ящиках для голосования	243	67	6	25	28	15	4	27	39	10	22					
8	Число бюллетеней в стационарных ящиках для голосования	2468	1314	74	124	128	91	93	188	184	114	158					
9	Число недействительных бюллетеней	41	30	0	5	0	2	0	1	0	3	0					
10	Число действительных бюллетеней	2670	1351	80	144	156	104	97	214	223	121	180					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	59	34	2	3	3	2	2	4	4	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	14	10	0	0	1	0	0	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	5	1	0	2	0	1	1	1	0	1					
14	Число погашенных открепительных удостоверений	45	24	2	3	2	2	2	1	4	2	3					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	35	17	2	1	0	2	1	4	4	0	4					
		1.29%	1.23%	2.5%	0.67%	0.0%	1.88%	1.03%	1.86%	1.79%	0.0%	2.22%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	19	15	0	0	0	0	0	1	2	0	1					
		0.70%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.89%	0.0%	0.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	71	32	0	2	2	1	0	13	9	3	9					
		2.61%	2.31%	0.0%	1.34%	1.28%	0.94%	0.0%	6.04%	4.03%	2.41%	5.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	37	29	0	2	2	1	0	0	2	1	0					
		1.36%	2.09%	0.0%	1.34%	1.28%	0.94%	0.0%	0.0%	0.89%	0.80%	0.0%					
22	"5. ""За Русь Святую"""	18	11	0	1	3	0	0	0	2	0	1					
		0.66%	0.79%	0.0%	0.67%	1.92%	0.0%	0.0%	0.0%	0.89%	0.0%	0.55%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	3	0	1	1	0	0	1	2	0	0					
		0.29%	0.21%	0.0%	0.67%	0.64%	0.0%	0.0%	0.46%	0.89%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	5	0	2	0	0	0	0	0	0	1					
		0.29%	0.36%	0.0%	1.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%					
25	"8. ""Народно-республиканская партия России"""	8	2	0	3	1	0	0	0	2	0	0					
		0.29%	0.14%	0.0%	2.01%	0.64%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	4	0	1	1	0	0	2	1	0	0					
		0.33%	0.28%	0.0%	0.67%	0.64%	0.0%	0.0%	0.93%	0.44%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	366	175	12	40	9	26	17	19	12	37	19					
		13.50%	12.67%	15.0%	26.84%	5.76%	24.52%	17.52%	8.83%	5.38%	29.83%	10.55%					
28	"11. ""Истинные патриоты России"""	2	0	1	0	0	1	0	0	0	0	0					
		0.07%	0.0%	1.25%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	62	35	2	1	9	0	1	1	10	1	2					
		2.28%	2.53%	2.5%	0.67%	5.76%	0.0%	1.03%	0.46%	4.48%	0.80%	1.11%					
30	"13. ""Демократическая партия России"""	5	3	1	0	0	0	0	0	0	0	1					
		0.18%	0.21%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	1	0	1	0	0	0	0	1	0	1					
		0.14%	0.07%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.55%					
32	"15. ""Партия СЛОН"""	1	0	0	0	0	0	0	1	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	137	82	4	2	3	2	5	13	12	8	6					
		5.05%	5.93%	5.0%	1.34%	1.92%	1.88%	5.15%	6.04%	5.38%	6.45%	3.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	6	0	0	0	0	0	0	1	0	3					
		0.36%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	1.66%					
35	"18. ""ЛДПР"""	364	173	8	26	26	19	14	36	37	6	19					
		13.42%	12.52%	10.0%	17.44%	16.66%	17.92%	14.43%	16.74%	16.59%	4.83%	10.55%					
