Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:     Тевризская ТИК																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706					
1	"Число избирателей, внесенных в список избирателей"	12024	658	704	574	485	571	555	652	513	405	529	161	66	60	431	177	210	739	361	261	163	329	274	336	297	132	99	232	189	305	472	299	99	316	235	135					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12500	690	740	590	490	580	590	660	520	420	550	170	80	70	460	200	230	730	380	270	170	350	290	330	280	130	110	270	200	320	480	300	110	340	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7071	308	387	286	260	323	260	313	280	173	206	100	64	58	285	109	175	363	226	183	129	261	179	219	208	108	75	189	155	175	259	187	56	198	191	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	682	62	22	13	8	20	12	23	21	19	36	13	0	0	21	17	11	29	30	42	6	16	17	19	21	7	9	12	10	30	45	25	7	39	20	0					
6	Число погашенных избирательных бюллетеней	4747	320	331	291	222	237	318	324	219	228	308	57	16	12	154	74	44	338	124	45	35	73	94	92	51	15	26	69	35	115	176	88	47	103	39	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	682	62	22	13	8	20	12	23	21	19	36	13	0	0	21	17	11	29	30	42	6	16	17	19	21	7	9	12	10	30	45	25	7	39	20	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7071	308	387	286	260	323	260	313	280	173	206	100	64	58	285	109	175	363	226	183	129	261	179	219	208	108	75	189	155	175	259	187	56	198	191	123					
9	Число недействительных избирательных бюллетеней	128	2	9	6	4	4	8	9	7	1	0	2	0	0	4	3	1	10	1	0	5	4	4	5	6	5	0	0	3	4	4	6	0	3	4	4					
10	Число действительных избирательных бюллетеней	7625	368	400	293	264	339	264	327	294	191	242	111	64	58	302	123	185	382	255	225	130	273	192	233	223	110	84	201	162	201	300	206	63	234	207	119					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	491	22	20	25	25	25	24	24	14	23	20	5	2	2	20	10	10	30	10	10	5	20	10	10	15	5	5	15	15	10	15	5	5	15	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	269	18	12	10	7	15	16	3	5	2	3	3	0	0	20	10	10	6	8	7	2	18	10	5	0	3	0	4	10	10	15	5	0	15	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	2	7	4	9	14	5	1	7	1	2	6	0	0	0	2	2	4	0	6	1	7	5	4	3	3	2	2	2	4	5	3	3	3	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	222	4	8	15	18	10	8	21	9	21	17	2	2	2	0	0	0	24	2	3	3	2	0	5	15	2	5	11	5	0	0	0	5	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	959	27	57	55	39	41	40	44	32	24	30	23	10	11	44	27	12	44	30	15	7	20	16	31	30	22	8	28	16	22	51	29	11	32	19	12					
		12.37%	7.30%	13.94%	18.39%	14.55%	11.95%	14.71%	13.10%	10.63%	12.50%	12.40%	20.35%	15.63%	18.97%	14.38%	21.43%	6.45%	11.22%	11.72%	6.67%	5.19%	7.22%	8.16%	13.03%	13.10%	19.13%	9.52%	13.93%	9.70%	10.73%	16.78%	13.68%	17.46%	13.50%	9.00%	9.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	963	45	68	60	37	44	34	54	56	30	22	6	6	12	34	7	12	60	66	27	19	62	23	14	30	3	7	17	18	0	24	6	8	27	6	19					
		12.42%	12.16%	16.63%	20.07%	13.81%	12.83%	12.50%	16.07%	18.60%	15.63%	9.09%	5.31%	9.38%	20.69%	11.11%	5.56%	6.45%	15.31%	25.78%	12.00%	14.07%	22.38%	11.73%	5.88%	13.10%	2.61%	8.33%	8.46%	10.91%	0.00%	7.89%	2.83%	12.70%	11.39%	2.84%	15.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	4	4	4	1	2	0	0	2	1	0	0	3	0	4	1	1	3	4	1	1	6	2	0	0	0	1	0	0	1	2	3	0	3	1	0					
		0.71%	1.08%	0.98%	1.34%	0.37%	0.58%	0.00%	0.00%	0.66%	0.52%	0.00%	0.00%	4.69%	0.00%	1.31%	0.79%	0.54%	0.77%	1.56%	0.44%	0.74%	2.17%	1.02%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.49%	0.66%	1.42%	0.00%	1.27%	0.47%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1293	45	95	55	42	58	47	56	58	22	47	17	10	5	37	33	20	72	45	22	22	29	41	70	34	27	8	16	18	56	40	35	7	61	34	9					
		16.68%	12.16%	23.23%	18.39%	15.67%	16.91%	17.28%	16.67%	19.27%	11.46%	19.42%	15.04%	15.63%	8.62%	12.09%	26.19%	10.75%	18.37%	17.58%	9.78%	16.30%	10.47%	20.92%	29.41%	14.85%	23.48%	9.52%	7.96%	10.91%	27.32%	13.16%	16.51%	11.11%	25.74%	16.11%	7.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	108	11	9	8	7	10	4	7	4	0	3	0	0	2	4	1	2	1	1	5	3	3	1	2	3	0	0	6	0	0	2	3	1	2	0	3					
		1.39%	2.97%	2.20%	2.68%	2.61%	2.92%	1.47%	2.08%	1.33%	0.00%	1.24%	0.00%	0.00%	3.45%	1.31%	0.79%	1.08%	0.26%	0.39%	2.22%	2.22%	1.08%	0.51%	0.84%	1.31%	0.00%	0.00%	2.99%	0.00%	0.00%	0.66%	1.42%	1.59%	0.84%	0.00%	2.44%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4196	232	166	108	135	183	135	164	138	113	139	65	34	28	179	52	138	200	109	154	78	151	107	116	123	58	59	132	108	122	180	128	36	106	145	75					
		54.12%	62.70%	40.59%	36.12%	50.37%	53.35%	49.63%	48.81%	45.85%	58.85%	57.44%	57.52%	53.13%	48.28%	58.50%	41.27%	74.19%	51.02%	42.58%	68.44%	57.78%	54.51%	54.59%	48.74%	53.71%	50.43%	70.24%	65.67%	65.45%	59.51%	59.21%	60.38%	57.14%	44.73%	68.72%	60.98%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	4	1	3	3	1	4	2	4	1	1	0	1	0	0	2	0	2	0	1	0	2	2	0	3	0	1	2	2	0	1	2	0	3	2	1					
		0.66%	1.08%	0.24%	1.00%	1.12%	0.29%	1.47%	0.60%	1.33%	0.52%	0.41%	0.00%	1.56%	0.00%	0.00%	1.59%	0.00%	0.51%	0.00%	0.44%	0.00%	0.72%	1.02%	0.00%	1.31%	0.00%	1.19%	0.99%	1.21%	0.00%	0.33%	0.94%	0.00%	1.27%	0.95%	0.81%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
