Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Октябрьская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17659	1080	965	1023	481	1077	1044	586	540	116	195	731	138	752	173	201	382	533	336	193	45	508	300	248	388	811	212	196	139	307	134	993	391	274	592	478	239	123	651	84									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17605	1062	967	1005	482	1077	1038	588	530	110	195	732	139	755	172	200	382	535	341	190	39	493	294	244	390	810	199	204	142	316	131	990	401	281	590	477	236	119	664	85									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7883	506	382	432	169	483	449	249	235	69	100	325	62	309	88	85	172	246	166	152	29	242	129	138	175	365	146	100	79	186	75	325	170	127	270	206	101	63	246	32									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	689	23	18	16	0	12	5	12	17	11	0	17	5	40	13	7	4	18	20	0	5	22	13	13	37	63	5	14	0	20	9	47	35	14	37	38	18	4	51	6									
6	Число погашенных избирательных бюллетеней	9033	533	567	557	313	582	584	327	278	30	95	390	72	406	71	108	206	271	155	38	5	229	152	93	178	382	48	90	63	110	47	618	196	140	283	233	117	52	367	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	689	23	18	16	0	12	5	12	17	11	0	17	5	40	13	7	4	18	20	0	5	22	13	13	37	63	5	14	0	20	9	47	35	14	37	38	18	4	51	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7882	506	382	432	169	483	449	249	235	69	100	325	62	308	88	85	172	246	166	152	29	242	129	138	175	365	146	100	79	186	75	325	170	127	270	206	101	63	246	32									
9	Число недействительных избирательных бюллетеней	202	11	8	6	3	16	8	9	1	1	2	16	0	14	1	8	5	8	6	0	0	7	10	3	7	10	2	2	1	3	1	6	9	2	2	4	3	1	6	0									
10	Число действительных избирательных бюллетеней	8369	518	392	442	166	479	446	252	251	79	98	326	67	334	100	84	171	256	180	152	34	257	132	148	205	418	149	112	78	203	83	366	196	139	305	240	116	66	291	38									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	12	13	14	7	15	14	8	7	1	3	10	2	11	2	3	5	7	5	3	1	7	4	3	6	12	3	4	2	4	2	13	6	4	8	7	3	2	9	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	142	11	6	3	6	10	8	6	2	1	1	6	0	11	0	1	0	7	1	0	0	7	1	0	6	12	0	4	0	4	0	2	3	4	4	4	2	0	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	119	8	2	6	2	7	3	1	1	3	1	0	2	1	2	1	1	5	3	3	7	14	1	2	1	12	8	2	0	0	2	5	3	2	1	2	1	3	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	101	1	7	11	1	5	6	2	5	0	2	4	2	0	2	2	5	0	4	3	1	0	3	3	0	0	3	0	2	0	2	11	3	0	4	3	1	2	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
