Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Ильинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516					
1	"Число избирателей, внесенных в список"	8251	1228	94	369	509	91	382	2109	1043	53	399	170	255	211	109	474	211	544					
2	Число полученных избирательных бюллетеней	7859	1197	120	357	484	123	374	1878	931	84	370	191	260	198	114	464	204	510					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4281	540	69	190	270	69	183	1142	536	35	198	85	133	128	70	264	107	262					
5	"Число избирательных бюллетеней, выданных вне помещения"	1177	264	10	101	70	13	135	86	26	7	75	36	46	33	7	100	64	104					
6	Число погашенных избирательных бюллетеней	2401	393	41	66	144	41	56	650	369	42	97	70	81	37	37	100	33	144					
7	Число избирательных бюллетеней в переносных ящиках	1177	264	10	101	70	13	135	86	26	7	75	36	46	33	7	100	64	104					
8	Число бюллетеней в стационарных ящиках для голосования	4281	540	69	190	270	69	183	1142	536	35	198	85	133	128	70	264	107	262					
9	Число недействительных избирательных бюллетеней	31	6	0	0	2	0	3	13	1	1	2	0	0	1	0	0	1	1					
10	Число действительных избирательных бюллетеней	5427	798	79	291	338	82	315	1215	561	41	271	121	179	160	77	364	170	365					
11	Число полученных открепительных  удостоверений	155	16	5	0	10	5	17	13	12	16	5	10	6	3	3	13	13	8					
12	Число выданных открепительных удостоверений	152	16	4	0	10	5	17	13	10	16	5	10	6	3	3	13	13	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	6	1	4	3	1	1	11	7	3	1	2	2	1	3	1	5	2					
14	Число неиспользованных открепительных удостоверений	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	126	10	1	3	11	1	5	43	21	0	7	2	2	0	1	11	6	2					
		2.31%	1.24%	1.27%	1.03%	3.24%	1.22%	1.57%	3.50%	3.74%	0.00%	2.56%	1.65%	1.12%	0.00%	1.30%	3.02%	3.51%	0.55%					
19	. Малышкин Олег Александрович	194	33	6	11	14	5	15	32	22	0	12	2	2	15	1	15	0	9					
		3.55%	4.10%	7.59%	3.78%	4.12%	6.10%	4.72%	2.61%	3.91%	0.00%	4.40%	1.65%	1.12%	9.32%	1.30%	4.12%	0.00%	2.46%					
20	. Миронов Сергей Михайлович	54	4	1	1	6	0	3	15	5	1	0	2	3	1	0	5	1	6					
		0.99%	0.50%	1.27%	0.34%	1.76%	0.00%	0.94%	1.22%	0.89%	2.38%	0.00%	1.65%	1.68%	0.62%	0.00%	1.37%	0.58%	1.64%					
21	. Путин Владимир Владимирович	3571	490	62	210	187	60	211	737	330	37	205	93	127	83	69	252	128	290					
		65.43%	60.95%	78.48%	72.16%	55.00%	73.17%	66.35%	60.02%	58.72%	88.10%	75.09%	76.86%	70.95%	51.55%	89.61%	69.23%	74.85%	79.23%					
22	. Хакамада Ирина Муцуовна	89	15	1	2	3	3	6	33	11	0	1	0	1	2	1	2	1	7					
		1.63%	1.87%	1.27%	0.69%	0.88%	3.66%	1.89%	2.69%	1.96%	0.00%	0.37%	0.00%	0.56%	1.24%	1.30%	0.55%	0.58%	1.91%					
23	. Харитонов Николай Михайлович	1235	211	6	62	106	9	67	319	150	3	42	22	34	51	5	76	22	50					
		22.63%	26.24%	7.59%	21.31%	31.18%	10.98%	21.07%	25.98%	26.69%	7.14%	15.38%	18.18%	18.99%	31.68%	6.49%	20.88%	12.87%	13.66%					
																								
24	Против всех	158	35	2	2	11	4	8	36	22	0	4	0	10	8	0	3	12	1					
		2.89%	4.35%	2.53%	0.69%	3.24%	4.88%	2.52%	2.93%	3.91%	0.00%	1.47%	0.00%	5.59%	4.97%	0.00%	0.82%	7.02%	0.27%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
