Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Усть-Катавская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20770	1441	1273	1335	1495	1485	1305	1298	869	629	1270	1277	1411	882	1317	774	205	1361	427	407	212	97									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16950	1175	1050	1100	1225	1200	1050	1050	700	525	1050	1050	1150	725	1050	600	175	1100	375	350	175	75									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10054	686	701	731	750	777	533	637	349	289	708	719	791	379	613	316	103	429	185	186	113	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	844	16	30	25	26	23	41	31	28	19	42	40	25	34	37	83	5	232	37	50	9	11									
6	Число погашенных избирательных бюллетеней	6052	473	319	344	449	400	476	382	323	217	300	291	334	312	400	201	67	439	153	114	53	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	844	16	30	25	26	23	41	31	28	19	42	40	25	34	37	83	5	232	37	50	9	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10054	686	701	731	750	777	533	637	349	289	708	719	791	379	613	316	103	429	185	186	113	59									
9	Число недействительных избирательных бюллетеней	362	27	25	25	27	20	22	20	19	6	31	21	24	9	24	19	4	12	2	21	4	0									
10	Число действительных избирательных бюллетеней	10536	675	706	731	749	780	552	648	358	302	719	738	792	404	626	380	104	649	220	215	118	70									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	306	22	27	24	17	17	22	20	13	24	21	15	24	18	15	4	1	11	7	1	2	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	20	24	24	12	17	18	20	8	17	19	12	21	11	15	4	1	8	7	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	217	12	10	12	13	13	6	11	11	12	16	7	10	11	16	11	8	11	6	5	10	6									
14	Число погашенных неиспользованных открепительных удостоверений	47	2	3	0	5	0	4	0	5	7	2	3	3	7	0	0	0	3	0	0	2	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	5	5	5	2	5	1	4	3	3	5	1	7	2	4	3	0	7	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	13	6	8	4	12	2	17	5	1	3	11	5	2	6	3	2	11	2	1	0	0									
		1.05%	1.85%	0.82%	1.06%	0.52%	1.50%	0.35%	2.54%	1.33%	0.32%	0.40%	1.45%	0.61%	0.48%	0.92%	0.75%	1.85%	1.66%	0.90%	0.42%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	339	17	28	24	28	20	18	19	10	12	15	24	25	13	20	21	3	12	12	6	9	3									
		3.11%	2.42%	3.83%	3.17%	3.61%	2.50%	3.14%	2.84%	2.65%	3.90%	2.00%	3.16%	3.06%	3.15%	3.08%	5.26%	2.78%	1.82%	5.41%	2.54%	7.38%	4.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	272	17	33	17	20	25	9	28	8	14	15	22	23	11	10	5	4	9	1	1	0	0									
		2.50%	2.42%	4.51%	2.25%	2.58%	3.13%	1.57%	4.19%	2.12%	4.55%	2.00%	2.90%	2.82%	2.66%	1.54%	1.25%	3.70%	1.36%	0.45%	0.42%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3993	216	218	246	266	258	213	238	171	122	262	286	278	149	267	149	45	322	79	114	57	37									
