Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Петровск-Забайкальская городская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
1	"Число избирателей, внесенных в списки"	17157	764	517	549	417	1149	1288	808	602	1033	1147	1317	1422	1257	324	1547	372	523	542	450	281	428	420					
2	"Число бюллетеней, полученных участковыми комиссиями"	16871	754	520	545	399	1140	1261	790	594	1013	1137	1303	1404	1247	319	1491	364	523	540	429	250	434	414					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5840	234	163	161	114	358	392	217	244	384	443	472	516	344	164	538	92	197	164	149	119	131	244					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	352	22	12	7	18	11	50	14	9	51	18	27	6	32	5	17	3	0	15	3	23	5	4					
6	Число погашенных бюллетеней	10679	498	345	377	267	771	819	559	341	578	676	804	882	871	150	936	269	326	361	277	108	298	166					
7	Число бюллетеней в переносных ящиках для голосования	352	22	12	7	18	11	50	14	9	51	18	27	6	32	5	17	3	0	15	3	23	5	4					
8	Число бюллетеней в стационарных ящиках для голосования	5839	234	163	161	114	358	392	217	244	383	443	472	516	344	164	538	92	197	164	149	119	131	244					
9	Число недействительных бюллетеней	96	8	3	7	1	5	2	4	4	10	7	6	5	12	9	5	1	3	2	0	1	1	0					
10	Число действительных бюллетеней	6095	248	172	161	131	364	440	227	249	424	454	493	517	364	160	550	94	194	177	152	141	135	248					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	191	8	8	8	6	10	10	9	8	10	10	10	10	9	5	10	9	9	9	9	9	9	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	0	0	2	3	3	8	2	0	3	2	1	2	4	0	2	1	2	1	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	0	0	3	1	1	0	0	3	1	0	0	0	1	1	0	0	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	150	8	8	6	3	7	2	7	8	7	8	9	8	5	5	8	8	7	8	6	7	9	6					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	1	1	0	0	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	69	0	1	2	2	5	6	2	1	3	5	8	1	2	1	11	3	3	1	1	4	2	5					
		1.11%	0.0%	0.57%	1.19%	1.51%	1.35%	1.35%	0.86%	0.39%	0.69%	1.08%	1.60%	0.19%	0.53%	0.59%	1.98%	3.15%	1.52%	0.55%	0.65%	2.81%	1.47%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	48	1	1	2	0	2	2	0	6	0	4	1	5	5	4	5	2	2	0	0	2	2	2					
		0.77%	0.39%	0.57%	1.19%	0.0%	0.54%	0.45%	0.0%	2.37%	0.0%	0.86%	0.20%	0.95%	1.32%	2.36%	0.90%	2.10%	1.01%	0.0%	0.0%	1.40%	1.47%	0.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	175	9	2	7	1	15	15	5	5	9	13	14	20	13	3	6	4	11	6	7	2	4	4					
		2.82%	3.51%	1.14%	4.16%	0.75%	4.06%	3.39%	2.16%	1.97%	2.07%	2.81%	2.80%	3.83%	3.45%	1.77%	1.08%	4.21%	5.58%	3.35%	4.60%	1.40%	2.94%	1.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	96	5	5	3	1	5	8	1	5	8	6	12	7	6	4	5	0	2	1	3	3	2	4					
		1.55%	1.95%	2.85%	1.78%	0.75%	1.35%	1.80%	0.43%	1.97%	1.84%	1.30%	2.40%	1.34%	1.59%	2.36%	0.90%	0.0%	1.01%	0.55%	1.97%	2.11%	1.47%	1.61%					
22	"5. ""За Русь Святую"""	33	1	4	0	1	4	7	1	0	3	1	1	1	2	0	1	1	0	1	2	0	2	0					
		0.53%	0.39%	2.28%	0.0%	0.75%	1.08%	1.58%	0.43%	0.0%	0.69%	0.21%	0.20%	0.19%	0.53%	0.0%	0.18%	1.05%	0.0%	0.55%	1.31%	0.0%	1.47%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	0	0	0	0	2	1	1	2	0	1	1	0	1	0	2	0	0	0	1	0	1	1					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.54%	0.22%	0.43%	0.79%	0.0%	0.21%	0.20%	0.0%	0.26%	0.0%	0.36%	0.0%	0.0%	0.0%	0.65%	0.0%	0.73%	0.40%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	1	1	1	0	1	2	0	2	0	1	1	1	4	1	1	0	1	0	4	1	0	2					
		0.40%	0.39%	0.57%	0.59%	0.0%	0.27%	0.45%	0.0%	0.79%	0.0%	0.21%	0.20%	0.19%	1.06%	0.59%	0.18%	0.0%	0.50%	0.0%	2.63%	0.70%	0.0%	0.80%					
25	"8. ""Народно-республиканская партия России"""	9	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2					
		0.14%	0.0%	0.57%	0.0%	0.0%	0.27%	0.22%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.73%	0.80%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	2	0	1	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0					
		0.14%	0.78%	0.0%	0.59%	0.0%	0.27%	0.0%	0.0%	0.0%	0.23%	0.43%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	124	9	4	3	5	8	7	3	3	7	11	5	7	6	9	18	3	5	4	2	0	5	0					
		2.00%	3.51%	2.28%	1.78%	3.78%	2.16%	1.58%	1.29%	1.18%	1.61%	2.38%	1.00%	1.34%	1.59%	5.32%	3.24%	3.15%	2.53%	2.23%	1.31%	0.0%	3.67%	0.0%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	96	1	4	0	2	3	2	4	5	8	18	3	10	3	1	14	3	2	1	7	0	0	5					
		1.55%	0.39%	2.28%	0.0%	1.51%	0.81%	0.45%	1.73%	1.97%	1.84%	3.90%	0.60%	1.91%	0.79%	0.59%	2.52%	3.15%	1.01%	0.55%	4.60%	0.0%	0.0%	2.01%					
30	"13. ""Демократическая партия России"""	23	2	0	0	0	1	2	4	0	3	3	1	1	2	0	1	1	0	1	1	0	0	0					
		0.37%	0.78%	0.0%	0.0%	0.0%	0.27%	0.45%	1.73%	0.0%	0.69%	0.65%	0.20%	0.19%	0.53%	0.0%	0.18%	1.05%	0.0%	0.55%	0.65%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.39%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.23%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.40%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.65%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	288	5	9	5	8	16	22	11	7	24	29	23	26	18	9	29	3	6	10	8	4	8	8					
		4.65%	1.95%	5.14%	2.97%	6.06%	4.33%	4.97%	4.76%	2.76%	5.52%	6.29%	4.60%	4.98%	4.78%	5.32%	5.22%	3.15%	3.04%	5.58%	5.26%	2.81%	5.88%	3.22%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0					
		0.12%	0.0%	0.57%	0.0%	0.75%	0.27%	0.0%	0.0%	0.39%	0.0%	0.0%	0.20%	0.19%	0.0%	0.0%	0.18%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1266	48	38	31	21	81	67	33	36	77	67	88	120	74	56	126	26	46	51	43	58	37	42					
		20.44%	18.75%	21.71%	18.45%	15.90%	21.95%	15.15%	14.28%	14.22%	17.74%	14.53%	17.63%	22.98%	19.68%	33.13%	22.70%	27.36%	23.35%	28.49%	28.28%	40.84%	27.20%	16.93%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	139	6	9	8	1	8	12	2	8	10	17	4	8	9	8	12	3	1	3	3	0	2	5					
		2.24%	2.34%	5.14%	4.76%	0.75%	2.16%	2.71%	0.86%	3.16%	2.30%	3.68%	0.80%	1.53%	2.39%	4.73%	2.16%	3.15%	0.50%	1.67%	1.97%	0.0%	1.47%	2.01%					
37	"20. ""Политическая партия ""Единая Россия"""	2080	101	68	50	54	135	186	99	77	117	111	171	161	101	42	188	32	61	57	45	57	45	122					
		33.59%	39.45%	38.85%	29.76%	40.90%	36.58%	42.08%	42.85%	30.43%	26.95%	24.07%	34.26%	30.84%	26.86%	24.85%	33.87%	33.68%	30.96%	31.84%	29.60%	40.14%	33.08%	49.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	1	0	1	0	1	1	1	0	1	1	0	3	3	1	1	0	1	0	0	0	1	2					
		0.30%	0.39%	0.0%	0.59%	0.0%	0.27%	0.22%	0.43%	0.0%	0.23%	0.21%	0.0%	0.57%	0.79%	0.59%	0.18%	0.0%	0.50%	0.0%	0.0%	0.0%	0.73%	0.80%					
39	"22. ""Развитие предпринимательства"""	13	0	0	1	0	2	0	0	0	2	0	0	2	2	0	2	0	0	0	0	1	1	0					
		0.20%	0.0%	0.0%	0.59%	0.0%	0.54%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.38%	0.53%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.70%	0.73%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1334	44	19	41	31	62	88	51	85	136	142	143	106	98	13	108	11	47	33	22	3	19	32					
		21.54%	17.18%	10.85%	24.40%	23.48%	16.80%	19.90%	22.07%	33.59%	31.33%	30.80%	28.65%	20.30%	26.06%	7.69%	19.45%	11.57%	23.85%	18.43%	14.47%	2.11%	13.97%	12.90%					
																													
41	Против всех	215	11	5	5	3	10	10	8	6	13	22	14	35	15	8	17	2	5	5	2	4	3	12					
		3.47%	4.29%	2.85%	2.97%	2.27%	2.71%	2.26%	3.46%	2.37%	2.99%	4.77%	2.80%	6.70%	3.98%	4.73%	3.06%	2.10%	2.53%	2.79%	1.31%	2.81%	2.20%	4.83%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
