Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Ордынская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31591	1888	1751	1692	1787	1748	334	598	102	1582	1095	604	205	908	1746	528	507	139	1517	90	358	201	1217	945	299	937	1137	362	1117	90	1189	661	520	293	1041	552	215	674	419	456	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28500	1500	1500	1660	1500	1500	300	500	100	1500	1000	600	200	900	1500	500	500	100	1400	90	300	200	1200	900	200	900	1000	300	1000	100	1000	600	500	280	1000	500	200	600	400	400	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12773	686	679	625	761	607	133	232	44	675	342	217	127	404	1068	267	180	55	574	47	139	82	487	370	115	404	424	168	454	30	450	231	234	155	342	173	106	296	144	203	43									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	995	19	19	13	51	31	10	8	4	33	20	26	7	36	32	16	21	5	80	6	7	11	24	40	14	21	39	6	46	14	52	22	54	26	49	41	13	34	14	27	4									
6	Число погашенных избирательных бюллетеней	14732	795	802	1022	688	862	157	260	52	792	638	357	66	460	400	217	299	40	746	37	154	107	689	490	71	475	537	126	500	56	498	347	212	99	609	286	81	270	242	170	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	995	19	19	13	51	31	10	8	4	33	20	26	7	36	32	16	21	5	80	6	7	11	24	40	14	21	39	6	46	14	52	22	54	26	49	41	13	34	14	27	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12772	686	679	625	761	607	133	232	44	675	342	217	127	404	1068	267	180	55	573	47	139	82	487	370	115	404	424	168	454	30	450	231	234	155	342	173	106	296	144	203	43									
9	Число недействительных избирательных бюллетеней	397	21	18	23	23	18	3	5	1	25	15	8	5	15	17	9	10	4	28	0	1	0	19	9	2	15	14	0	19	1	17	11	5	3	10	6	1	3	6	7	0									
10	Число действительных избирательных бюллетеней	13370	684	680	615	789	620	140	235	47	683	347	235	129	425	1083	274	191	56	625	53	145	93	492	401	127	410	449	174	481	43	485	242	283	178	381	208	118	327	152	223	47									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	710	30	30	30	40	40	10	25	5	20	20	10	5	10	30	10	20	10	30	7	10	10	30	20	5	20	30	5	15	15	15	20	10	15	30	25	10	10	15	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	318	18	21	24	25	8	1	2	0	16	5	3	2	3	17	3	7	2	2	0	5	9	11	0	5	3	6	2	5	15	3	16	10	8	10	25	2	4	4	9	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	346	32	7	10	41	10	5	4	3	8	8	4	1	11	12	6	2	2	20	0	1	4	11	27	6	8	20	7	4	3	6	5	22	6	1	3	1	8	4	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	392	12	9	6	15	32	9	23	5	4	15	7	3	7	13	7	13	8	28	7	5	1	19	20	0	17	24	3	10	0	12	4	0	7	20	0	8	6	11	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	5	10	6	9	4	1	2	0	5	1	1	0	0	2	0	1	0	4	0	0	0	0	2	2	1	3	2	1	1	0	2	0	0	3	0	0	1	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
