Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Шаховская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19636	2066	2028	1908	2126	809	1028	1099	897	645	897	1362	1250	1880	793	848									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19500	2000	2000	1900	2090	800	1030	1100	920	640	900	1360	1250	1840	800	870									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6915	804	743	791	828	332	390	387	265	176	329	413	374	591	233	259									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1026	16	26	24	60	41	26	61	111	80	46	99	79	177	58	122									
6	Число погашенных избирательных бюллетеней	11559	1180	1231	1085	1202	427	614	652	544	384	525	848	797	1072	509	489									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1026	16	26	24	60	41	26	61	111	80	46	99	79	177	58	122									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6915	804	743	791	828	332	390	387	265	176	329	413	374	591	233	259									
9	Число недействительных избирательных бюллетеней	252	37	24	20	34	10	12	14	5	9	12	18	11	25	12	9									
10	Число действительных избирательных бюллетеней	7689	783	745	795	854	363	404	434	371	247	363	494	442	743	279	372									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	20	20	20	20	15	15	22	22	15	22	22	22	22	15	24									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	20	20	16	15	5	5	12	22	9	7	7	13	22	5	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	150	11	38	6	14	7	2	11	3	4	8	17	2	20	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	98	0	0	4	5	10	10	10	0	6	15	15	9	0	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	11	5	5	8	5	2	5	5	3	7	5	3	7	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	125	16	11	7	15	11	9	2	6	6	7	5	8	13	1	8									
		1.57%	1.95%	1.43%	0.86%	1.69%	2.95%	2.16%	0.45%	1.60%	2.34%	1.87%	0.98%	1.77%	1.69%	0.34%	2.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	174	23	11	24	25	3	9	13	9	3	3	7	10	17	7	10									
		2.19%	2.80%	1.43%	2.94%	2.82%	0.80%	2.16%	2.90%	2.39%	1.17%	0.80%	1.37%	2.21%	2.21%	2.41%	2.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	165	23	19	13	17	6	11	12	2	6	3	7	9	23	7	7									
		2.08%	2.80%	2.47%	1.60%	1.91%	1.61%	2.64%	2.68%	0.53%	2.34%	0.80%	1.37%	1.99%	2.99%	2.41%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3995	393	350	398	410	186	217	218	235	145	190	285	236	365	154	213									
		50.31%	47.93%	45.51%	48.83%	46.17%	49.87%	52.16%	48.66%	62.50%	56.64%	50.67%	55.66%	52.10%	47.53%	52.92%	55.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	74	10	11	8	16	2	3	3	2	1	3	3	6	5	1	0									
		0.93%	1.22%	1.43%	0.98%	1.80%	0.54%	0.72%	0.67%	0.53%	0.39%	0.80%	0.59%	1.32%	0.65%	0.34%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	0	0	3	0	0	2	0	0	0	1	1	3	0	0									
		0.13%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.20%	0.22%	0.39%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1383	120	132	110	171	63	71	72	47	41	98	103	92	150	47	66									
		17.42%	14.63%	17.17%	13.50%	19.26%	16.89%	17.07%	16.07%	12.50%	16.02%	26.13%	20.12%	20.31%	19.53%	16.15%	17.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	62	7	10	8	10	3	2	3	1	3	3	1	2	7	2	0									
		0.78%	0.85%	1.30%	0.98%	1.13%	0.80%	0.48%	0.67%	0.27%	1.17%	0.80%	0.20%	0.44%	0.91%	0.69%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	68	7	7	11	5	9	2	5	0	1	0	0	5	12	3	1									
		0.86%	0.85%	0.91%	1.35%	0.56%	2.41%	0.48%	1.12%	0.00%	0.39%	0.00%	0.00%	1.10%	1.56%	1.03%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1									
		0.09%	0.12%	0.13%	0.00%	0.11%	0.27%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.26%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	9	15	18	15	5	3	6	2	1	5	9	6	9	1	7									
		1.40%	1.10%	1.95%	2.21%	1.69%	1.34%	0.72%	1.34%	0.53%	0.39%	1.33%	1.76%	1.32%	1.17%	0.34%	1.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1303	152	157	176	136	64	67	84	58	30	41	66	55	116	50	51									
		16.41%	18.54%	20.42%	21.60%	15.32%	17.16%	16.11%	18.75%	15.43%	11.72%	10.93%	12.89%	12.14%	15.10%	17.18%	13.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	6	3	3	4	0	1	2	1	2	1	2	2	7	0	2									
		0.45%	0.73%	0.39%	0.37%	0.45%	0.00%	0.24%	0.45%	0.27%	0.78%	0.27%	0.39%	0.44%	0.91%	0.00%	0.52%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	176	16	18	19	26	10	9	11	8	8	9	5	10	15	6	6									
		2.22%	1.95%	2.34%	2.33%	2.93%	2.68%	2.16%	2.46%	2.13%	3.13%	2.40%	0.98%	2.21%	1.95%	2.06%	1.57%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
