Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Боровичская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в список избирателей"	58263	2147	1379	1116	1173	1297	1937	1226	1476	1479	974	990	1333	873	1616	139	1141	2035	1987	700	896	1461	1186	1347	1298	1041	1040	510	1718	1650	2345	1785	899	1894	557	545	175	1160	368	225	361	386	1376	902	225	503	566	487	545	1840	294	258	1166	735	463	423	278	117	220					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57800	2100	1400	1150	1200	1300	1950	1200	1450	1450	950	1000	1350	850	1600	200	1150	1850	1850	650	850	1500	1150	1300	1300	1050	1050	1000	1700	1650	2400	1800	900	1850	550	500	150	1150	350	200	350	350	1350	900	200	500	550	550	550	1800	250	250	1050	700	450	400	250	100	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28514	1177	795	659	668	676	1017	531	758	838	443	443	664	353	828	87	605	1062	875	293	410	845	459	428	697	562	426	489	880	831	1273	831	440	914	284	302	87	549	173	107	157	163	520	435	146	201	160	253	195	897	102	98	574	338	111	167	96	34	108					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2093	19	10	4	12	12	33	6	8	8	13	7	15	9	17	49	18	16	12	7	8	6	2	57	7	11	8	21	16	22	15	13	14	45	3	28	24	51	75	47	31	91	105	83	10	57	133	95	103	64	61	57	83	47	172	60	24	27	42					
6	Число погашенных избирательных бюллетеней	27193	904	595	487	520	612	900	663	684	604	494	550	671	488	755	64	527	772	963	350	432	649	689	815	596	477	616	490	804	797	1112	956	446	891	263	170	39	550	102	46	162	96	725	382	44	242	257	202	252	839	87	95	393	315	167	173	130	39	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2093	19	10	4	12	12	33	6	8	8	13	7	15	9	17	49	18	16	12	7	8	6	2	57	7	11	8	21	16	22	15	13	14	45	3	28	24	51	75	47	31	91	105	83	10	57	133	95	103	64	61	57	83	47	172	60	24	27	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28499	1177	794	659	666	675	1017	531	758	838	443	443	663	353	827	86	605	1061	875	293	410	845	459	428	697	562	426	489	878	831	1273	831	440	913	284	302	87	549	173	107	157	163	518	435	146	201	160	253	195	897	102	98	573	338	111	167	96	34	107					
9	Число недействительных избирательных бюллетеней	536	18	9	5	16	12	18	12	12	16	9	9	22	8	8	3	6	18	14	5	7	19	5	11	19	5	4	11	11	6	15	12	10	13	4	9	1	8	5	2	3	9	10	9	8	10	4	27	5	13	3	6	12	6	2	5	3	0	4					
10	Число действительных избирательных бюллетеней	30056	1178	795	658	662	675	1032	525	754	830	447	441	656	354	836	132	617	1059	873	295	411	832	456	474	685	568	430	499	883	847	1273	832	444	945	283	321	110	592	243	152	185	245	613	509	148	248	289	321	293	948	160	149	644	379	281	222	117	61	145					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	673	20	10	10	10	10	20	10	20	20	10	10	15	10	20	0	10	10	10	10	10	10	10	10	20	10	10	10	10	20	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	13	15	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	365	15	9	9	6	7	12	5	9	14	6	6	12	6	15	0	7	8	6	2	2	9	0	1	12	6	9	3	6	16	22	10	7	3	4	2	0	10	4	2	2	10	6	3	2	4	2	2	13	10	2	5	7	4	1	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	376	5	7	12	10	6	10	8	11	12	5	7	12	6	7	11	5	9	5	4	4	5	5	5	9	10	7	8	9	5	11	9	5	4	2	6	5	8	4	2	1	8	6	5	3	3	2	15	6	6	9	6	6	4	4	10	5	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	308	5	1	1	4	3	8	5	11	6	4	4	3	4	5	0	3	2	4	8	8	1	10	9	8	4	1	7	4	4	8	0	3	7	6	8	10	0	6	8	8	0	4	7	8	6	8	8	0	5	8	5	3	6	9	0	10	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	3	3	2	0	2	5	1	3	0	1	1	1	1	2	0	1	2	6	0	2	5	0	2	5	4	3	1	1	2	4	2	2	1	0	1	0	2	1	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8923	419	316	244	222	265	420	152	219	217	134	121	206	92	272	34	217	347	228	73	116	304	118	125	243	177	129	169	271	290	359	241	96	304	70	70	26	208	40	19	33	60	195	115	22	47	66	71	54	272	16	19	147	89	36	50	24	8	26					
		29.17%	35.03%	39.30%	36.80%	32.74%	38.57%	40.00%	28.31%	28.59%	25.65%	29.39%	26.89%	30.38%	25.41%	32.23%	25.19%	34.83%	32.22%	25.70%	24.33%	27.75%	35.72%	25.60%	25.77%	34.52%	30.89%	29.72%	33.14%	30.31%	33.99%	27.87%	28.55%	21.15%	31.73%	24.39%	21.21%	23.42%	34.67%	16.13%	12.34%	17.55%	23.62%	31.30%	22.20%	14.10%	18.22%	22.53%	20.40%	18.12%	28.30%	9.82%	12.26%	22.41%	23.12%	12.72%	22.03%	20.00%	13.11%	17.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3873	141	92	67	65	85	101	112	98	84	67	71	86	55	101	14	83	138	158	59	54	97	65	67	89	72	64	46	118	92	124	142	88	115	32	30	22	67	28	13	34	18	62	75	25	49	59	54	17	121	15	11	98	56	23	20	19	3	12					
		12.66%	11.79%	11.44%	10.11%	9.59%	12.37%	9.62%	20.86%	12.79%	9.93%	14.69%	15.78%	12.68%	15.19%	11.97%	10.37%	13.32%	12.81%	17.81%	19.67%	12.92%	11.40%	14.10%	13.81%	12.64%	12.57%	14.75%	9.02%	13.20%	10.79%	9.63%	16.82%	19.38%	12.00%	11.15%	9.09%	19.82%	11.17%	11.29%	8.44%	18.09%	7.09%	9.95%	14.48%	16.03%	18.99%	20.14%	15.52%	5.70%	12.59%	9.20%	7.10%	14.94%	14.55%	8.13%	8.81%	15.83%	4.92%	8.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	308	15	6	7	9	5	4	10	16	16	5	2	2	5	16	2	9	15	11	4	4	4	3	5	4	2	4	5	11	8	11	7	2	6	1	0	0	10	3	2	0	3	5	5	2	3	1	10	2	10	0	2	4	4	1	1	0	0	4					
		1.01%	1.25%	0.75%	1.06%	1.33%	0.73%	0.38%	1.86%	2.09%	1.89%	1.10%	0.44%	0.29%	1.38%	1.90%	1.48%	1.44%	1.39%	1.24%	1.33%	0.96%	0.47%	0.65%	1.03%	0.57%	0.35%	0.92%	0.98%	1.23%	0.94%	0.85%	0.83%	0.44%	0.63%	0.35%	0.00%	0.00%	1.67%	1.21%	1.30%	0.00%	1.18%	0.80%	0.97%	1.28%	1.16%	0.34%	2.87%	0.67%	1.04%	0.00%	1.29%	0.61%	1.04%	0.35%	0.44%	0.00%	0.00%	2.68%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6234	242	167	166	179	132	212	92	181	225	97	90	132	74	179	32	119	198	171	70	70	143	74	69	125	117	95	99	189	179	282	193	106	241	55	65	17	122	53	25	30	64	114	79	23	52	43	38	47	218	17	27	157	88	55	59	17	9	20					
		20.38%	20.23%	20.77%	25.04%	26.40%	19.21%	20.19%	17.13%	23.63%	26.60%	21.27%	20.00%	19.47%	20.44%	21.21%	23.70%	19.10%	18.38%	19.28%	23.33%	16.75%	16.80%	16.05%	14.23%	17.76%	20.42%	21.89%	19.41%	21.14%	20.98%	21.89%	22.87%	23.35%	25.16%	19.16%	19.70%	15.32%	20.33%	21.37%	16.23%	15.96%	25.20%	18.30%	15.25%	14.74%	20.16%	14.68%	10.92%	15.77%	22.68%	10.43%	17.42%	23.93%	22.86%	19.43%	25.99%	14.17%	14.75%	13.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	565	43	29	16	17	9	17	9	16	18	9	11	15	7	19	2	7	26	17	5	8	13	12	6	5	19	7	10	18	22	33	20	6	12	3	3	0	6	3	1	6	2	3	7	0	3	1	1	1	13	4	0	6	3	3	5	6	1	1					
		1.85%	3.60%	3.61%	2.41%	2.51%	1.31%	1.62%	1.68%	2.09%	2.13%	1.97%	2.44%	2.21%	1.93%	2.25%	1.48%	1.12%	2.41%	1.92%	1.67%	1.91%	1.53%	2.60%	1.24%	0.71%	3.32%	1.61%	1.96%	2.01%	2.58%	2.56%	2.37%	1.32%	1.25%	1.05%	0.91%	0.00%	1.00%	1.21%	0.65%	3.19%	0.79%	0.48%	1.35%	0.00%	1.16%	0.34%	0.29%	0.34%	1.35%	2.45%	0.00%	0.91%	0.78%	1.06%	2.20%	5.00%	1.64%	0.67%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10041	313	182	157	168	179	276	148	219	261	134	145	215	121	248	47	180	329	286	83	155	268	184	197	215	179	130	167	274	252	460	228	145	261	120	152	43	177	116	92	82	98	233	223	76	94	119	146	170	311	108	89	230	136	161	87	51	40	81					
		32.82%	26.17%	22.64%	23.68%	24.78%	26.06%	26.29%	27.56%	28.59%	30.85%	29.39%	32.22%	31.71%	33.43%	29.38%	34.81%	28.89%	30.55%	32.24%	27.67%	37.08%	31.49%	39.91%	40.62%	30.54%	31.24%	29.95%	32.75%	30.65%	29.54%	35.71%	27.01%	31.94%	27.24%	41.81%	46.06%	38.74%	29.50%	46.77%	59.74%	43.62%	38.58%	37.40%	43.05%	48.72%	36.43%	40.61%	41.95%	57.05%	32.36%	66.26%	57.42%	35.06%	35.32%	56.89%	38.33%	42.50%	65.57%	54.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	112	5	3	1	2	0	2	2	5	9	1	1	0	0	1	1	2	6	2	1	4	3	0	5	4	2	1	3	2	4	4	1	1	6	2	1	2	2	0	0	0	0	1	5	0	0	0	1	2	3	0	1	2	3	2	0	0	0	1					
		0.37%	0.42%	0.37%	0.15%	0.29%	0.00%	0.19%	0.37%	0.65%	1.06%	0.22%	0.22%	0.00%	0.00%	0.12%	0.74%	0.32%	0.56%	0.23%	0.33%	0.96%	0.35%	0.00%	1.03%	0.57%	0.35%	0.23%	0.59%	0.22%	0.47%	0.31%	0.12%	0.22%	0.63%	0.70%	0.30%	1.80%	0.33%	0.00%	0.00%	0.00%	0.00%	0.16%	0.97%	0.00%	0.00%	0.00%	0.29%	0.67%	0.31%	0.00%	0.65%	0.30%	0.78%	0.71%	0.00%	0.00%	0.00%	0.67%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
