Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Усть-Большерецкая														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в список избирателей"	6024	78	507	1345	1205	1577	653	659					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6078	75	542	1236	1243	1587	708	687					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	0	0	0	0	0	0	13					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2931	47	251	608	548	852	275	350					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	175	0	6	25	59	53	26	6					
6	Число погашенных избирательных бюллетеней	2959	28	285	603	636	682	407	318					
7	Число избирательных бюллетеней в переносных ящиках для голосования	188	0	6	25	59	53	26	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2931	47	251	608	548	852	275	350					
9	Число недействительных избирательных бюллетеней	62	1	2	19	7	19	5	9					
10	Число действительных избирательных бюллетеней	3057	46	255	614	600	886	296	360					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	118	5	15	30	20	20	14	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	32	0	2	9	7	9	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	0	0	1	5	3	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	86	5	13	21	13	11	9	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	381	10	43	91	64	95	37	41					
		12.22%	21.28%	16.73%	14.38%	10.54%	10.50%	12.29%	11.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	550	6	61	117	84	129	64	89					
		17.63%	12.77%	23.74%	18.48%	13.84%	14.25%	21.26%	24.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	1	5	9	7	20	4	5					
		1.64%	2.13%	1.95%	1.42%	1.15%	2.21%	1.33%	1.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	489	8	58	80	94	149	28	72					
		15.68%	17.02%	22.57%	12.64%	15.49%	16.46%	9.30%	19.51%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	58	0	1	12	12	23	4	6					
		1.86%	0.00%	0.39%	1.90%	1.98%	2.54%	1.33%	1.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1520	21	85	305	339	466	158	146					
		48.73%	44.68%	33.07%	48.18%	55.85%	51.49%	52.49%	39.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	0	2	0	0	4	1	1					
		0.26%	0.00%	0.78%	0.00%	0.00%	0.44%	0.33%	0.27%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
