Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Усть-Большерецкая															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160					
1	"Число избирателей, внесенных в списки избирателей"	6761	77	45	1547	566	1323	1749	716	738					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6690	82	47	1523	567	1331	1710	710	720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3564	48	36	806	278	640	997	363	396					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	170	0	0	12	12	51	58	31	6					
6	Число погашенных избирательных бюллетеней	2951	34	11	705	277	640	655	316	313					
7	Число избирательных бюллетеней в переносных ящиках для голосования	175	0	0	12	12	51	58	31	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3564	48	36	806	278	640	997	363	396					
9	Число недействительных избирательных бюллетеней	83	0	0	21	4	15	28	10	5					
10	Число действительных избирательных бюллетеней	3656	48	36	797	286	676	1027	384	402					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	130	7	5	33	15	20	20	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	62	7	0	19	6	11	15	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	33	4	0	7	2	9	5	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	68	0	5	14	9	9	5	13	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	65	1	4	9	3	14	13	8	13					
		1.74%	2.08%	11.11%	1.10%	1.03%	2.03%	1.23%	2.03%	3.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	0	0	5	4	3	11	5	3					
		0.83%	0.00%	0.00%	0.61%	1.38%	0.43%	1.04%	1.27%	0.74%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	1	0	0	2	0	0					
		0.08%	0.00%	0.00%	0.12%	0.00%	0.00%	0.19%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	197	0	0	38	26	33	46	25	29					
		5.27%	0.00%	0.00%	4.65%	8.97%	4.78%	4.36%	6.35%	7.13%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	0	0	0	0	1	4	1	1					
		0.19%	0.00%	0.00%	0.00%	0.00%	0.14%	0.38%	0.25%	0.25%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	2	1	1	1	0	0					
		0.13%	0.00%	0.00%	0.24%	0.34%	0.14%	0.09%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	395	1	1	79	29	68	124	36	57					
		10.56%	2.08%	2.78%	9.66%	10.00%	9.84%	11.75%	9.14%	14.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	225	1	2	42	25	38	92	9	16					
		6.02%	2.08%	5.56%	5.13%	8.62%	5.50%	8.72%	2.28%	3.93%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	48	0	1	7	4	7	16	3	10					
		1.28%	0.00%	2.78%	0.86%	1.38%	1.01%	1.52%	0.76%	2.46%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2646	43	26	609	193	502	706	297	270					
		70.77%	89.58%	72.22%	74.45%	66.55%	72.65%	66.92%	75.38%	66.34%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	34	2	2	5	1	9	12	0	3					
		0.91%	4.17%	5.56%	0.61%	0.34%	1.30%	1.14%	0.00%	0.74%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
