Выборы Президента Российской Федерации																																																																										
																																																																										
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821					
1	"Число избирателей, внесенных в список"	128054	1971	1574	1779	1859	985	1610	876	2193	2248	2838	2805	1459	2333	2531	2631	2562	2046	2228	1442	1700	1192	1250	912	594	2113	2671	2163	1767	1226	1886	1709	2385	2774	2639	1394	1994	1448	1065	2146	1886	1265	2046	1970	1622	1599	2369	2458	1799	2278	2736	2435	2767	2682	2644	2690	2660	2298	2319	1679	937	557	1611	1536	1168	986	1856	2203					
2	Число полученных избирательных бюллетеней	116450	1750	1400	1600	1900	1000	1300	750	1850	2000	2500	2450	1350	2100	2300	2500	2400	1900	2000	1300	1550	1000	1200	850	550	1900	2500	2000	1600	1050	1700	1550	2300	2500	2400	1300	1800	1300	1000	2000	1700	1150	1850	1800	1500	1500	2100	2200	1550	2100	2500	2200	2500	2400	2400	2400	2400	2100	2050	1500	850	500	1500	1400	1300	900	1700	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	88784	474	1135	1325	1423	644	1103	544	1598	1814	2084	2128	996	1571	1814	1945	1818	1533	1703	941	1161	701	824	643	399	1227	1593	1463	1068	760	1349	1205	1977	1893	1801	893	1322	982	757	1513	1106	777	1524	1315	1025	982	1588	1687	1213	1649	2063	1797	1947	1894	1655	1983	1854	1738	1659	985	617	332	1215	1056	1154	872	1426	1547					
5	"Число избирательных бюллетеней, выданных вне помещения"	2777	1182	29	23	21	6	22	11	24	41	26	25	17	33	19	15	14	17	17	18	20	102	165	9	4	26	18	17	42	18	23	48	72	29	21	20	19	9	17	25	32	20	5	18	19	17	78	19	25	12	11	16	27	12	30	12	22	17	9	7	12	23	15	9	14	5	6	21					
6	Число погашенных избирательных бюллетеней	24889	94	236	252	456	350	175	195	228	145	390	297	337	496	467	540	568	350	280	341	369	197	211	198	147	647	889	520	490	272	328	297	251	578	578	387	459	309	226	462	562	353	321	467	456	501	434	494	312	439	426	387	526	494	715	405	524	345	382	508	221	145	270	335	132	23	268	432					
7	Число избирательных бюллетеней в переносных ящиках	2777	1182	29	23	21	6	22	11	24	41	26	25	17	33	19	15	14	17	17	18	20	102	165	9	4	26	18	17	42	18	23	48	72	29	21	20	19	9	17	25	32	20	5	18	19	17	78	19	25	12	11	16	27	12	30	12	22	17	9	7	12	23	15	9	14	5	6	21					
8	Число бюллетеней в стационарных ящиках для голосования	88719	474	1135	1325	1421	644	1102	544	1596	1814	2079	2128	996	1571	1814	1945	1818	1533	1703	940	1161	701	822	643	399	1227	1591	1463	1068	760	1349	1205	1977	1864	1800	893	1322	982	757	1510	1106	777	1519	1315	1025	982	1587	1685	1213	1649	2063	1795	1947	1894	1655	1983	1851	1738	1659	985	617	332	1215	1056	1154	871	1426	1544					
9	Число недействительных избирательных бюллетеней	865	39	3	7	6	4	8	6	13	18	18	12	4	12	14	9	14	10	11	13	10	15	6	7	6	19	17	22	14	7	11	14	11	16	18	2	22	12	9	15	15	5	7	17	6	7	21	11	26	18	29	12	24	32	9	21	19	11	18	12	10	6	12	11	10	5	7	10					
10	Число действительных избирательных бюллетеней	90631	1617	1161	1341	1436	646	1116	549	1607	1837	2087	2141	1009	1592	1819	1951	1818	1540	1709	945	1171	788	981	645	397	1234	1592	1458	1096	771	1361	1239	2038	1877	1803	911	1319	979	765	1520	1123	792	1517	1316	1038	992	1644	1693	1212	1643	2045	1799	1950	1874	1676	1974	1854	1744	1650	980	619	349	1218	1054	1158	871	1425	1555					
11	Число полученных открепительных  удостоверений	2491	35	35	35	35	35	35	35	35	38	45	35	35	35	40	35	45	35	45	35	35	35	35	35	35	35	35	50	35	35	35	35	35	35	35	35	35	35	35	35	35	35	43	40	35	35	35	35	35	45	50	35	35	35	35	60	35	55	35	35	35	35	35	35	35	35	45	35					
12	Число выданных открепительных удостоверений	1557	10	16	28	14	11	14	8	23	35	44	17	10	21	39	26	40	24	37	30	27	15	12	6	4	26	21	33	20	20	29	30	12	30	31	13	20	20	12	32	14	21	37	34	17	21	30	30	20	41	47	27	21	32	20	40	27	30	32	23	11	2	24	10	14	11	35	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3210	34	33	42	69	15	177	12	354	19	31	461	8	28	24	24	14	28	47	34	21	12	35	20	11	23	30	14	27	16	22	22	232	23	28	15	61	21	22	18	18	18	25	19	19	16	25	29	47	31	28	25	14	28	22	36	30	19	35	65	7	7	15	13	176	266	21	29					
14	Число неиспользованных открепительных удостоверений	934	25	19	7	21	24	21	27	12	3	1	18	25	14	1	9	5	11	8	5	8	20	23	29	31	9	14	17	15	15	6	5	23	5	4	22	15	15	23	3	21	14	6	6	18	14	5	5	15	4	3	8	14	3	15	20	8	25	3	12	24	33	11	25	21	24	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
