Выборы Президента Российской Федерации																																																																																						
Дата голосования: 02.03.2008																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
	Число участковых избирательных комиссий	79																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	79																																																																																				
																																																																																						
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, включенных в списки избирателей"	137435	667	1683	1237	1930	1734	1059	1849	1420	1254	2402	2392	1688	1835	2730	1503	1462	2000	2223	2143	1341	2665	1575	1357	1805	289	1144	1353	978	697	2243	1318	922	2321	1918	1704	1355	1434	2623	2733	2301	1223	1692	1915	1574	1741	1335	2027	840	2194	2028	2591	2668	2249	1141	2635	2841	1930	2561	2945	1612	2680	2778	720	1280	2561	2440	2374	2852	1268	2503	1571	897	459	1806	1610	1175	1107	185	140					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	125550	600	1550	1500	1600	1600	950	1700	1250	1150	2100	2150	1650	1650	2400	1350	1300	1800	2000	1900	1200	2400	1400	1200	1650	300	1050	1250	800	650	2000	1700	1000	2100	1750	1550	1250	1300	2300	2450	2050	1300	1550	1750	1450	1600	1250	1800	800	1950	1800	2300	2400	2000	1050	2350	2550	1800	2300	2650	1450	2400	2350	650	1150	2250	2200	2100	2550	1150	2200	1600	800	450	1650	1450	1300	1250	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	106692	474	1287	1237	1427	1413	736	1539	1071	1073	1729	1787	1482	1606	2056	1247	1144	1399	1693	1608	986	2061	1364	972	1296	65	937	1012	690	551	1651	1298	813	1839	1388	1285	1194	1205	1966	2184	1681	1201	1214	1593	1226	1279	1087	1523	597	1715	1598	1989	2072	1657	876	2046	2094	1641	2011	2194	1204	2033	2163	478	876	2095	1789	1841	2106	934	1895	1172	693	341	1395	1163	1163	1057	133	102					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1797	6	22	0	23	17	2	18	6	0	24	33	11	35	19	15	7	21	13	13	13	24	15	36	22	202	13	18	67	7	18	20	42	16	28	27	23	10	83	32	29	11	14	19	7	24	17	52	25	7	21	27	22	37	23	22	38	25	28	23	10	23	25	10	13	18	17	18	15	15	11	8	6	7	17	29	12	17	16	38					
6	Число погашенных избирательных бюллетеней	17061	120	241	263	150	170	212	143	173	77	347	330	157	9	325	88	149	380	294	279	201	315	21	192	332	33	100	220	43	92	331	382	145	245	334	238	33	85	251	234	340	88	322	138	217	297	146	225	178	228	181	284	306	306	151	282	418	134	261	433	236	344	162	162	261	137	394	241	429	201	294	420	101	102	238	258	125	176	51	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1797	6	22	0	23	17	2	18	6	0	24	33	11	35	19	15	7	21	13	13	13	24	15	36	22	202	13	18	67	7	18	20	42	16	28	27	23	10	83	32	29	11	14	19	7	24	17	52	25	7	21	27	22	37	23	22	38	25	28	23	10	23	25	10	13	18	17	18	15	15	11	8	6	7	17	29	12	17	16	38					
8	Число бюллетеней в стационарных ящиках для голосования	106525	474	1285	1237	1427	1410	736	1536	1071	1073	1728	1787	1480	1598	2053	1247	1144	1398	1692	1608	986	2055	1364	971	1296	65	936	1010	690	551	1651	1298	813	1839	1385	1285	1194	1205	1915	2184	1680	1201	1214	1593	1226	1279	1087	1523	593	1715	1598	1988	2072	1657	876	2024	2094	1641	2011	2194	1204	2033	2161	478	875	2059	1788	1841	2102	934	1895	1172	693	341	1395	1163	1163	1050	133	102					
9	Число недействительных избирательных бюллетеней	1936	14	32	10	23	43	19	22	14	30	30	34	40	27	35	14	20	30	32	36	10	50	23	19	30	0	16	15	16	3	37	13	20	32	18	21	17	17	88	22	19	12	16	18	21	24	23	24	6	30	55	34	41	29	18	36	44	32	42	38	20	32	47	11	19	18	29	23	40	14	29	17	21	5	17	24	26	6	2	2					
10	Число действительных избирательных бюллетеней	106386	466	1275	1227	1427	1384	719	1532	1063	1043	1722	1786	1451	1606	2037	1248	1131	1389	1673	1585	989	2029	1356	988	1288	267	933	1013	741	555	1632	1305	835	1823	1395	1291	1200	1198	1910	2194	1690	1200	1212	1594	1212	1279	1081	1551	612	1692	1564	1981	2053	1665	881	2010	2088	1634	1997	2179	1194	2024	2139	477	869	2059	1776	1836	2077	935	1877	1163	678	343	1395	1168	1149	1061	147	138					
11	Число полученных открепительных  удостоверений	2095	15	25	0	35	15	15	20	15	50	25	25	25	20	35	20	30	35	20	40	20	35	35	25	40	0	20	20	15	15	30	15	20	30	25	25	40	30	50	35	30	25	30	35	40	25	40	35	30	40	40	35	35	20	35	35	40	35	40	35	30	25	30	30	30	25	30	25	30	20	20	20	15	15	25	15	15	25	0	0					
