Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Самойловская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117					
1	"Число избирателей, внесенных в списки избирателей"	17679	1747	1709	1816	1159	540	104	565	148	135	492	576	842	251	63	275	215	525	509	185	125	88	292	488	433	588	1729	145	111	125	219	159	100	141	609	376	95					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17424	1700	1645	1740	1120	525	104	565	158	134	495	580	815	250	64	270	215	535	515	185	131	90	300	500	430	580	1690	144	108	136	221	166	100	141	615	365	92					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10730	1020	791	970	883	335	79	360	113	107	393	247	498	196	58	199	137	390	353	111	69	68	176	283	296	321	899	127	82	91	165	121	83	95	284	249	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1673	106	92	151	70	67	21	65	17	7	37	105	110	27	0	25	28	49	34	0	7	2	62	57	34	93	128	0	0	0	12	20	7	16	180	38	6					
6	Число погашенных избирательных бюллетеней	5021	574	762	619	167	123	4	140	28	20	65	228	207	27	6	46	50	96	128	74	55	20	62	160	100	166	663	17	26	45	44	25	10	30	151	78	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1673	106	92	151	70	67	21	65	17	7	37	105	110	27	0	25	28	49	34	0	7	2	62	57	34	93	128	0	0	0	12	20	7	16	180	38	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10730	1020	791	970	883	335	79	360	113	107	393	247	498	196	58	199	137	390	353	111	69	68	176	283	296	321	899	127	82	91	165	121	83	95	284	249	81					
9	Число недействительных избирательных бюллетеней	192	23	8	10	2	1	1	3	3	4	5	5	17	14	0	3	1	8	22	4	2	0	2	6	0	9	19	0	1	5	1	0	0	0	5	6	2					
10	Число действительных избирательных бюллетеней	12211	1103	875	1111	951	401	99	422	127	110	425	347	591	209	58	221	164	431	365	107	74	70	236	334	330	405	1008	127	81	86	176	141	90	111	459	281	85					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	456	33	30	35	30	20	5	20	5	5	15	13	9	4	5	5	5	15	16	10	5	5	10	20	15	15	35	5	5	5	10	5	5	5	15	13	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	328	33	26	33	20	11	0	12	1	0	5	13	8	2	1	5	2	10	15	0	5	2	8	15	11	8	35	0	2	1	5	1	5	5	15	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	50	2	3	11	2	1	0	0	0	0	1	1	1	1	2	0	1	1	1	0	0	3	0	1	4	2	3	0	1	1	2	0	2	0	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	128	0	4	2	10	9	5	8	4	5	10	0	1	2	4	0	3	5	1	10	0	3	2	5	4	7	0	5	3	4	5	4	0	0	0	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	362	19	20	22	16	8	1	16	3	3	11	10	18	7	2	11	2	34	3	2	1	3	5	12	21	21	34	1	2	2	5	5	2	1	14	22	3					
		2.92%	1.69%	2.27%	1.96%	1.68%	1.99%	1.00%	3.76%	2.31%	2.63%	2.56%	2.84%	2.96%	3.14%	3.45%	4.91%	1.21%	7.74%	0.78%	1.80%	1.32%	4.29%	2.10%	3.53%	6.36%	5.07%	3.31%	0.79%	2.44%	2.20%	2.82%	3.55%	2.22%	0.90%	3.02%	7.67%	3.45%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	0	5	7	1	1	0	0	0	1	0	1	2	0	0	2	0	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	4	0					
		0.25%	0.00%	0.57%	0.62%	0.10%	0.25%	0.00%	0.00%	0.00%	0.88%	0.00%	0.28%	0.33%	0.00%	0.00%	0.89%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.24%	0.10%	1.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	1.39%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0					
		0.09%	0.00%	0.23%	0.18%	0.21%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.35%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1177	88	84	149	73	32	11	48	18	9	54	48	41	22	1	14	9	45	24	6	5	1	8	25	22	67	142	3	4	7	12	4	7	13	44	30	7					
		9.49%	7.82%	9.51%	13.29%	7.66%	7.96%	11.00%	11.29%	13.85%	7.89%	12.56%	13.64%	6.74%	9.87%	1.72%	6.25%	5.45%	10.25%	6.20%	5.41%	6.58%	1.43%	3.36%	7.35%	6.67%	16.18%	13.83%	2.36%	4.88%	7.69%	6.78%	2.84%	7.78%	11.71%	9.48%	10.45%	8.05%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	0	2	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.23%	0.18%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	2	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0					
		0.07%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.88%	0.00%	0.57%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	658	80	70	74	53	10	4	22	6	5	20	21	27	13	3	13	5	14	16	3	1	4	13	19	15	19	43	0	7	5	15	8	3	12	18	10	7					
		5.31%	7.10%	7.93%	6.60%	5.56%	2.49%	4.00%	5.18%	4.62%	4.39%	4.65%	5.97%	4.44%	5.83%	5.17%	5.80%	3.03%	3.19%	4.13%	2.70%	1.32%	5.71%	5.46%	5.59%	4.55%	4.59%	4.19%	0.00%	8.54%	5.49%	8.47%	5.67%	3.33%	10.81%	3.88%	3.48%	8.05%					
