Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Ножай-Юртовская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №445	УИК №446									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28150	2441	649	2772	807	957	364	772	618	903	739	2682	530	140	950	274	739	417	346	743	705	562	193	584	686	144	2566	554	1172	812	1215	706	408									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27389	2434	641	2636	805	924	348	740	589	877	701	2566	524	136	947	261	724	398	341	730	699	530	187	582	664	137	2532	538	1151	810	1168	664	405									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26485	2362	602	2584	770	894	337	717	579	862	692	2510	498	130	892	250	694	381	328	691	655	514	179	551	646	129	2478	506	1095	783	1146	654	376									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	251	23	6	17	11	9	3	8	4	7	6	24	3	2	10	6	3	8	2	5	5	6	1	5	4	2	17	11	13	10	6	5	9									
6	Число погашенных избирательных бюллетеней	653	49	33	35	24	21	8	15	6	8	3	32	23	4	45	5	27	9	11	34	39	10	7	26	14	6	37	21	43	17	16	5	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	251	23	6	17	11	9	3	8	4	7	6	24	3	2	10	6	3	8	2	5	5	6	1	5	4	2	17	11	13	10	6	5	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26485	2362	602	2584	770	894	337	717	579	862	692	2510	498	130	892	250	694	381	328	691	655	514	179	551	646	129	2478	506	1095	783	1146	654	376									
9	Число недействительных избирательных бюллетеней	9	2	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0									
10	Число действительных избирательных бюллетеней	26727	2383	608	2599	781	903	340	725	582	869	698	2532	501	132	902	256	697	389	330	696	660	520	180	556	650	131	2494	517	1108	793	1151	659	385									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	198	17	5	20	5	6	3	6	5	6	5	19	4	1	7	2	7	3	2	4	5	4	2	4	5	1	17	4	8	6	7	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	17	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	2	0	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	181	15	4	17	5	6	3	6	5	6	5	19	4	1	7	2	7	3	2	3	5	4	2	4	5	1	12	4	6	6	5	4	3									
