Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Ирбитская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №2606	УИК №2608	УИК №2609									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24473	456	485	564	257	258	639	799	176	762	417	509	988	254	210	559	150	130	571	221	530	1147	422	910	370	134	709	179	827	965	442	709	208	430	244	389	454	321	372	950	342	318	633	154	188	114	121	519	320	99	419	1437	169	86	437									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22010	420	440	510	230	220	570	730	160	690	370	450	890	230	190	500	130	120	510	200	480	1000	370	810	340	120	630	160	760	870	390	640	190	370	220	350	400	300	340	850	310	280	600	140	170	110	110	470	290	90	370	1300	160	80	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10906	168	186	252	121	100	332	343	81	294	207	255	422	132	91	274	70	57	314	94	226	511	220	413	160	56	351	92	352	379	161	237	85	134	101	163	166	171	177	443	160	145	325	75	113	66	60	249	113	36	146	666	81	55	225									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1374	65	31	35	21	35	32	65	20	25	18	18	42	7	12	29	20	11	30	32	26	32	8	34	27	13	24	26	19	57	26	40	17	30	12	16	47	17	25	24	10	8	61	4	14	3	11	43	64	10	35	16	11	1	15									
6	Число погашенных избирательных бюллетеней	9730	187	223	223	88	85	206	322	59	371	145	177	426	91	87	197	40	52	166	74	228	457	142	363	153	51	255	42	389	434	203	363	88	206	107	171	187	112	138	383	140	127	214	61	43	41	39	178	113	44	189	618	68	24	140									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1374	65	31	35	21	35	32	65	20	25	18	18	42	7	12	29	20	11	30	32	26	32	8	34	27	13	24	26	19	57	26	40	17	30	12	16	47	17	25	24	10	8	61	4	14	3	11	43	64	10	35	16	11	1	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10906	168	186	252	121	100	332	343	81	294	207	255	422	132	91	274	70	57	314	94	226	511	220	413	160	56	351	92	352	379	161	237	85	134	101	163	166	171	177	443	160	145	325	75	113	66	60	249	113	36	146	666	81	55	225									
9	Число недействительных избирательных бюллетеней	206	3	8	5	3	0	3	3	0	8	5	2	2	3	2	4	2	1	4	5	2	13	3	9	5	0	12	0	5	16	0	5	0	2	1	7	1	3	0	4	2	2	10	1	4	0	2	8	6	1	6	4	3	0	6									
10	Число действительных избирательных бюллетеней	12074	230	209	282	139	135	361	405	101	311	220	271	462	136	101	299	88	67	340	121	250	530	225	438	182	69	363	118	366	420	187	272	102	162	112	172	212	185	202	463	168	151	376	78	123	69	69	284	171	45	175	678	89	56	234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	823	15	16	19	9	8	21	27	6	25	14	17	33	8	7	18	5	4	19	7	17	38	14	30	12	4	23	5	28	32	14	23	7	13	8	13	17	11	12	31	11	10	32	5	6	4	4	19	11	3	14	48	9	3	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	280	2	0	2	9	0	5	20	1	3	3	2	11	0	2	4	0	0	6	0	6	16	2	6	7	0	4	1	22	17	2	4	2	2	0	3	1	7	0	8	1	1	32	5	5	4	0	16	0	0	1	25	8	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	164	1	2	1	5	3	5	5	3	2	4	2	2	2	0	1	1	1	4	2	3	6	0	6	1	7	3	5	9	5	5	5	7	10	1	1	5	3	1	1	0	1	2	3	4	4	1	2	1	0	3	5	1	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	543	13	16	17	0	8	16	7	5	22	11	15	22	8	5	14	5	4	13	7	11	22	12	24	5	4	19	4	6	15	12	19	5	11	8	10	16	4	12	23	10	9	0	0	1	0	4	3	11	3	13	23	1	3	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	96	2	1	9	0	1	0	3	3	4	3	1	2	0	0	2	0	1	2	0	1	9	2	2	1	0	2	1	8	3	1	2	2	1	1	0	2	1	2	5	0	2	0	0	3	1	0	1	1	0	0	7	0	0	1									
		0.78%	0.86%	0.46%	3.14%	0.00%	0.74%	0.00%	0.74%	2.97%	1.25%	1.33%	0.37%	0.43%	0.00%	0.00%	0.66%	0.00%	1.47%	0.58%	0.00%	0.40%	1.66%	0.88%	0.45%	0.53%	0.00%	0.53%	0.85%	2.16%	0.69%	0.53%	0.72%	1.96%	0.61%	0.88%	0.00%	0.94%	0.53%	0.99%	1.07%	0.00%	1.31%	0.00%	0.00%	2.36%	1.45%	0.00%	0.34%	0.56%	0.00%	0.00%	1.03%	0.00%	0.00%	0.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	260	4	4	12	5	3	7	8	1	6	5	10	11	2	2	6	1	1	6	1	9	14	6	9	1	3	6	3	5	18	3	1	3	4	7	3	5	3	2	6	3	2	5	5	2	2	1	9	5	1	4	11	1	0	3									
		2.12%	1.72%	1.84%	4.18%	3.52%	2.22%	1.92%	1.96%	0.99%	1.88%	2.22%	3.66%	2.37%	1.44%	1.94%	1.98%	1.11%	1.47%	1.74%	0.79%	3.57%	2.58%	2.63%	2.01%	0.53%	4.35%	1.60%	2.54%	1.35%	4.13%	1.60%	0.36%	2.94%	2.44%	6.19%	1.68%	2.35%	1.60%	0.99%	1.28%	1.76%	1.31%	1.30%	6.33%	1.57%	2.90%	1.41%	3.08%	2.82%	2.17%	2.21%	1.61%	1.09%	0.00%	1.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	251	2	6	5	0	2	6	8	0	7	5	5	5	3	0	14	1	0	9	2	8	14	6	11	1	3	9	4	6	13	13	4	3	10	2	1	3	2	2	11	2	2	8	0	1	2	0	7	0	2	2	10	0	1	8									
