Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Кузнецкая городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №896									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68165	2837	1582	1420	1654	1272	1499	2819	1761	1733	1279	1842	2198	1380	2809	2505	818	1443	2039	2092	1324	1019	2102	1047	2379	2887	2129	1332	1201	2169	2793	2704	2504	812	1276	2191	825	2186	303									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67400	2800	1500	1400	1600	1200	1500	2800	1700	1700	1200	1800	2200	1300	2800	2500	800	1300	2000	2100	1300	1000	2000	1000	2400	2900	2100	1300	1200	2100	2800	2700	2500	850	1200	2200	800	2300	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24991	1031	602	559	481	400	585	999	558	556	471	633	934	341	771	910	282	692	697	689	428	359	699	346	734	803	674	460	476	849	1076	998	951	604	521	772	324	1557	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2882	56	29	14	125	59	57	154	72	97	48	46	126	79	123	113	72	68	48	36	55	23	71	17	179	122	124	139	83	112	58	78	52	4	108	61	29	11	134									
6	Число погашенных избирательных бюллетеней	39527	1713	869	827	994	741	858	1647	1070	1047	681	1121	1140	880	1906	1477	446	540	1255	1375	817	618	1230	637	1487	1975	1302	701	641	1139	1666	1624	1497	242	571	1367	447	732	247									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2882	56	29	14	125	59	57	154	72	97	48	46	126	79	123	113	72	68	48	36	55	23	71	17	179	122	124	139	83	112	58	78	52	4	108	61	29	11	134									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24977	1031	602	559	481	400	584	999	558	556	471	633	932	341	771	910	282	692	697	689	428	359	699	346	734	798	674	459	475	849	1076	995	951	603	521	772	324	1557	169									
9	Число недействительных избирательных бюллетеней	481	16	11	3	9	7	88	28	12	6	6	2	27	5	17	13	0	9	6	8	5	5	5	7	7	9	25	11	6	7	22	7	13	14	4	14	6	35	6									
10	Число действительных избирательных бюллетеней	27378	1071	620	570	597	452	553	1125	618	647	513	677	1031	415	877	1010	354	751	739	717	478	377	765	356	906	911	773	587	552	954	1112	1066	990	593	625	819	347	1533	297									
