Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Удорская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №677	УИК №678									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13875	433	281	2011	111	207	296	463	331	291	99	426	193	315	1913	1617	191	122	2025	230	1117	611	132	350	60	50									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12550	350	250	1800	100	190	250	430	300	250	90	380	170	280	1800	1500	170	100	1800	200	1000	550	130	350	60	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	244	42	0	0	0	0	31	62	0	3	0	0	15	70	0	0	0	0	0	0	21	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5580	146	124	821	37	96	115	147	170	127	51	208	69	97	834	611	99	55	639	111	523	219	60	167	25	29									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	324	13	7	45	0	8	19	9	17	13	5	13	9	7	25	17	3	7	46	5	11	7	0	0	31	7									
6	Число погашенных избирательных бюллетеней	6402	149	119	934	63	86	85	212	113	107	34	159	77	106	941	872	68	38	1115	84	445	324	70	183	4	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	568	55	7	45	0	8	50	71	17	16	5	13	24	77	25	17	3	7	46	5	32	7	0	0	31	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5580	146	124	821	37	96	115	147	170	127	51	208	69	97	834	611	99	55	639	111	523	219	60	167	25	29									
9	Число недействительных избирательных бюллетеней	132	2	6	20	0	1	2	3	10	5	0	6	1	2	12	5	1	1	14	1	23	11	0	5	0	1									
10	Число действительных избирательных бюллетеней	6016	199	125	846	37	103	163	215	177	138	56	215	92	172	847	623	101	61	671	115	532	215	60	162	56	35									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	10	5	30	5	5	20	20	5	5	5	10	15	25	50	50	5	5	40	5	40	50	30	50	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	205	4	0	30	0	3	0	9	0	5	0	1	8	21	25	18	0	1	32	5	11	11	10	11	0	0									
