Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Ставрополь, Промышленная"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146					
1	"Число избирателей, внесенных в список избирателей"	142360	2775	2460	2079	2638	2361	2659	2484	2384	2484	2120	2066	2762	2364	500	2180	1697	1160	2362	2691	359	2752	2479	2054	2842	2991	2551	1979	2841	2298	2388	2822	2128	2100	2238	2027	2286	2115	2363	2807	2794	2357	1967	2798	2182	2125	2213	1138	2686	2505	2780	2843	2864	3311	700	1663	3163	2557	2850	2949	2282	2987					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118400	2200	2000	1700	2200	1900	2600	2000	1700	2000	2100	1700	2200	1900	500	1700	1400	1300	2200	2200	400	2500	2100	1700	2300	2300	2100	1600	2300	1900	1900	1900	1700	1800	1800	1600	1900	1700	1900	2300	2300	1900	1600	2200	2400	1700	2200	1100	2100	2000	2200	2300	2300	2600	700	2200	2500	2100	2400	2400	1800	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87694	1819	1562	1249	1617	1482	1927	1512	939	1576	1408	1192	1920	1506	0	1549	1176	1127	1664	1541	242	2007	1596	1367	1746	1521	1573	785	1344	1670	1720	1758	1560	1420	1164	1370	1478	1330	1346	1871	1425	1694	1367	1682	2106	1258	1713	813	1899	1802	1917	1357	2075	2050	6	1257	1060	1691	1356	1641	805	1086					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6568	17	19	13	16	30	26	21	324	15	11	14	43	80	481	59	25	33	45	126	117	63	47	40	40	204	35	395	138	34	32	12	34	32	261	43	42	37	296	19	49	19	9	20	76	34	19	25	27	25	33	375	24	43	694	406	494	16	617	17	9	218					
6	Число погашенных избирательных бюллетеней	24138	364	419	438	567	388	647	467	437	409	681	494	237	314	19	92	199	140	491	533	41	430	457	293	514	575	492	420	818	196	148	130	106	348	375	187	380	333	258	410	826	187	224	498	218	408	468	262	174	173	250	568	201	507	0	537	946	393	427	742	986	896					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6568	17	19	13	16	30	26	21	324	15	11	14	43	80	481	59	25	33	45	126	117	63	47	40	40	204	35	395	138	34	32	12	34	32	261	43	42	37	296	19	49	19	9	20	76	34	19	25	27	25	33	375	24	43	694	406	494	16	617	17	9	218					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87664	1819	1562	1249	1611	1481	1927	1512	939	1576	1408	1192	1919	1502	0	1549	1176	1127	1664	1541	242	2007	1596	1360	1746	1520	1573	785	1344	1670	1720	1758	1560	1420	1163	1368	1478	1330	1346	1871	1425	1694	1367	1682	2101	1258	1713	813	1899	1801	1917	1356	2075	2050	6	1257	1060	1691	1356	1641	805	1086					
9	Число недействительных избирательных бюллетеней	1152	24	2	22	14	17	3	34	19	26	21	18	36	18	3	13	25	0	0	27	5	22	47	13	29	18	14	8	26	29	45	23	23	2	32	27	19	22	30	27	25	27	15	31	28	12	18	0	39	26	17	14	0	8	4	18	16	17	16	16	8	14					
10	Число действительных избирательных бюллетеней	93080	1812	1579	1240	1613	1494	1950	1499	1244	1565	1398	1188	1926	1564	478	1595	1176	1160	1709	1640	354	2048	1596	1387	1757	1706	1594	1172	1456	1675	1707	1747	1571	1450	1392	1384	1501	1345	1612	1863	1449	1686	1361	1671	2149	1280	1714	838	1887	1800	1933	1717	2099	2085	696	1645	1538	1690	1957	1642	806	1290					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1459	32	20	22	20	28	29	31	28	20	15	16	25	38	0	20	20	15	27	31	0	36	20	18	29	30	30	17	23	34	29	20	15	31	25	20	26	24	23	20	29	29	20	20	28	20	26	13	33	40	27	24	29	29	0	26	29	22	27	26	35	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1404	32	20	20	20	23	28	30	28	19	15	12	25	38	0	19	14	14	26	29	0	33	20	16	29	29	29	17	23	32	25	20	14	31	21	19	25	23	21	20	29	29	20	19	28	20	26	13	31	40	27	24	29	28	0	26	29	22	27	26	33	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1360	8	8	11	3	19	24	7	20	1	7	8	36	12	93	160	5	6	7	8	35	18	17	10	5	10	13	3	6	6	16	469	16	4	24	8	5	10	8	9	3	12	3	16	7	20	14	8	12	19	14	11	10	14	6	10	7	11	3	11	4	10					
14	Число погашенных неиспользованных открепительных удостоверений	55	0	0	2	0	5	1	1	0	1	0	4	0	0	0	1	6	1	1	2	0	3	0	2	0	1	1	0	0	2	4	0	1	0	4	1	1	1	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	0	1	1	0	1	1	0	0	0	1	0	2	1	0	0	0	1	1	1	0	4	0	0	1	1	3	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	1	1	0	5	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6875	135	128	112	104	144	167	147	81	120	92	85	145	117	7	134	37	80	136	102	27	131	98	82	150	108	121	94	102	144	162	139	121	120	158	95	147	124	135	91	136	115	99	167	152	60	107	56	131	109	133	137	134	184	31	140	102	98	126	103	65	68					
		7.30%	7.35%	8.10%	8.87%	6.39%	9.53%	8.55%	9.59%	6.41%	7.54%	6.48%	7.05%	7.39%	7.40%	1.46%	8.33%	3.08%	6.90%	7.96%	6.12%	7.52%	6.33%	5.96%	5.86%	8.40%	6.26%	7.52%	7.97%	6.88%	8.45%	9.25%	7.85%	7.59%	8.26%	11.10%	6.73%	9.67%	9.07%	8.22%	4.81%	9.23%	6.71%	7.19%	9.81%	6.98%	4.64%	6.18%	6.68%	6.80%	5.97%	6.82%	7.91%	6.38%	8.79%	4.43%	8.42%	6.56%	5.74%	6.39%	6.21%	7.99%	5.21%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13567	278	310	237	318	266	350	157	184	302	164	202	302	215	25	199	146	169	299	87	54	116	138	87	311	202	222	126	115	242	257	245	227	237	238	207	237	233	106	281	127	276	212	287	176	135	315	145	290	329	359	372	309	278	44	306	298	305	294	163	196	260					
		14.40%	15.14%	19.61%	18.78%	19.55%	17.60%	17.92%	10.24%	14.57%	18.98%	11.56%	16.75%	15.39%	13.59%	5.20%	12.38%	12.16%	14.57%	17.50%	5.22%	15.04%	5.60%	8.40%	6.21%	17.41%	11.72%	13.81%	10.68%	7.76%	14.20%	14.67%	13.84%	14.24%	16.32%	16.71%	14.67%	15.59%	17.04%	6.46%	14.87%	8.62%	16.11%	15.41%	16.86%	8.08%	10.45%	18.19%	17.30%	15.06%	18.02%	18.41%	21.49%	14.72%	13.28%	6.29%	18.40%	19.18%	17.87%	14.90%	9.83%	24.08%	19.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1109	29	24	14	31	0	20	25	20	0	0	0	26	12	3	25	10	8	8	34	2	28	22	16	22	20	23	5	7	22	29	22	16	20	23	18	19	12	19	14	11	19	17	15	17	25	24	12	26	14	30	28	40	15	6	15	14	27	33	25	17	31					
		1.18%	1.58%	1.52%	1.11%	1.91%	0.00%	1.02%	1.63%	1.58%	0.00%	0.00%	0.00%	1.33%	0.76%	0.62%	1.55%	0.83%	0.69%	0.47%	2.04%	0.56%	1.35%	1.34%	1.14%	1.23%	1.16%	1.43%	0.42%	0.47%	1.29%	1.66%	1.24%	1.00%	1.38%	1.62%	1.28%	1.25%	0.88%	1.16%	0.74%	0.75%	1.11%	1.24%	0.88%	0.78%	1.93%	1.39%	1.43%	1.35%	0.77%	1.54%	1.62%	1.91%	0.72%	0.86%	0.90%	0.90%	1.58%	1.67%	1.51%	2.09%	2.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15263	356	231	189	261	290	300	235	134	278	302	188	379	263	34	301	222	182	304	262	58	310	219	270	311	161	314	125	233	311	346	208	231	258	356	197	283	257	203	236	206	297	244	122	373	159	293	146	305	273	321	325	405	229	62	345	306	264	376	162	218	234					
