Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Гусь-Хрустальная																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521					
1	"Число избирателей, внесенных в списки"	39626	356	455	156	638	926	314	461	900	815	203	465	681	756	384	163	640	289	322	389	717	508	570	465	425	565	392	701	130	195	293	101	540	219	152	648	157	1544	1753	1570	2545	448	1689	1767	2830	2921	1965	2058	1512	472	461					
2	"Число бюллетеней, полученных участковыми комиссиями"	37288	343	420	157	604	858	282	442	849	767	200	433	638	713	368	165	598	275	297	364	684	480	544	440	414	536	382	681	130	193	285	103	513	206	154	607	150	1448	1661	1493	2433	431	1606	1685	2492	2589	1879	2001	1431	442	422					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18056	212	198	72	421	359	21	160	315	342	116	267	336	286	172	48	293	158	116	218	332	150	256	123	140	207	198	348	53	71	128	33	225	29	64	347	72	956	829	723	997	197	717	914	1794	1670	574	775	536	230	258					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2394	41	72	28	0	153	132	122	36	8	0	0	0	62	21	47	70	13	54	0	5	26	62	73	43	177	46	25	45	50	80	32	60	123	49	81	30	32	48	20	39	8	34	19	60	41	117	45	30	18	17					
6	Число погашенных бюллетеней	16838	90	150	57	183	346	129	160	498	417	84	166	302	365	175	70	235	104	127	146	347	304	226	244	231	152	138	308	32	72	77	38	228	54	41	179	48	460	784	750	1397	226	855	752	638	878	1188	1181	865	194	147					
7	Число бюллетеней в переносных ящиках для голосования	2394	41	72	28	0	153	132	122	36	8	0	0	0	62	21	47	70	13	54	0	5	26	62	73	43	177	46	25	45	50	80	32	60	123	49	81	30	32	48	20	39	8	34	19	60	41	117	45	30	18	17					
8	Число бюллетеней в стационарных ящиках для голосования	18055	212	198	72	421	359	21	160	315	342	116	267	336	286	172	48	293	158	116	218	332	150	256	123	140	207	198	348	53	71	128	33	225	29	64	347	72	956	829	723	997	197	717	913	1794	1670	574	775	536	230	258					
9	Число недействительных бюллетеней	425	3	3	3	7	8	2	3	4	7	2	7	2	8	5	2	5	5	4	3	7	3	0	6	1	2	3	5	0	0	8	1	9	1	0	8	3	45	18	20	32	5	23	28	27	38	9	8	12	17	3					
10	Число действительных бюллетеней	20024	250	267	97	414	504	151	279	347	343	114	260	334	340	188	93	358	166	166	215	330	173	318	190	182	382	241	368	98	121	200	64	276	151	113	420	99	943	859	723	1004	200	728	904	1827	1673	682	812	554	231	272					
