Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Усть-Джегутинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34454	1531	1356	1263	1082	1607	1706	2077	2284	1947	1697	1536	1136	989	1167	1322	1699	1321	816	1207	1360	1373	993	1385	1053	547									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34446	1531	1356	1263	1082	1607	1706	2077	2276	1947	1697	1536	1136	989	1167	1322	1699	1321	816	1207	1360	1373	993	1385	1053	547									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32285	1421	1238	1176	988	1523	1602	1963	2130	1877	1582	1469	1021	883	1065	1228	1620	1209	780	1161	1254	1299	956	1306	1010	524									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	569	18	22	11	41	26	19	38	47	26	19	17	22	16	21	23	28	24	19	21	23	19	15	24	18	12									
6	Число погашенных избирательных бюллетеней	1592	92	96	76	53	58	85	76	99	44	96	50	93	90	81	71	51	88	17	25	83	55	22	55	25	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	569	18	22	11	41	26	19	38	47	26	19	17	22	16	21	23	28	24	19	21	23	19	15	24	18	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32285	1421	1238	1176	988	1523	1602	1963	2130	1877	1582	1469	1021	883	1065	1228	1620	1209	780	1161	1254	1299	956	1306	1010	524									
9	Число недействительных избирательных бюллетеней	54	0	0	0	0	9	23	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	9	0									
10	Число действительных избирательных бюллетеней	32800	1439	1260	1187	1029	1540	1598	2001	2177	1903	1601	1486	1043	899	1086	1251	1648	1226	799	1182	1277	1318	971	1324	1019	536									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	75	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	74	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	8	11	6	0	0	0	16	11	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2									
		0.20%	0.56%	0.87%	0.51%	0.00%	0.00%	0.00%	0.80%	0.51%	0.32%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1968	87	91	78	79	103	99	118	131	127	116	98	101	49	56	49	76	62	51	56	53	65	71	51	62	39									
		5.99%	6.05%	7.22%	6.57%	7.68%	6.65%	6.11%	5.90%	6.02%	6.67%	7.25%	6.59%	9.68%	5.45%	5.16%	3.92%	4.61%	5.03%	6.38%	4.74%	4.15%	4.93%	7.31%	3.83%	6.03%	7.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	36	0	0	0	0	0	0	10	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.73%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28077	1241	1065	1007	844	1315	1393	1689	1861	1579	1319	1264	844	762	941	1126	1458	1084	680	1038	1141	1145	803	1196	868	414									
		85.46%	86.24%	84.52%	84.84%	82.02%	84.89%	85.93%	84.41%	85.48%	82.97%	82.39%	85.06%	80.92%	84.76%	86.65%	90.01%	88.47%	87.92%	85.11%	87.82%	89.35%	86.87%	82.70%	89.92%	84.44%	77.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	4	0	3	4	0	0	7	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
